A;RTSALEDATA;216;20240923 01:06;VALNET;
B;216;2243150;1;20240923 01:06;;;15;ARCADIA RD;BLACKHEATH;2785;696.77;M;20240725;20240919;600000;A;R;RESIDENCE;;BA;;0;AU429901;
C;216;2243150;1;20240923 01:06;41/8550;
D;216;2243150;1;20240923 01:06;P;;;;;;
D;216;2243150;1;20240923 01:06;P;;;;;;
D;216;2243150;1;20240923 01:06;V;;;;;;
B;216;2254070;2;20240923 01:06;;;224;GREAT WESTERN HWY;HAZELBROOK;2779;752.5;M;20240816;20240916;510000;C4;R;RESIDENCE;;HZL;;0;AU418167;
C;216;2254070;2;20240923 01:06;2/10978;
D;216;2254070;2;20240923 01:06;P;;;;;;
D;216;2254070;2;20240923 01:06;P;;;;;;
D;216;2254070;2;20240923 01:06;V;;;;;;
B;216;2249055;3;20240923 01:06;;;1;BORONIA RD;BULLABURRA;2784;923.2;M;20240905;20240906;100000;A;R;RESIDENCE;;LB;;0;AU395499;
C;216;2249055;3;20240923 01:06;223/13407;
D;216;2249055;3;20240923 01:06;P;;;;;;
D;216;2249055;3;20240923 01:06;P;;;;;;
D;216;2249055;3;20240923 01:06;V;;;;;;
B;216;2265060;4;20240923 01:06;;;43;DAWN CRES;MOUNT RIVERVIEW;2774;809.4;M;20240802;20240913;990000;R2;R;RESIDENCE;;MRR;;0;AU413997;
C;216;2265060;4;20240923 01:06;42/223966;
D;216;2265060;4;20240923 01:06;P;;;;;;
D;216;2265060;4;20240923 01:06;P;;;;;;
D;216;2265060;4;20240923 01:06;V;;;;;;
D;216;2265060;4;20240923 01:06;V;;;;;;
B;216;2267677;5;20240923 01:06;;;1;DEAKIN CL;SPRINGWOOD;2777;1006;M;20240803;20240917;1100000;C4;R;RESIDENCE;;SPL;;0;AU424614;
C;216;2267677;5;20240923 01:06;649/248936;
D;216;2267677;5;20240923 01:06;P;;;;;;
D;216;2267677;5;20240923 01:06;P;;;;;;
D;216;2267677;5;20240923 01:06;V;;;;;;
D;216;2267677;5;20240923 01:06;V;;;;;;
B;216;2274882;6;20240923 01:06;;;103;BUENA VISTA RD;WINMALEE;2777;1.48;H;20240710;20240918;1250000;C4;R;RESIDENCE;;WEL;;0;AU427807;
C;216;2274882;6;20240923 01:06;96/218262;
D;216;2274882;6;20240923 01:06;P;;;;;;
D;216;2274882;6;20240923 01:06;P;;;;;;
D;216;2274882;6;20240923 01:06;V;;;;;;
D;216;2274882;6;20240923 01:06;V;;;;;;
B;216;2257303;7;20240923 01:06;;;28;DARLEY ST;KATOOMBA;2780;992.7;M;20240816;20240919;750000;R2;R;RESIDENCE;;KAT;;0;AU431633;
C;216;2257303;7;20240923 01:06;1/202730;
D;216;2257303;7;20240923 01:06;P;;;;;;
D;216;2257303;7;20240923 01:06;P;;;;;;
D;216;2257303;7;20240923 01:06;V;;;;;;
B;216;2267882;8;20240923 01:06;;;4 A;ELLISON RD;SPRINGWOOD;2777;815.7;M;20240625;20240916;1060000;C4;R;RESIDENCE;;SWE;;0;AU419879;
C;216;2267882;8;20240923 01:06;5/212778;
D;216;2267882;8;20240923 01:06;P;;;;;;
D;216;2267882;8;20240923 01:06;P;;;;;;
D;216;2267882;8;20240923 01:06;V;;;;;;
D;216;2267882;8;20240923 01:06;V;;;;;;
B;216;2243988;9;20240923 01:06;;;8;EVELEIGH AVE;BLACKHEATH;2785;1150.8;M;20240616;20240916;1300000;R2;R;RESIDENCE;;BLC;;0;AU417516;
C;216;2243988;9;20240923 01:06;34, 36/2/3119;
D;216;2243988;9;20240923 01:06;P;;;;;;
D;216;2243988;9;20240923 01:06;V;;;;;;
B;216;2252027;10;20240923 01:06;;;15;HILL ST;GLENBROOK;2773;674.3;M;20240726;20240918;1600000;A;R;RESIDENCE;;BG;;0;AU427095;
C;216;2252027;10;20240923 01:06;C/376706;
D;216;2252027;10;20240923 01:06;P;;;;;;
D;216;2252027;10;20240923 01:06;P;;;;;;
D;216;2252027;10;20240923 01:06;V;;;;;;
B;216;2252058;11;20240923 01:06;;;45;HILLSIDE CRES;GLENBROOK;2773;675.4;M;20240802;20240913;1100000;R2;R;RESIDENCE;;GBW;;0;AU413725;
C;216;2252058;11;20240923 01:06;44/250500;
D;216;2252058;11;20240923 01:06;P;;;;;;
D;216;2252058;11;20240923 01:06;P;;;;;;
D;216;2252058;11;20240923 01:06;V;;;;;;
D;216;2252058;11;20240923 01:06;V;;;;;;
B;216;2265387;12;20240923 01:06;;;6;MORIL AVE;MOUNT RIVERVIEW;2774;1568;M;20240614;20240916;1730000;C4;R;RESIDENCE;;MRL;;0;AU419968;
C;216;2265387;12;20240923 01:06;13/25944;
D;216;2265387;12;20240923 01:06;P;;;;;;
D;216;2265387;12;20240923 01:06;P;;;;;;
D;216;2265387;12;20240923 01:06;V;;;;;;
D;216;2265387;12;20240923 01:06;V;;;;;;
