A;RTSALEDATA;301;20240923 01:08;VALNET;
B;301;1879869;1;20240923 01:08;;;7;TEBBUTT ST;QUIRINDI;2343;860;M;20240903;20240917;190000;R1;R;RESIDENCE;;AQW;;50;AU422005;
C;301;1879869;1;20240923 01:08;1/389721;
D;301;1879869;1;20240923 01:08;P;;;;;;
D;301;1879869;1;20240923 01:08;V;;;;;;
D;301;1879869;1;20240923 01:08;V;;;;;;
B;301;3186834;2;20240923 01:08;;;11;RAPHIE HOWARD DR;WILLOW TREE;2339;2.259;H;20240805;20240918;950000;R5;R;RESIDENCE;;RLL;;0;AU425127;
C;301;3186834;2;20240923 01:08;9/1083918;
D;301;3186834;2;20240923 01:08;P;;;;;;
D;301;3186834;2;20240923 01:08;P;;;;;;
D;301;3186834;2;20240923 01:08;V;;;;;;
D;301;3186834;2;20240923 01:08;V;;;;;;
B;301;3279249;3;20240923 01:08;;;65;PUNYARRA ST;WERRIS CREEK;2341;1411;M;20240805;20240916;70000;R1;R;RESIDENCE;;AWC;;0;AU418925;
C;301;3279249;3;20240923 01:08;1/1103855;
D;301;3279249;3;20240923 01:08;P;;;;;;
D;301;3279249;3;20240923 01:08;P;;;;;;
D;301;3279249;3;20240923 01:08;V;;;;;;
D;301;3279249;3;20240923 01:08;V;;;;;;
B;301;3953547;4;20240923 01:08;;;1;GRANDVIEW PL;QUIRINDI;2343;1.256;H;20240830;20240913;185000;R5;R;RESIDENCE;;RLL;;0;AU414381;
C;301;3953547;4;20240923 01:08;144/1222739;
D;301;3953547;4;20240923 01:08;P;;;;;;
D;301;3953547;4;20240923 01:08;P;;;;;;
D;301;3953547;4;20240923 01:08;V;;;;;;
D;301;3953547;4;20240923 01:08;V;;;;;;
Z;25;4;4;15;
