A;RTSALEDATA;143;20240923 01:06;VALNET;
B;143;3394686;1;20240923 01:06;;21;40;HENLEY RD;HOMEBUSH WEST;2140;;;20240803;20240916;955000;;R;RESIDENCE;21;;;0;AU417325;
C;143;3394686;1;20240923 01:06;21/SP80730;
D;143;3394686;1;20240923 01:06;P;;;;;;
D;143;3394686;1;20240923 01:06;P;;;;;;
D;143;3394686;1;20240923 01:06;V;;;;;;
B;143;3704264;2;20240923 01:06;BUILDING K;201;81;COURALLIE AVE;HOMEBUSH WEST;2140;138;M;20240817;20240918;740000;;R;RESIDENCE;1073;;;0;AU426205;
C;143;3704264;2;20240923 01:06;1073/SP97920;
D;143;3704264;2;20240923 01:06;P;;;;;;
D;143;3704264;2;20240923 01:06;P;;;;;;
D;143;3704264;2;20240923 01:06;V;;;;;;
B;143;4201902;3;20240923 01:06;BUILDING B;201;40;LOFTUS CRES;HOMEBUSH;2140;98;M;20240820;20240916;640000;;R;RESIDENCE;14;;;0;AU417319;
C;143;4201902;3;20240923 01:06;14/SP99263;
D;143;4201902;3;20240923 01:06;P;;;;;;
D;143;4201902;3;20240923 01:06;V;;;;;;
D;143;4201902;3;20240923 01:06;V;;;;;;
B;143;4139102;4;20240923 01:06;;504;16;SMALLWOOD AVE;HOMEBUSH;2140;;;20240730;20240913;530000;;R;RESIDENCE;43;;;0;AU414401;
C;143;4139102;4;20240923 01:06;43/SP94433;
D;143;4139102;4;20240923 01:06;P;;;;;;
D;143;4139102;4;20240923 01:06;V;;;;;;
B;143;3704264;5;20240923 01:06;BUILDING H;9;81;COURALLIE AVE;HOMEBUSH WEST;2140;;;20240820;20240916;500000;;R;RESIDENCE;816;;;0;AU417182;
C;143;3704264;5;20240923 01:06;816/SP97492;
D;143;3704264;5;20240923 01:06;P;;;;;;
D;143;3704264;5;20240923 01:06;P;;;;;;
D;143;3704264;5;20240923 01:06;V;;;;;;
B;143;4109357;6;20240923 01:06;;204;85;PARK RD;HOMEBUSH;2140;;;20240808;20240919;570000;;R;RESIDENCE;22;;;0;AU428853;
