A;RTSALEDATA;050;20240923 01:05;VALNET;
B;050;4147198;1;20240923 01:05;;;41;BAROSSA WAY;THURGOONA;2640;689.9;M;20240730;20240916;700000;R1;R;RESIDENCE;;ATN;;0;AU419042;
C;050;4147198;1;20240923 01:05;11/1244315;
D;050;4147198;1;20240923 01:05;P;;;;;;
D;050;4147198;1;20240923 01:05;P;;;;;;
D;050;4147198;1;20240923 01:05;V;;;;;;
B;050;485800;2;20240923 01:05;;2;421;BEVAN ST;LAVINGTON;2641;;;20240806;20240913;269000;;R;RESIDENCE;2;;;0;AU412862;
C;050;485800;2;20240923 01:05;2/SP18655;
D;050;485800;2;20240923 01:05;P;;;;;;
D;050;485800;2;20240923 01:05;P;;;;;;
D;050;485800;2;20240923 01:05;V;;;;;;
D;050;485800;2;20240923 01:05;V;;;;;;
B;050;487439;3;20240923 01:05;;;154;WINCHESTER LANE;TABLE TOP;2640;46.68;H;20240701;20240917;610000;RU1;3;FARM;;REA;;0;AU423834;
C;050;487439;3;20240923 01:05;1, 2/874280;
D;050;487439;3;20240923 01:05;P;;;;;;
D;050;487439;3;20240923 01:05;P;;;;;;
D;050;487439;3;20240923 01:05;V;;;;;;
B;050;499502;4;20240923 01:05;;;409 W;ROSS CCT;LAVINGTON;2641;719.2;M;20240820;20240916;525000;R1;R;RESIDENCE;;ALV;;0;AU416940;
C;050;499502;4;20240923 01:05;12/258866;
D;050;499502;4;20240923 01:05;P;;;;;;
D;050;499502;4;20240923 01:05;P;;;;;;
D;050;499502;4;20240923 01:05;V;;;;;;
D;050;499502;4;20240923 01:05;V;;;;;;
B;050;494299;5;20240923 01:05;;;463;KOTTHOFF ST;LAVINGTON;2641;765.1;M;20240815;20240913;428000;R1;R;RESIDENCE;;ALV;;0;AU414507;
C;050;494299;5;20240923 01:05;32/233919;
D;050;494299;5;20240923 01:05;P;;;;;;
D;050;494299;5;20240923 01:05;V;;;;;;
D;050;494299;5;20240923 01:05;V;;;;;;
B;050;497569;6;20240923 01:05;RIVERWOOD;;92;RIVERWOOD DR;WEST ALBURY;2640;;;20240716;20240819;375000;;R;RESIDENCE;118;;;0;AU344862;
C;050;497569;6;20240923 01:05;118/SP40499;
D;050;497569;6;20240923 01:05;P;;;;;;
D;050;497569;6;20240923 01:05;V;;;;;;
B;050;497855;7;20240923 01:05;;;385;PARNALL ST;LAVINGTON;2641;669.6;M;20240619;20240917;425000;R1;R;RESIDENCE;;ALV;;0;AU422811;
C;050;497855;7;20240923 01:05;351/569895;
D;050;497855;7;20240923 01:05;P;;;;;;
D;050;497855;7;20240923 01:05;P;;;;;;
D;050;497855;7;20240923 01:05;V;;;;;;
B;050;495567;8;20240923 01:05;;;894;MATE ST;NORTH ALBURY;2640;657.6;M;20240813;20240916;409500;R1;R;RESIDENCE;;ANN;;0;AU420640;
C;050;495567;8;20240923 01:05;2/36527;
D;050;495567;8;20240923 01:05;P;;;;;;
D;050;495567;8;20240923 01:05;P;;;;;;
