A;RTSALEDATA;257;20240902 01:07;VALNET;
B;257;3658611;1;20240902 01:07;;;29;JESSIE ST;ARMIDALE;2350;746.5;M;20240719;20240826;580000;R1;R;RESIDENCE;;AAC;;0;AU361106;
C;257;3658611;1;20240902 01:07;1/1174859;
D;257;3658611;1;20240902 01:07;P;;;;;;
D;257;3658611;1;20240902 01:07;P;;;;;;
D;257;3658611;1;20240902 01:07;V;;;;;;
D;257;3658611;1;20240902 01:07;V;;;;;;
B;257;4557436;2;20240902 01:07;;;80;VARLEY CT;ARMIDALE;2350;1.144;H;20240802;20240823;390000;R5;R;RESIDENCE;;AEV;;0;AU358512;
C;257;4557436;2;20240902 01:07;119/1300630;
D;257;4557436;2;20240902 01:07;P;;;;;;
D;257;4557436;2;20240902 01:07;P;;;;;;
D;257;4557436;2;20240902 01:07;V;;;;;;
B;257;4568560;3;20240902 01:07;;;;BEN LOMOND RD;LLANGOTHLIN;2365;3.698;H;20240715;20240823;389000;;V;VACANT LAND;;;;0;AU356471;
C;257;4568560;3;20240902 01:07;2/1179106;
D;257;4568560;3;20240902 01:07;P;;;;;;
D;257;4568560;3;20240902 01:07;P;;;;;;
D;257;4568560;3;20240902 01:07;V;;;;;;
B;257;1843770;4;20240902 01:07;SELKIRK;;165;TRANSLATOR RD;ARMIDALE;2350;9.57;H;20240725;20240823;1300000;C3;R;RESIDENCE;;EEM;;0;AU358917;
C;257;1843770;4;20240902 01:07;410/755808;
D;257;1843770;4;20240902 01:07;P;;;;;;
D;257;1843770;4;20240902 01:07;P;;;;;;
D;257;1843770;4;20240902 01:07;V;;;;;;
B;257;1844486;5;20240902 01:07;FLOWERDALE;;84;URSULA RD;ARMIDALE;2350;7.15;H;20240731;20240826;1225000;RU4;R;RESIDENCE;;REV;;0;AU361918;
C;257;1844486;5;20240902 01:07;6/878359;
D;257;1844486;5;20240902 01:07;P;;;;;;
D;257;1844486;5;20240902 01:07;P;;;;;;
D;257;1844486;5;20240902 01:07;V;;;;;;
D;257;1844486;5;20240902 01:07;V;;;;;;
B;257;2643532;6;20240902 01:07;;;797;BLACK MOUNTAIN RD;BLACK MOUNTAIN;2365;1511;M;20240628;20240823;275000;RU5;R;RESIDENCE;;ZVB;;0;AU356842;
C;257;2643532;6;20240902 01:07;Y/338528;
D;257;2643532;6;20240902 01:07;P;;;;;;
D;257;2643532;6;20240902 01:07;V;;;;;;
D;257;2643532;6;20240902 01:07;V;;;;;;
B;257;3717586;7;20240902 01:07;;;1 B;MURRAY AVE;ARMIDALE;2350;1731;M;20240719;20240823;530000;R1;R;RESIDENCE;;AAB;;0;AU358204;
C;257;3717586;7;20240902 01:07;2/1187731;
D;257;3717586;7;20240902 01:07;P;;;;;;
D;257;3717586;7;20240902 01:07;V;;;;;;
B;257;2754687;8;20240902 01:07;;;10;VERNA CL;ARMIDALE;2350;639.9;M;20240726;20240823;440000;R1;R;RESIDENCE;;AAN;;0;AU357780;
C;257;2754687;8;20240902 01:07;5/730862;
D;257;2754687;8;20240902 01:07;P;;;;;;
D;257;2754687;8;20240902 01:07;P;;;;;;
D;257;2754687;8;20240902 01:07;V;;;;;;
D;257;2754687;8;20240902 01:07;V;;;;;;
B;257;2752230;9;20240902 01:07;;1;167;MARSH ST;ARMIDALE;2350;;;20240724;20240828;388000;;R;RESIDENCE;1;;;0;AU368485;
C;257;2752230;9;20240902 01:07;1/SP17952;
D;257;2752230;9;20240902 01:07;P;;;;;;
D;257;2752230;9;20240902 01:07;V;;;;;;
B;257;2752562;10;20240902 01:07;;;57;MOSSMAN ST;ARMIDALE;2350;1100;M;20240717;20240828;140000;R1;V;VACANT LAND;;AAH;;0;AU369485;
C;257;2752562;10;20240902 01:07;B/387372;
D;257;2752562;10;20240902 01:07;P;;;;;;
D;257;2752562;10;20240902 01:07;V;;;;;;
B;257;2753722;11;20240902 01:07;;;50;ROCKVALE RD;ARMIDALE;2350;853.6;M;20240701;20240823;500000;R1;R;RESIDENCE;;ANH;;0;AU359113;
C;257;2753722;11;20240902 01:07;6/400679;
D;257;2753722;11;20240902 01:07;P;;;;;;
D;257;2753722;11;20240902 01:07;P;;;;;;
D;257;2753722;11;20240902 01:07;V;;;;;;
D;257;2753722;11;20240902 01:07;V;;;;;;
B;257;2748931;12;20240902 01:07;;1;2;DALTON DR;ARMIDALE;2350;;;20240722;20240826;342000;;R;RESIDENCE;1;;;0;AU361714;
C;257;2748931;12;20240902 01:07;1/SP32046;
D;257;2748931;12;20240902 01:07;P;;;;;;
D;257;2748931;12;20240902 01:07;V;;;;;;
B;257;4320854;13;20240902 01:07;GLENMORGAN;;353;GLENSHIEL RD;LLANGOTHLIN;2365;704.778;H;20240524;20240829;15000000;RU1;3;FARM;;RRV;;0;AU374701;
C;257;4320854;13;20240902 01:07;58, 70/753660 3/864778 11/1041223 11, 15/1072136 1, 2/1217564 41/12653;
C;257;4320854;13;20240902 01:07;11;
D;257;4320854;13;20240902 01:07;P;;;;;;
D;257;4320854;13;20240902 01:07;V;;;;;;
D;257;4320854;13;20240902 01:07;V;;;;;;
Z;68;13;14;39;
