A;RTSALEDATA;575;20240902 01:09;VALNET;
B;575;4164900;1;20240902 01:09;;;39;GASNIER LOOP;BOOROOMA;2650;682.8;M;20240725;20240829;810000;R1;R;RESIDENCE;;BRM;;0;AU374048;
C;575;4164900;1;20240902 01:09;649/1241474;
D;575;4164900;1;20240902 01:09;P;;;;;;
D;575;4164900;1;20240902 01:09;V;;;;;;
B;575;4234159;2;20240902 01:09;;;6;ASTLEY CL;LLOYD;2650;1157;M;20240712;20240823;847500;R1;R;RESIDENCE;;RFS;;0;AU356921;
C;575;4234159;2;20240902 01:09;63/1255405;
D;575;4234159;2;20240902 01:09;P;;;;;;
D;575;4234159;2;20240902 01:09;P;;;;;;
D;575;4234159;2;20240902 01:09;V;;;;;;
B;575;2696058;3;20240902 01:09;;;16;BROAD ST;WAGGA WAGGA;2650;638.64;M;20240801;20240829;670000;R3;R;RESIDENCE;;CMD;;0;AU371554;
C;575;2696058;3;20240902 01:09;2/534496 7/1090090;
D;575;2696058;3;20240902 01:09;P;;;;;;
D;575;2696058;3;20240902 01:09;P;;;;;;
D;575;2696058;3;20240902 01:09;V;;;;;;
B;575;2700072;4;20240902 01:09;;;69;FOX ST;WAGGA WAGGA;2650;505.9;M;20240531;20240829;1800000;R1;R;RESIDENCE;;RDC;;0;AU373070;
C;575;2700072;4;20240902 01:09;1/995455;
D;575;2700072;4;20240902 01:09;P;;;;;;
D;575;2700072;4;20240902 01:09;P;;;;;;
D;575;2700072;4;20240902 01:09;V;;;;;;
D;575;2700072;4;20240902 01:09;V;;;;;;
B;575;2700173;5;20240902 01:09;;;21;FRASER ST;MOUNT AUSTIN;2650;606.4;M;20240801;20240829;570000;R1;R;RESIDENCE;;RDZ;;0;AU371599;
C;575;2700173;5;20240902 01:09;35/251846;
D;575;2700173;5;20240902 01:09;P;;;;;;
D;575;2700173;5;20240902 01:09;P;;;;;;
D;575;2700173;5;20240902 01:09;V;;;;;;
B;575;2700469;6;20240902 01:09;;;15;GIRRAWEEN MEWS;GLENFIELD PARK;2650;433.5;M;20240726;20240823;430000;R3;R;RESIDENCE;;MCX;;0;AU357289;
C;575;2700469;6;20240902 01:09;15/837734;
D;575;2700469;6;20240902 01:09;P;;;;;;
D;575;2700469;6;20240902 01:09;V;;;;;;
B;575;2700472;7;20240902 01:09;;;18;GIRRAWEEN MEWS;GLENFIELD PARK;2650;409.8;M;20240730;20240828;470000;R3;R;RESIDENCE;;MCX;;0;AU368196;
C;575;2700472;7;20240902 01:09;18/837734;
D;575;2700472;7;20240902 01:09;P;;;;;;
D;575;2700472;7;20240902 01:09;P;;;;;;
D;575;2700472;7;20240902 01:09;V;;;;;;
B;575;2700530;8;20240902 01:09;;;22;GOBORRA ST;GLENFIELD PARK;2650;800;M;20240809;20240826;16995;R1;R;RESIDENCE;;RCX;;0;AU360757;
C;575;2700530;8;20240902 01:09;223/262586;
D;575;2700530;8;20240902 01:09;P;;;;;;
D;575;2700530;8;20240902 01:09;V;;;;;;
D;575;2700530;8;20240902 01:09;V;;;;;;
B;575;2699693;9;20240902 01:09;;3;200;FITZMAURICE ST;WAGGA WAGGA;2650;140.2;M;20240715;20240826;585000;E2;R;RESIDENCE;;ACR;;0;AU363352;
C;575;2699693;9;20240902 01:09;4/285287;
D;575;2699693;9;20240902 01:09;P;;;;;;
D;575;2699693;9;20240902 01:09;P;;;;;;
D;575;2699693;9;20240902 01:09;V;;;;;;
B;575;2699348;10;20240902 01:09;;;36;FAY AVE;KOORINGAL;2650;684.5;M;20240727;20240829;593000;R1;R;RESIDENCE;;RKR;;0;AU373205;
C;575;2699348;10;20240902 01:09;207/841182;
D;575;2699348;10;20240902 01:09;P;;;;;;
D;575;2699348;10;20240902 01:09;P;;;;;;
D;575;2699348;10;20240902 01:09;V;;;;;;
D;575;2699348;10;20240902 01:09;V;;;;;;
B;575;2694510;11;20240902 01:09;;;54;BALLEROO CRES;GLENFIELD PARK;2650;980.8;M;20240722;20240829;610000;R1;R;RESIDENCE;;RCX;;0;AU372832;
C;575;2694510;11;20240902 01:09;68/802300;
D;575;2694510;11;20240902 01:09;P;;;;;;
D;575;2694510;11;20240902 01:09;V;;;;;;
