A;RTSALEDATA;050;20240902 01:05;VALNET;
B;050;3425218;1;20240902 01:05;;4;592 A;KIEWA ST;ALBURY;2640;295;M;20240717;20240828;1140000;;R;RESIDENCE;4;;;0;AU368957;
C;050;3425218;1;20240902 01:05;4/SP81513;
D;050;3425218;1;20240902 01:05;P;;;;;;
D;050;3425218;1;20240902 01:05;V;;;;;;
D;050;3425218;1;20240902 01:05;V;;;;;;
B;050;484582;2;20240902 01:05;;3;494;AINSLIE AVE;LAVINGTON;2641;;;20240722;20240829;350000;;R;RESIDENCE;6;;;0;AU372418;
C;050;484582;2;20240902 01:05;6/SP81453;
D;050;484582;2;20240902 01:05;P;;;;;;
D;050;484582;2;20240902 01:05;P;;;;;;
D;050;484582;2;20240902 01:05;V;;;;;;
D;050;484582;2;20240902 01:05;V;;;;;;
B;050;485807;3;20240902 01:05;;10;413;BEVAN ST;LAVINGTON;2641;;;20240708;20240827;326000;;R;RESIDENCE;3;;;0;AU366059;
C;050;485807;3;20240902 01:05;3/SP36893;
D;050;485807;3;20240902 01:05;P;;;;;;
D;050;485807;3;20240902 01:05;P;;;;;;
D;050;485807;3;20240902 01:05;V;;;;;;
B;050;484939;4;20240902 01:05;;2;3;AMALFI DR;LAVINGTON;2641;97;M;20240729;20240827;310000;;R;RESIDENCE;2;;;0;AU364992;
C;050;484939;4;20240902 01:05;2/SP42579;
D;050;484939;4;20240902 01:05;P;;;;;;
D;050;484939;4;20240902 01:05;P;;;;;;
D;050;484939;4;20240902 01:05;V;;;;;;
D;050;484939;4;20240902 01:05;V;;;;;;
B;050;488006;5;20240902 01:05;;;529;COSSOR ST;ALBURY;2640;662.7;M;20240812;20240823;700000;R1;R;RESIDENCE;;AFH;;0;AU357669;
C;050;488006;5;20240902 01:05;10/1587;
D;050;488006;5;20240902 01:05;P;;;;;;
D;050;488006;5;20240902 01:05;P;;;;;;
D;050;488006;5;20240902 01:05;V;;;;;;
B;050;488065;6;20240902 01:05;;2;23;CRAWSHAW CRES;GLENROY;2640;;;20240327;20240829;390000;;R;RESIDENCE;2;;;0;AU373481;
C;050;488065;6;20240902 01:05;2/SP46682;
D;050;488065;6;20240902 01:05;P;;;;;;
D;050;488065;6;20240902 01:05;P;;;;;;
D;050;488065;6;20240902 01:05;V;;;;;;
B;050;499540;7;20240902 01:05;;;8;ROWEN CT;LAVINGTON;2641;630;M;20240731;20240827;575000;R1;R;RESIDENCE;;ALV;;0;AU365878;
C;050;499540;7;20240902 01:05;8/263855;
D;050;499540;7;20240902 01:05;P;;;;;;
D;050;499540;7;20240902 01:05;P;;;;;;
D;050;499540;7;20240902 01:05;V;;;;;;
B;050;491378;8;20240902 01:05;;8;616;GRIFFITH ST;ALBURY;2640;116;M;20240802;20240823;452000;;R;RESIDENCE;9;;;0;AU358718;
C;050;491378;8;20240902 01:05;9/SP38087;
D;050;491378;8;20240902 01:05;P;;;;;;
D;050;491378;8;20240902 01:05;V;;;;;;
B;050;491478;9;20240902 01:05;;;204;GULPHA ST;NORTH ALBURY;2640;803;M;20240708;20240827;512000;R1;R;RESIDENCE;;ANN;;0;AU364706;
C;050;491478;9;20240902 01:05;10/222724;
D;050;491478;9;20240902 01:05;P;;;;;;
D;050;491478;9;20240902 01:05;V;;;;;;
D;050;491478;9;20240902 01:05;V;;;;;;
B;050;492632;10;20240902 01:05;;;513;HUME ST;SOUTH ALBURY;2640;670.3;M;20240712;20240823;430000;MU1;V;VACANT LAND;;MUC;;0;AU356263;
C;050;492632;10;20240902 01:05;3/159528;
D;050;492632;10;20240902 01:05;P;;;;;;
D;050;492632;10;20240902 01:05;P;;;;;;
D;050;492632;10;20240902 01:05;V;;;;;;
B;050;498466;11;20240902 01:05;;;586;POOLE ST;ALBURY;2640;695.6;M;20240627;20240826;657000;R1;R;RESIDENCE;;AFH;;0;AU360564;
C;050;498466;11;20240902 01:05;1/22367;
D;050;498466;11;20240902 01:05;P;;;;;;
D;050;498466;11;20240902 01:05;V;;;;;;
