A;RTSALEDATA;005;20240902 01:05;VALNET;
B;005;2922259;1;20240902 01:05;;;19;HILARY ST;EAST MAITLAND;2323;693.9;M;20240717;20240823;540000;R1;R;RESIDENCE;;AAI;;0;AU357834;
C;005;2922259;1;20240902 01:05;17/43/758374;
D;005;2922259;1;20240902 01:05;P;;;;;;
D;005;2922259;1;20240902 01:05;P;;;;;;
D;005;2922259;1;20240902 01:05;V;;;;;;
B;005;3501884;2;20240902 01:05;;6;15;DENTON PARK DR;RUTHERFORD;2320;;;20240722;20240827;485000;;R;RESIDENCE;6;;;0;AU364945;
C;005;3501884;2;20240902 01:05;6/SP83396;
D;005;3501884;2;20240902 01:05;P;;;;;;
D;005;3501884;2;20240902 01:05;V;;;;;;
B;005;4250727;3;20240902 01:05;;;24 A;SAPPHIRE DR;RUTHERFORD;2320;302.9;M;20240723;20240827;620000;R1;R;RESIDENCE;;AAT;;0;AU365845;
C;005;4250727;3;20240902 01:05;722/1257948;
D;005;4250727;3;20240902 01:05;P;;;;;;
D;005;4250727;3;20240902 01:05;P;;;;;;
D;005;4250727;3;20240902 01:05;V;;;;;;
B;005;2985747;4;20240902 01:05;;;16;PARKSIDE CRES;THORNTON;2322;418.9;M;20240716;20240827;650000;R1;R;RESIDENCE;;AAC;;0;AU364334;
C;005;2985747;4;20240902 01:05;8118/1045832;
D;005;2985747;4;20240902 01:05;P;;;;;;
D;005;2985747;4;20240902 01:05;V;;;;;;
B;005;3074817;5;20240902 01:05;;;28;HIGHLAND WAY;BOLWARRA HEIGHTS;2320;539.2;M;20240801;20240829;807500;R1;R;RESIDENCE;;AAQ;;0;AU371870;
C;005;3074817;5;20240902 01:05;101/1065899;
D;005;3074817;5;20240902 01:05;P;;;;;;
D;005;3074817;5;20240902 01:05;V;;;;;;
B;005;3123789;6;20240902 01:05;;;5;MOUNTVIEW PL;ABERGLASSLYN;2320;716;M;20240807;20240823;725000;R1;R;RESIDENCE;;AAV;;0;AU356100;
C;005;3123789;6;20240902 01:05;166/1064493;
D;005;3123789;6;20240902 01:05;P;;;;;;
D;005;3123789;6;20240902 01:05;P;;;;;;
D;005;3123789;6;20240902 01:05;V;;;;;;
D;005;3123789;6;20240902 01:05;V;;;;;;
B;005;3562477;7;20240902 01:05;;;17;MAJESTIC RD;LARGS;2320;664.6;M;20240731;20240828;920000;R1;R;RESIDENCE;;AAQ;;0;AU370492;
C;005;3562477;7;20240902 01:05;32/1157370;
D;005;3562477;7;20240902 01:05;P;;;;;;
D;005;3562477;7;20240902 01:05;P;;;;;;
D;005;3562477;7;20240902 01:05;V;;;;;;
B;005;4565473;8;20240902 01:05;;;126;CARRINGTON ST;HORSESHOE BEND;2320;765.1;M;20240801;20240829;299000;;V;VACANT LAND;;;;0;AU371754;
C;005;4565473;8;20240902 01:05;6/20930;
D;005;4565473;8;20240902 01:05;P;;;;;;
D;005;4565473;8;20240902 01:05;V;;;;;;
D;005;4565473;8;20240902 01:05;V;;;;;;
D;005;4565473;8;20240902 01:05;V;;;;;;
B;005;4533783;9;20240902 01:05;;;26;CULLAMI ST;ANAMBAH;2320;497.6;M;20240726;20240823;370000;R1;R;RESIDENCE;;AAV;;0;AU357532;
C;005;4533783;9;20240902 01:05;107/1298401;
D;005;4533783;9;20240902 01:05;P;;;;;;
D;005;4533783;9;20240902 01:05;P;;;;;;
D;005;4533783;9;20240902 01:05;V;;;;;;
B;005;4564052;10;20240902 01:05;;1;48;HILLGATE DR;THORNTON;2322;232;M;20240607;20240828;665000;;R;RESIDENCE;1;;;0;AU369914;
C;005;4564052;10;20240902 01:05;1/SP107416;
D;005;4564052;10;20240902 01:05;P;;;;;;
D;005;4564052;10;20240902 01:05;V;;;;;;
B;005;4564052;11;20240902 01:05;;1;48;HILLGATE DR;THORNTON;2322;389;M;20240626;20240828;675000;;R;RESIDENCE;2;;;0;AU369909;
C;005;4564052;11;20240902 01:05;2/SP107416;
D;005;4564052;11;20240902 01:05;P;;;;;;
D;005;4564052;11;20240902 01:05;V;;;;;;
B;005;4507472;12;20240902 01:05;;;20;ELLIPSE CCT;CHISHOLM;2322;670.9;M;20240710;20240828;535000;R1;R;RESIDENCE;;AAB;;0;AU370592;
C;005;4507472;12;20240902 01:05;3913/1272080;
D;005;4507472;12;20240902 01:05;P;;;;;;
D;005;4507472;12;20240902 01:05;P;;;;;;
D;005;4507472;12;20240902 01:05;V;;;;;;
D;005;4507472;12;20240902 01:05;V;;;;;;
B;005;4561948;13;20240902 01:05;;;8;MASKELL ST;FARLEY;2320;541.2;M;20220322;20240828;385000;R1;R;RESIDENCE;;ABJ;;0;AU370472;
C;005;4561948;13;20240902 01:05;231/1280557;
D;005;4561948;13;20240902 01:05;P;;;;;;
D;005;4561948;13;20240902 01:05;V;;;;;;
B;005;4558358;14;20240902 01:05;;7;266;ABERGLASSLYN RD;ABERGLASSLYN;2320;280;M;20240812;20240826;635000;;R;RESIDENCE;7;;;0;AU363045;
C;005;4558358;14;20240902 01:05;7/SP108186;
D;005;4558358;14;20240902 01:05;P;;;;;;
D;005;4558358;14;20240902 01:05;P;;;;;;
D;005;4558358;14;20240902 01:05;V;;;;;;
B;005;4560469;15;20240902 01:05;;;19;HEWITT RD;LOCHINVAR;2321;597;M;20240730;20240827;385000;R1;V;VACANT LAND;;AAZ;;0;AU367101;
C;005;4560469;15;20240902 01:05;110/1303379;
D;005;4560469;15;20240902 01:05;P;;;;;;
D;005;4560469;15;20240902 01:05;P;;;;;;
D;005;4560469;15;20240902 01:05;V;;;;;;
B;005;4560484;16;20240902 01:05;;;32;HEWITT RD;LOCHINVAR;2321;556.2;M;20240801;20240829;365000;R1;V;VACANT LAND;;AAZ;;0;AU374070;
C;005;4560484;16;20240902 01:05;125/1303379;
D;005;4560484;16;20240902 01:05;P;;;;;;
D;005;4560484;16;20240902 01:05;P;;;;;;
D;005;4560484;16;20240902 01:05;V;;;;;;
B;005;4560489;17;20240902 01:05;;;22;HEWITT RD;LOCHINVAR;2321;556.2;M;20240730;20240827;365000;R1;V;VACANT LAND;;AAZ;;0;AU367113;
C;005;4560489;17;20240902 01:05;130/1303379;
D;005;4560489;17;20240902 01:05;P;;;;;;
D;005;4560489;17;20240902 01:05;P;;;;;;
D;005;4560489;17;20240902 01:05;V;;;;;;
B;005;4534401;18;20240902 01:05;;;6;WAIEELA WAY;ANAMBAH;2320;501.3;M;20240731;20240828;348000;R1;V;VACANT LAND;;AAV;;0;AU369502;
C;005;4534401;18;20240902 01:05;225/1299754;
D;005;4534401;18;20240902 01:05;P;;;;;;
D;005;4534401;18;20240902 01:05;P;;;;;;
D;005;4534401;18;20240902 01:05;V;;;;;;
B;005;4534402;19;20240902 01:05;;;8;WAIEELA WAY;ANAMBAH;2320;490.3;M;20240726;20240823;340000;R1;V;VACANT LAND;;AAV;;0;AU357366;
C;005;4534402;19;20240902 01:05;226/1299754;
D;005;4534402;19;20240902 01:05;P;;;;;;
D;005;4534402;19;20240902 01:05;P;;;;;;
D;005;4534402;19;20240902 01:05;V;;;;;;
B;005;180265;20;20240902 01:05;;;20;HARTLEY DR;THORNTON;2322;1528;M;20240809;20240826;1800000;E3;R;RESIDENCE;;EPE;;0;AU360869;
C;005;180265;20;20240902 01:05;10/1011145;
D;005;180265;20;20240902 01:05;P;;;;;;
D;005;180265;20;20240902 01:05;V;;;;;;
B;005;175191;21;20240902 01:05;;;13;CARR ST;RUTHERFORD;2320;627;M;20240710;20240829;531000;R1;R;RESIDENCE;;AAX;;0;AU372487;
C;005;175191;21;20240902 01:05;231/701092;
D;005;175191;21;20240902 01:05;P;;;;;;
D;005;175191;21;20240902 01:05;P;;;;;;
D;005;175191;21;20240902 01:05;V;;;;;;
D;005;175191;21;20240902 01:05;V;;;;;;
B;005;178109;22;20240902 01:05;;;12;EVELYN CRES;THORNTON;2322;563.6;M;20240712;20240823;765000;R1;R;RESIDENCE;;AAE;;0;AU359003;
C;005;178109;22;20240902 01:05;388/260916;
D;005;178109;22;20240902 01:05;P;;;;;;
D;005;178109;22;20240902 01:05;P;;;;;;
D;005;178109;22;20240902 01:05;V;;;;;;
D;005;178109;22;20240902 01:05;V;;;;;;
B;005;173167;23;20240902 01:05;;;18;BARRALIER AVE;WOODBERRY;2322;505.9;M;20240712;20240823;630000;R1;R;RESIDENCE;;AAA;;0;AU357122;
C;005;173167;23;20240902 01:05;413/243019;
D;005;173167;23;20240902 01:05;P;;;;;;
D;005;173167;23;20240902 01:05;V;;;;;;
B;005;175840;24;20240902 01:05;;;123;CHISHOLM RD;ASHTONFIELD;2323;1041.6;M;20240523;20240829;1080000;R1;R;RESIDENCE;;AAG;;0;AU374107;
C;005;175840;24;20240902 01:05;440/861622;
D;005;175840;24;20240902 01:05;P;;;;;;
D;005;175840;24;20240902 01:05;P;;;;;;
D;005;175840;24;20240902 01:05;V;;;;;;
D;005;175840;24;20240902 01:05;V;;;;;;
B;005;175985;25;20240902 01:05;;;2;CLARA ST;EAST MAITLAND;2323;531.1;M;20240813;20240828;425000;R1;R;RESIDENCE;;AAM;;0;AU369703;
C;005;175985;25;20240902 01:05;E/25151;
D;005;175985;25;20240902 01:05;P;;;;;;
D;005;175985;25;20240902 01:05;V;;;;;;
B;005;173502;26;20240902 01:05;;3;20;BLACKETT CL;EAST MAITLAND;2323;;;20240716;20240827;400000;;R;RESIDENCE;3;;;0;AU366052;
C;005;173502;26;20240902 01:05;3/SP41606;
D;005;173502;26;20240902 01:05;P;;;;;;
D;005;173502;26;20240902 01:05;V;;;;;;
D;005;173502;26;20240902 01:05;V;;;;;;
B;005;185649;27;20240902 01:05;;;25;MURRAY ST;EAST MAITLAND;2323;670.3;M;20240726;20240823;950000;R1;R;RESIDENCE;;AAM;;0;AU357939;
C;005;185649;27;20240902 01:05;C/326820;
D;005;185649;27;20240902 01:05;P;;;;;;
D;005;185649;27;20240902 01:05;V;;;;;;
B;005;186259;28;20240902 01:05;;1;321;NEW ENGLAND HWY;RUTHERFORD;2320;;;20240722;20240826;1000000;;R;RESIDENCE;1;;;0;AU361374;
C;005;186259;28;20240902 01:05;1/SP44969;
D;005;186259;28;20240902 01:05;P;;;;;;
D;005;186259;28;20240902 01:05;V;;;;;;
B;005;186259;29;20240902 01:05;;5;321;NEW ENGLAND HWY;RUTHERFORD;2320;;;20240722;20240826;1000000;;R;RESIDENCE;2;;;0;AU361374;
C;005;186259;29;20240902 01:05;2/SP44969;
D;005;186259;29;20240902 01:05;P;;;;;;
D;005;186259;29;20240902 01:05;V;;;;;;
B;005;186610;30;20240902 01:05;;;8;O'DONNELL CRES;METFORD;2323;643.7;M;20240701;20240823;640000;R1;R;RESIDENCE;;AAF;;0;AU358183;
C;005;186610;30;20240902 01:05;605/703547;
D;005;186610;30;20240902 01:05;P;;;;;;
D;005;186610;30;20240902 01:05;V;;;;;;
B;005;186752;31;20240902 01:05;;;12;OSBORN CL;THORNTON;2322;544;M;20240719;20240823;515000;R1;R;RESIDENCE;;AAE;;0;AU358788;
C;005;186752;31;20240902 01:05;163/248905;
D;005;186752;31;20240902 01:05;P;;;;;;
D;005;186752;31;20240902 01:05;V;;;;;;
B;005;189712;32;20240902 01:05;;;156;SOMERSET DR;THORNTON;2322;796;M;20240712;20240823;875000;R1;R;RESIDENCE;;AAD;;0;AU357736;
