A;RTSALEDATA;302;20240902 01:08;VALNET;
B;302;3592528;1;20240902 01:08;;;94;CHURCH ST;GLEN INNES;2370;7941;M;20240719;20240826;1000000;R1;R;RESIDENCE;;AAC;;0;AU360431;
C;302;3592528;1;20240902 01:08;4/313999 A, C/363940 2/518332 2/1156815;
D;302;3592528;1;20240902 01:08;P;;;;;;
D;302;3592528;1;20240902 01:08;P;;;;;;
D;302;3592528;1;20240902 01:08;V;;;;;;
D;302;3592528;1;20240902 01:08;V;;;;;;
B;302;1847060;2;20240902 01:08;;;147;HUNTER ST;GLEN INNES;2370;796.7;M;20240716;20240827;227000;R1;R;RESIDENCE;;AAA;;0;AU365206;
C;302;1847060;2;20240902 01:08;1/26563;
D;302;1847060;2;20240902 01:08;P;;;;;;
D;302;1847060;2;20240902 01:08;V;;;;;;
B;302;1847434;3;20240902 01:08;;;1;THOMAS ST;GLEN INNES;2370;2787;M;20240715;20240826;100000;RU1;V;VACANT LAND;;REG;;0;AU361080;
C;302;1847434;3;20240902 01:08;608/753282;
D;302;1847434;3;20240902 01:08;P;;;;;;
D;302;1847434;3;20240902 01:08;V;;;;;;
B;302;2660548;4;20240902 01:08;;;215;NEW ENGLAND HWY;DEEPWATER;2371;22.7;H;20240715;20240826;340000;RU1;R;RESIDENCE;;RSJ;;0;AU362389;
C;302;2660548;4;20240902 01:08;215/753272;
D;302;2660548;4;20240902 01:08;P;;;;;;
D;302;2660548;4;20240902 01:08;P;;;;;;
D;302;2660548;4;20240902 01:08;P;;;;;;
D;302;2660548;4;20240902 01:08;P;;;;;;
D;302;2660548;4;20240902 01:08;V;;;;;;
D;302;2660548;4;20240902 01:08;V;;;;;;
B;302;3271179;5;20240902 01:08;;;207 A;LAMBETH ST;GLEN INNES;2370;800;M;20240712;20240823;490000;R1;R;RESIDENCE;;AAC;;0;AU356094;
C;302;3271179;5;20240902 01:08;1/1102132;
D;302;3271179;5;20240902 01:08;P;;;;;;
D;302;3271179;5;20240902 01:08;V;;;;;;
Z;28;5;5;16;
