A;RTSALEDATA;222;20240902 01:07;VALNET;
B;222;2472161;1;20240902 01:07;;;13;THIRD ST;SOUTH LITTLETON;2790;404.7;M;20240725;20240829;475000;R1;R;RESIDENCE;;AAL;;0;AU374303;
C;222;2472161;1;20240902 01:07;68/28254;
D;222;2472161;1;20240902 01:07;P;;;;;;
D;222;2472161;1;20240902 01:07;P;;;;;;
D;222;2472161;1;20240902 01:07;V;;;;;;
B;222;2464245;2;20240902 01:07;;;97;CALERO ST;LITHGOW;2790;739.8;M;20240716;20240827;490000;R1;R;RESIDENCE;;AAA;;0;AU367020;
C;222;2464245;2;20240902 01:07;237/5255;
D;222;2464245;2;20240902 01:07;P;;;;;;
D;222;2464245;2;20240902 01:07;V;;;;;;
B;222;2467254;3;20240902 01:07;;;76;MORT ST;LITHGOW;2790;663.9;M;20240726;20240823;330000;R1;R;RESIDENCE;;ACE;;0;AU356503;
C;222;2467254;3;20240902 01:07;1/15/2308;
D;222;2467254;3;20240902 01:07;P;;;;;;
D;222;2467254;3;20240902 01:07;V;;;;;;
B;222;2469981;4;20240902 01:07;;;4;LAURIE ST;PORTLAND;2847;923.2;M;20240717;20240828;390000;R2;R;RESIDENCE;;APR;;0;AU369287;
C;222;2469981;4;20240902 01:07;7/50/758855;
D;222;2469981;4;20240902 01:07;P;;;;;;
D;222;2469981;4;20240902 01:07;P;;;;;;
D;222;2469981;4;20240902 01:07;V;;;;;;
D;222;2469981;4;20240902 01:07;V;;;;;;
B;222;2467660;5;20240902 01:07;;;54;RABAUL ST;LITTLETON;2790;885.2;M;20240730;20240829;570000;R1;R;RESIDENCE;;AAL;;0;AU372809;
C;222;2467660;5;20240902 01:07;15/J/19973;
D;222;2467660;5;20240902 01:07;P;;;;;;
D;222;2467660;5;20240902 01:07;V;;;;;;
D;222;2467660;5;20240902 01:07;V;;;;;;
B;222;2470298;6;20240902 01:07;;;11;ROWSELL ST;PORTLAND;2847;1012;M;20240725;20240828;548000;R2;R;RESIDENCE;;APR;;0;AU368932;
C;222;2470298;6;20240902 01:07;23/5383;
D;222;2470298;6;20240902 01:07;P;;;;;;
D;222;2470298;6;20240902 01:07;P;;;;;;
D;222;2470298;6;20240902 01:07;V;;;;;;
D;222;2470298;6;20240902 01:07;V;;;;;;
B;222;2465375;7;20240902 01:07;;;1098;GREAT WESTERN HWY;LITHGOW;2790;763.2;M;20240717;20240828;355000;R1;R;RESIDENCE;;ABO;;0;AU368468;
C;222;2465375;7;20240902 01:07;2/579252;
D;222;2465375;7;20240902 01:07;P;;;;;;
D;222;2465375;7;20240902 01:07;V;;;;;;
B;222;2473478;8;20240902 01:07;;;8;WALKER DR;WALLERAWANG;2845;1090;M;20240619;20240826;599000;R2;R;RESIDENCE;;AWA;;0;AU362127;
C;222;2473478;8;20240902 01:07;17/263665;
D;222;2473478;8;20240902 01:07;P;;;;;;
D;222;2473478;8;20240902 01:07;P;;;;;;
D;222;2473478;8;20240902 01:07;V;;;;;;
D;222;2473478;8;20240902 01:07;V;;;;;;
B;222;2473725;9;20240902 01:07;;;3;MUTTON FALLS RD;TARANA;2787;2792;M;20240625;20240826;805000;RU5;R;RESIDENCE;;ZTA;;0;AU362124;
C;222;2473725;9;20240902 01:07;1/862240;
D;222;2473725;9;20240902 01:07;P;;;;;;
D;222;2473725;9;20240902 01:07;P;;;;;;
D;222;2473725;9;20240902 01:07;P;;;;;;
D;222;2473725;9;20240902 01:07;V;;;;;;
D;222;2473725;9;20240902 01:07;V;;;;;;
B;222;2466572;10;20240902 01:07;;;48;MACAULAY ST;MORTS ESTATE;2790;607.22;M;20240628;20240823;280000;R1;R;RESIDENCE;;AAF;;0;AU356735;
C;222;2466572;10;20240902 01:07;4/E/3998;
D;222;2466572;10;20240902 01:07;P;;;;;;
D;222;2466572;10;20240902 01:07;V;;;;;;
D;222;2466572;10;20240902 01:07;V;;;;;;
B;222;2471794;11;20240902 01:07;;;36;MARSDEN VIEW CL;KANIMBLA;2790;8.407;H;20240508;20240827;1495000;RU1;R;RESIDENCE;;SRS;;0;AU365911;
C;222;2471794;11;20240902 01:07;23/832876;
D;222;2471794;11;20240902 01:07;P;;;;;;
D;222;2471794;11;20240902 01:07;V;;;;;;
B;222;4568759;12;20240902 01:07;;;;DOWDELLS RD;HAMPTON;2790;1.659;H;20240415;20240620;18250;;V;VACANT LAND;;;;0;AU218486;
C;222;4568759;12;20240902 01:07;1/1306835;
D;222;4568759;12;20240902 01:07;P;;;;;;
D;222;4568759;12;20240902 01:07;V;;;;;;
B;222;3147413;13;20240902 01:07;;;27;JAMES O'DONNELL DR;BOWENFELS;2790;1020;M;20240709;20240823;795000;R2;R;RESIDENCE;;AAS;;0;AU358114;
C;222;3147413;13;20240902 01:07;316/1076313;
D;222;3147413;13;20240902 01:07;P;;;;;;
D;222;3147413;13;20240902 01:07;V;;;;;;
D;222;3147413;13;20240902 01:07;V;;;;;;
B;222;3278890;14;20240902 01:07;;;6;STOCKADE CL;SOUTH BOWENFELS;2790;1049;M;20240816;20240829;850000;R2;R;RESIDENCE;;AAS;;0;AU372116;
C;222;3278890;14;20240902 01:07;25/1103064;
D;222;3278890;14;20240902 01:07;P;;;;;;
D;222;3278890;14;20240902 01:07;P;;;;;;
D;222;3278890;14;20240902 01:07;V;;;;;;
Z;72;14;14;42;
