A;RTSALEDATA;151;20240902 01:06;VALNET;
B;151;1681372;1;20240902 01:06;;;9;LAURIE PL;CASINO;2470;1258;M;20240614;20240828;775000;R1;R;RESIDENCE;;AZZ;;0;AU370005;
C;151;1681372;1;20240902 01:06;99/852590;
D;151;1681372;1;20240902 01:06;P;;;;;;
D;151;1681372;1;20240902 01:06;P;;;;;;
D;151;1681372;1;20240902 01:06;V;;;;;;
D;151;1681372;1;20240902 01:06;V;;;;;;
B;151;1679970;2;20240902 01:06;;;90;DEAN ST;CASINO;2470;390.08;M;20240816;20240828;372500;R1;R;RESIDENCE;;ACC;;0;AU369980;
C;151;1679970;2;20240902 01:06;19/2/4857;
D;151;1679970;2;20240902 01:06;P;;;;;;
D;151;1679970;2;20240902 01:06;V;;;;;;
B;151;3420298;3;20240902 01:06;;;290;FIG TREE LANE;MCKEES HILL;2480;26.79;H;20240620;20240821;6477760;RU1;3;FARM;;RGD;;0;AU351541;
C;151;3420298;3;20240902 01:06;1/1132599;
D;151;3420298;3;20240902 01:06;P;;;;;;
D;151;3420298;3;20240902 01:06;V;;;;;;
B;151;1688071;4;20240902 01:06;;;1170;CANIABA RD;CLOVASS;2480;2.232;H;20240712;20240823;1225000;RU1;R;RESIDENCE;;RCC;;0;AU356672;
C;151;1688071;4;20240902 01:06;38/717545;
D;151;1688071;4;20240902 01:06;P;;;;;;
D;151;1688071;4;20240902 01:06;V;;;;;;
D;151;1688071;4;20240902 01:06;V;;;;;;
B;151;1687154;5;20240902 01:06;;;80;CRAWFORDS RD;COOMBELL;2470;277.68;H;20240620;20240821;7883363;RU1;3;FARM;;RGR;;0;AU351539;
C;151;1687154;5;20240902 01:06;1/251019 31, 80, 96, 195, 196, 201/755623;
D;151;1687154;5;20240902 01:06;P;;;;;;
D;151;1687154;5;20240902 01:06;V;;;;;;
B;151;1684880;6;20240902 01:06;;;29;PACIFIC CRES;EVANS HEAD;2473;596;M;20240711;20240822;1180000;R1;R;RESIDENCE;;DES;;0;AU352764;
C;151;1684880;6;20240902 01:06;2/883944;
D;151;1684880;6;20240902 01:06;P;;;;;;
D;151;1684880;6;20240902 01:06;V;;;;;;
D;151;1684880;6;20240902 01:06;V;;;;;;
B;151;3820607;7;20240902 01:06;;;2815;CASINO CORAKI RD;TATHAM;2471;2.002;H;20240726;20240823;622000;RU1;R;RESIDENCE;;RCC;;0;AU358151;
C;151;3820607;7;20240902 01:06;2/1185836;
D;151;3820607;7;20240902 01:06;P;;;;;;
D;151;3820607;7;20240902 01:06;V;;;;;;
B;151;3769160;8;20240902 01:06;;;223;GERAGHTYS RD;YORKLEA;2470;254.1;H;20240620;20240821;9587123;RU1;3;FARM;;RGD;;0;AU351538;
C;151;3769160;8;20240902 01:06;1, 2, 3, 4, 5/128364 11, 12/755623 1/1120929 1/1192279;
D;151;3769160;8;20240902 01:06;P;;;;;;
D;151;3769160;8;20240902 01:06;V;;;;;;
Z;38;8;8;20;
