A;RTSALEDATA;231;20240902 01:07;VALNET;
B;231;4155738;1;20240902 01:07;;;13;CHARLES PL;WEST WYALONG;2671;809.7;M;20240719;20240823;115000;R1;R;RESIDENCE;;WWN;;0;AU356750;
C;231;4155738;1;20240902 01:07;16/1245586;
D;231;4155738;1;20240902 01:07;P;;;;;;
D;231;4155738;1;20240902 01:07;V;;;;;;
B;231;2608266;2;20240902 01:07;;;3;POPE ST;TALLIMBA;2669;1113;M;20240808;20240829;58300;RU5;3;SHOP;;VTL;;0;AU373457;
C;231;2608266;2;20240902 01:07;89/750868;
D;231;2608266;2;20240902 01:07;P;;;;;;
D;231;2608266;2;20240902 01:07;V;;;;;;
B;231;2608938;3;20240902 01:07;;;9;COURT ST;WEST WYALONG;2671;891.6;M;20240715;20240826;382000;E1;R;RESIDENCE;;BFW;;0;AU362551;
C;231;2608938;3;20240902 01:07;411/514495;
D;231;2608938;3;20240902 01:07;P;;;;;;
D;231;2608938;3;20240902 01:07;P;;;;;;
D;231;2608938;3;20240902 01:07;V;;;;;;
B;231;2609803;4;20240902 01:07;;;13;QUOTA DR;WEST WYALONG;2671;1100;M;20240822;20240828;410000;R1;R;RESIDENCE;;WWN;;0;AU369887;
C;231;2609803;4;20240902 01:07;13/236439;
D;231;2609803;4;20240902 01:07;P;;;;;;
D;231;2609803;4;20240902 01:07;V;;;;;;
D;231;2609803;4;20240902 01:07;V;;;;;;
B;231;4268749;5;20240902 01:07;;;94;BLYTH ST;WYALONG;2671;2.675;H;20240723;20240815;220000;RU1;R;RESIDENCE;;HWW;;0;AU334760;
C;231;4268749;5;20240902 01:07;1/46/759123 7030/1073195 7304, 7305/1139598 Licence 630261;
D;231;4268749;5;20240902 01:07;P;;;;;;
D;231;4268749;5;20240902 01:07;V;;;;;;
D;231;4268749;5;20240902 01:07;V;;;;;;
Z;25;5;5;13;
