A;RTSALEDATA;300;20240902 01:08;VALNET;
B;300;1843320;1;20240902 01:08;;;10;SPRING ST;BINGARA;2404;1318;M;20240704;20240827;125000;RU5;R;RESIDENCE;;ABB;;0;AU364725;
C;300;1843320;1;20240902 01:08;2/629061;
D;300;1843320;1;20240902 01:08;P;;;;;;
D;300;1843320;1;20240902 01:08;V;;;;;;
D;300;1843320;1;20240902 01:08;V;;;;;;
B;300;2688655;2;20240902 01:08;;;29;RAILWAY PDE;GRAVESEND;2401;2023;M;20240731;20240828;200000;RU5;R;RESIDENCE;;VGN;;0;AU369585;
C;300;2688655;2;20240902 01:08;47/751108;
D;300;2688655;2;20240902 01:08;P;;;;;;
D;300;2688655;2;20240902 01:08;V;;;;;;
D;300;2688655;2;20240902 01:08;V;;;;;;
Z;12;2;2;6;
