A;RTSALEDATA;100;20240902 01:06;VALNET;
B;100;2895511;1;20240902 01:06;;;61;CAMPASPE CCT;ALBION PARK;2527;601.4;M;20240704;20240829;1020000;R2;R;RESIDENCE;;ABA;;0;AU372917;
C;100;2895511;1;20240902 01:06;2223/1038706;
D;100;2895511;1;20240902 01:06;P;;;;;;
D;100;2895511;1;20240902 01:06;V;;;;;;
D;100;2895511;1;20240902 01:06;V;;;;;;
B;100;4175764;2;20240902 01:06;;;46;TERRAGONG ST;TULLIMBAR;2527;450;M;20240801;20240829;1250000;A;R;RESIDENCE;;CD;;0;AU374385;
C;100;4175764;2;20240902 01:06;301/1230129;
D;100;4175764;2;20240902 01:06;P;;;;;;
D;100;4175764;2;20240902 01:06;P;;;;;;
D;100;4175764;2;20240902 01:06;V;;;;;;
B;100;4565139;3;20240902 01:06;;2;83;PUR PUR AVE;LAKE ILLAWARRA;2528;224.8;M;20240701;20240826;950000;R3;R;RESIDENCE;;AAV;;0;AU363322;
C;100;4565139;3;20240902 01:06;2/1285831;
D;100;4565139;3;20240902 01:06;P;;;;;;
D;100;4565139;3;20240902 01:06;V;;;;;;
D;100;4565139;3;20240902 01:06;V;;;;;;
D;100;4565139;3;20240902 01:06;V;;;;;;
D;100;4565139;3;20240902 01:06;V;;;;;;
B;100;4565196;4;20240902 01:06;;;21 A;GALACTIC DR;DUNMORE;2529;225;M;20240419;20240827;990000;R2;R;RESIDENCE;;AAE;;0;AU366794;
C;100;4565196;4;20240902 01:06;1/1308432;
D;100;4565196;4;20240902 01:06;P;;;;;;
D;100;4565196;4;20240902 01:06;V;;;;;;
B;100;4565197;5;20240902 01:06;;;21;GALACTIC DR;DUNMORE;2529;225;M;20240628;20240827;1150000;R2;R;RESIDENCE;;AAE;;0;AU367624;
C;100;4565197;5;20240902 01:06;2/1308432;
D;100;4565197;5;20240902 01:06;P;;;;;;
D;100;4565197;5;20240902 01:06;V;;;;;;
B;100;4563913;6;20240902 01:06;;;177;PRINCES HWY;ALBION PARK RAIL;2527;278;M;20240715;20240826;750000;R2;R;RESIDENCE;;AAA;;0;AU362654;
C;100;4563913;6;20240902 01:06;1/1306746;
D;100;4563913;6;20240902 01:06;P;;;;;;
D;100;4563913;6;20240902 01:06;P;;;;;;
D;100;4563913;6;20240902 01:06;V;;;;;;
B;100;4564424;7;20240902 01:06;;;82;BOOLLWARROO PDE;SHELL COVE;2529;479;M;20230707;20240823;2195000;;V;VACANT LAND;;;;0;AU357622;
C;100;4564424;7;20240902 01:06;8302/1292738;
D;100;4564424;7;20240902 01:06;P;;;;;;
D;100;4564424;7;20240902 01:06;V;;;;;;
B;100;4531153;8;20240902 01:06;;121;45;QUAYSIDE AVE;SHELL COVE;2529;119;M;20200914;20240823;725000;;R;RESIDENCE;38;;;0;AU356730;
C;100;4531153;8;20240902 01:06;38/SP107399;
D;100;4531153;8;20240902 01:06;P;;;;;;
D;100;4531153;8;20240902 01:06;V;;;;;;
B;100;4531153;9;20240902 01:06;;320;45;QUAYSIDE AVE;SHELL COVE;2529;130;M;20200914;20240827;735000;;R;RESIDENCE;85;;;0;AU366237;
C;100;4531153;9;20240902 01:06;85/SP107399;
D;100;4531153;9;20240902 01:06;P;;;;;;
D;100;4531153;9;20240902 01:06;P;;;;;;
D;100;4531153;9;20240902 01:06;V;;;;;;
B;100;4564815;10;20240902 01:06;;1;94;THE BOULEVARDE;OAK FLATS;2529;220;M;20240711;20240823;878000;;R;RESIDENCE;1;;;0;AU358988;
C;100;4564815;10;20240902 01:06;1/SP108152;
D;100;4564815;10;20240902 01:06;P;;;;;;
D;100;4564815;10;20240902 01:06;P;;;;;;
D;100;4564815;10;20240902 01:06;V;;;;;;
B;100;1031896;11;20240902 01:06;;;35;BANDICOOT DR;BLACKBUTT;2529;572;M;20240717;20240828;1350000;R2;R;RESIDENCE;;AAF;;0;AU370397;
C;100;1031896;11;20240902 01:06;5128/806281;
D;100;1031896;11;20240902 01:06;P;;;;;;
D;100;1031896;11;20240902 01:06;V;;;;;;
D;100;1031896;11;20240902 01:06;V;;;;;;
B;100;1043265;12;20240902 01:06;;;70;MAPLE ST;ALBION PARK RAIL;2527;565.64;M;20240612;20240828;830000;R2;R;RESIDENCE;;AAA;;0;AU370127;
C;100;1043265;12;20240902 01:06;560/246171;
D;100;1043265;12;20240902 01:06;P;;;;;;
D;100;1043265;12;20240902 01:06;P;;;;;;
D;100;1043265;12;20240902 01:06;V;;;;;;
D;100;1043265;12;20240902 01:06;V;;;;;;
