A;RTSALEDATA;007;20240909 01:05;VALNET;
B;007;4138502;1;20240909 01:05;;;700;YARRAMAN RD;WYBONG;2333;16.188;H;20240402;20240829;1000000;RU1;R;RESIDENCE;;JR;;0;AU374680;
C;007;4138502;1;20240909 01:05;58/750969;
D;007;4138502;1;20240909 01:05;P;;;;;;
D;007;4138502;1;20240909 01:05;V;;;;;;
B;007;199798;2;20240909 01:05;;;46;OSBORN AVE;MUSWELLBROOK;2333;676.6;M;20240725;20240905;528000;R1;R;RESIDENCE;;AC;;0;AU392271;
C;007;199798;2;20240909 01:05;8/239686;
D;007;199798;2;20240909 01:05;P;;;;;;
D;007;199798;2;20240909 01:05;V;;;;;;
Z;10;2;2;4;
