A;RTSALEDATA;268;20240909 01:07;VALNET;
B;268;315589;1;20240909 01:07;;;14;ROBUR CT;TUNCURRY;2428;730.3;M;20240723;20240903;785500;R2;R;RESIDENCE;;AAC;;0;AU385221;
C;268;315589;1;20240909 01:07;62/881815;
D;268;315589;1;20240909 01:07;P;;;;;;
D;268;315589;1;20240909 01:07;P;;;;;;
D;268;315589;1;20240909 01:07;V;;;;;;
B;268;312992;2;20240909 01:07;;;41;COWPER ST;STROUD;2425;1517;M;20240729;20240902;600000;RU5;R;RESIDENCE;;AWS;;0;AU382401;
C;268;312992;2;20240909 01:07;1/112717;
D;268;312992;2;20240909 01:07;P;;;;;;
D;268;312992;2;20240909 01:07;V;;;;;;
B;268;328382;3;20240909 01:07;;;108;TARBUCK PARK RD;TARBUCK BAY;2428;10.12;H;20240703;20240904;799000;RU2;V;VACANT LAND;;RPN;;0;AU387908;
C;268;328382;3;20240909 01:07;24/248192;
D;268;328382;3;20240909 01:07;P;;;;;;
D;268;328382;3;20240909 01:07;P;;;;;;
D;268;328382;3;20240909 01:07;V;;;;;;
D;268;328382;3;20240909 01:07;V;;;;;;
B;268;327326;4;20240909 01:07;;;427;MARKWELL BACK RD;BULAHDELAH;2423;3.553;H;20240503;20240903;1075000;RU2;R;RESIDENCE;;RQT;;0;AU384992;
C;268;327326;4;20240909 01:07;22/777937;
D;268;327326;4;20240909 01:07;P;;;;;;
D;268;327326;4;20240909 01:07;V;;;;;;
D;268;327326;4;20240909 01:07;V;;;;;;
B;268;325530;5;20240909 01:07;;;58;TOONANG DR;TEA GARDENS;2324;6808;M;20240813;20240828;800000;R5;R;RESIDENCE;;RTA;;0;AU368317;
C;268;325530;5;20240909 01:07;20/738450;
D;268;325530;5;20240909 01:07;P;;;;;;
D;268;325530;5;20240909 01:07;V;;;;;;
B;268;328539;6;20240909 01:07;;;1273;MILL CREEK RD;STROUD;2425;8.473;H;20240725;20240905;1450000;RU2;R;RESIDENCE;;RTN;;0;AU392928;
C;268;328539;6;20240909 01:07;111/839774;
D;268;328539;6;20240909 01:07;P;;;;;;
D;268;328539;6;20240909 01:07;P;;;;;;
D;268;328539;6;20240909 01:07;P;;;;;;
D;268;328539;6;20240909 01:07;V;;;;;;
D;268;328539;6;20240909 01:07;V;;;;;;
B;268;4242593;7;20240909 01:07;;;5;ANGUS DR;FAILFORD;2430;4000;M;20240726;20240905;1290000;R5;R;RESIDENCE;;RQD;;0;AU392999;
C;268;4242593;7;20240909 01:07;703/1256906;
D;268;4242593;7;20240909 01:07;P;;;;;;
D;268;4242593;7;20240909 01:07;P;;;;;;
D;268;4242593;7;20240909 01:07;V;;;;;;
D;268;4242593;7;20240909 01:07;V;;;;;;
B;268;1786716;8;20240909 01:07;;;5;ROHINI PL;TAREE;2430;541;M;20240809;20240830;480000;R1;R;RESIDENCE;;ABU;;0;AU377370;
C;268;1786716;8;20240909 01:07;54/841525;
D;268;1786716;8;20240909 01:07;P;;;;;;
D;268;1786716;8;20240909 01:07;V;;;;;;
