A;RTSALEDATA;005;20240909 01:05;VALNET;
B;005;2823107;1;20240909 01:05;;;26;BENJAMIN CIR;RUTHERFORD;2320;693.8;M;20240718;20240902;777500;R1;R;RESIDENCE;;AAV;;0;AU380539;
C;005;2823107;1;20240909 01:05;1035/1027183;
D;005;2823107;1;20240909 01:05;P;;;;;;
D;005;2823107;1;20240909 01:05;V;;;;;;
B;005;2976761;2;20240909 01:05;;;29;ROTHBURY TCE;THORNTON;2322;542.6;M;20240812;20240830;830000;R1;R;RESIDENCE;;AAD;;0;AU377845;
C;005;2976761;2;20240909 01:05;8/1050485;
D;005;2976761;2;20240909 01:05;P;;;;;;
D;005;2976761;2;20240909 01:05;P;;;;;;
D;005;2976761;2;20240909 01:05;V;;;;;;
B;005;4157157;3;20240909 01:05;;1;24;CROFT CL;THORNTON;2322;315;M;20240722;20240902;625000;;R;RESIDENCE;2;;;0;AU382349;
C;005;4157157;3;20240909 01:05;2/SP98316;
D;005;4157157;3;20240909 01:05;P;;;;;;
D;005;4157157;3;20240909 01:05;V;;;;;;
B;005;4176341;4;20240909 01:05;;;10;GLENWOOD DR;THORNTON;2322;54.91;H;20240625;20240829;1320000;RU2;R;RESIDENCE;;RLE;;0;AU371811;
C;005;4176341;4;20240909 01:05;10, 13/1201450;
D;005;4176341;4;20240909 01:05;P;;;;;;
D;005;4176341;4;20240909 01:05;V;;;;;;
B;005;3012779;5;20240909 01:05;;;13;SHIPLEY DR;RUTHERFORD;2320;1615;M;20240719;20240830;1320000;E3;3;COMMERCIAL;;EPW;;0;AU378104;
C;005;3012779;5;20240909 01:05;1/1055852;
D;005;3012779;5;20240909 01:05;P;;;;;;
D;005;3012779;5;20240909 01:05;V;;;;;;
B;005;3539964;6;20240909 01:05;;;19;REDTAIL ST;CHISHOLM;2322;539;M;20240720;20240902;840000;R1;R;RESIDENCE;;AAB;;0;AU383743;
C;005;3539964;6;20240909 01:05;110/1152173;
D;005;3539964;6;20240909 01:05;P;;;;;;
D;005;3539964;6;20240909 01:05;P;;;;;;
D;005;3539964;6;20240909 01:05;V;;;;;;
D;005;3539964;6;20240909 01:05;V;;;;;;
B;005;3563980;7;20240909 01:05;;;15;MILEHAM CCT;RUTHERFORD;2320;600;M;20240722;20240902;690000;R1;R;RESIDENCE;;AAT;;0;AU381721;
C;005;3563980;7;20240909 01:05;52/1132100;
D;005;3563980;7;20240909 01:05;P;;;;;;
D;005;3563980;7;20240909 01:05;P;;;;;;
D;005;3563980;7;20240909 01:05;V;;;;;;
B;005;3640780;8;20240909 01:05;;;35;LAPWING ST;ABERGLASSLYN;2320;646;M;20240724;20240904;800000;R1;R;RESIDENCE;;AAT;;0;AU389718;
C;005;3640780;8;20240909 01:05;2325/1169717;
D;005;3640780;8;20240909 01:05;P;;;;;;
D;005;3640780;8;20240909 01:05;P;;;;;;
D;005;3640780;8;20240909 01:05;V;;;;;;
D;005;3640780;8;20240909 01:05;V;;;;;;
B;005;4038672;9;20240909 01:05;;;7;DOGWOOD ST;GILLIESTON HEIGHTS;2321;569;M;20240828;20240903;850000;R1;R;RESIDENCE;;ABC;;0;AU384769;
C;005;4038672;9;20240909 01:05;824/1219603;
D;005;4038672;9;20240909 01:05;P;;;;;;
D;005;4038672;9;20240909 01:05;V;;;;;;
B;005;4076472;10;20240909 01:05;;;53;TARRAGON WAY;CHISHOLM;2322;503.5;M;20240801;20240904;880000;R1;R;RESIDENCE;;AAB;;0;AU388047;
C;005;4076472;10;20240909 01:05;527/1228344;
D;005;4076472;10;20240909 01:05;P;;;;;;
D;005;4076472;10;20240909 01:05;P;;;;;;
D;005;4076472;10;20240909 01:05;V;;;;;;
B;005;4524784;11;20240909 01:05;;2;24;BANKS ST;EAST MAITLAND;2323;191;M;20240717;20240828;655000;;R;RESIDENCE;2;;;0;AU370692;
C;005;4524784;11;20240909 01:05;2/SP107405;
D;005;4524784;11;20240909 01:05;P;;;;;;
D;005;4524784;11;20240909 01:05;V;;;;;;
B;005;4525477;12;20240909 01:05;;;70;WICKLOW RD;CHISHOLM;2322;723.1;M;20240806;20240905;545440;R1;R;RESIDENCE;;AAB;;0;AU393898;
C;005;4525477;12;20240909 01:05;107/1300926;
D;005;4525477;12;20240909 01:05;P;;;;;;
D;005;4525477;12;20240909 01:05;V;;;;;;
B;005;4525502;13;20240909 01:05;;;56;GREYSTONES DR;CHISHOLM;2322;528;M;20240903;20240905;460000;R1;R;RESIDENCE;;AAB;;0;AU394095;
C;005;4525502;13;20240909 01:05;132/1300926;
D;005;4525502;13;20240909 01:05;P;;;;;;
D;005;4525502;13;20240909 01:05;P;;;;;;
D;005;4525502;13;20240909 01:05;V;;;;;;
D;005;4525502;13;20240909 01:05;V;;;;;;
B;005;4505850;14;20240909 01:05;;;5;ANSTON ST;FARLEY;2320;306;M;20240813;20240905;600000;R1;R;RESIDENCE;;ABJ;;0;AU394305;
C;005;4505850;14;20240909 01:05;2131/1298026;
D;005;4505850;14;20240909 01:05;P;;;;;;
D;005;4505850;14;20240909 01:05;V;;;;;;
