A;RTSALEDATA;061;20240909 01:05;VALNET;
B;061;4570158;1;20240909 01:05;;;2291;BYRNES RD;HAREFIELD;2650;624.604;H;20240719;20240830;9500000;;3;FARM;;;;0;AU379286;
C;061;4570158;1;20240909 01:05;5, 6/624697 29/751425 2/776177 1, 2, 3/784859 22/1302859 21/1302860;
D;061;4570158;1;20240909 01:05;P;;;;;;
D;061;4570158;1;20240909 01:05;V;;;;;;
D;061;4570158;1;20240909 01:05;V;;;;;;
B;061;4570159;2;20240909 01:05;MYRNONG CENTRA;;;BYRNES RD;HAREFIELD;2650;22.87;H;20240719;20240830;81887;;3;FARM;;;;0;AU379437;
C;061;4570159;2;20240909 01:05;1/1305008;
D;061;4570159;2;20240909 01:05;P;;;;;;
D;061;4570159;2;20240909 01:05;P;;;;;;
D;061;4570159;2;20240909 01:05;V;;;;;;
D;061;4570159;2;20240909 01:05;V;;;;;;
B;061;533304;3;20240909 01:05;;;;AERODROME LANE;YATHELLA;2650;86.81;H;20240719;20240830;1455200;RU1;3;FARM;;RMA;;0;AU379203;
C;061;533304;3;20240909 01:05;55, 56/751425;
D;061;533304;3;20240909 01:05;P;;;;;;
D;061;533304;3;20240909 01:05;V;;;;;;
D;061;533304;3;20240909 01:05;V;;;;;;
B;061;533776;4;20240909 01:05;;;12;CEDRIC ST;JUNEE;2663;853.6;M;20240805;20240902;451000;RU5;R;RESIDENCE;;JCN;;0;AU381977;
C;061;533776;4;20240909 01:05;12/3/10923;
D;061;533776;4;20240909 01:05;P;;;;;;
D;061;533776;4;20240909 01:05;P;;;;;;
D;061;533776;4;20240909 01:05;V;;;;;;
D;061;533776;4;20240909 01:05;V;;;;;;
B;061;533994;5;20240909 01:05;;;5;DUCKER ST;JUNEE;2663;358.9;M;20240805;20240903;320000;RU5;R;RESIDENCE;;JNS;;0;AU387359;
C;061;533994;5;20240909 01:05;5/848629;
D;061;533994;5;20240909 01:05;P;;;;;;
D;061;533994;5;20240909 01:05;V;;;;;;
Z;28;5;5;16;
