A;RTSALEDATA;054;20240909 01:05;VALNET;
B;054;512159;1;20240909 01:05;;;1113;DEEPWATER RD;MATONG;2652;2023;M;20240802;20240830;90000;RU5;R;RESIDENCE;;MAT;;0;AU378732;
C;054;512159;1;20240909 01:05;3/5/758657;
D;054;512159;1;20240909 01:05;P;;;;;;
D;054;512159;1;20240909 01:05;V;;;;;;
B;054;512517;2;20240909 01:05;;;24;DUNROBIN ST;COOLAMON;2701;672.3;M;20240802;20240830;397000;RU5;R;RESIDENCE;;CLM;;0;AU375498;
C;054;512517;2;20240909 01:05;2/814685;
D;054;512517;2;20240909 01:05;P;;;;;;
D;054;512517;2;20240909 01:05;P;;;;;;
D;054;512517;2;20240909 01:05;V;;;;;;
D;054;512517;2;20240909 01:05;V;;;;;;
Z;12;2;2;6;
