A;RTSALEDATA;158;20240909 01:06;VALNET;
B;158;1739145;1;20240909 01:06;;;224;ARMSTRONGS RD;TUNGLEBUNG;2469;4.856;H;20240715;20240830;280000;RU1;V;VACANT LAND;;RRW;;0;AU377153;
C;158;1739145;1;20240909 01:06;161/825746;
D;158;1739145;1;20240909 01:06;P;;;;;;
D;158;1739145;1;20240909 01:06;V;;;;;;
B;158;1742193;2;20240909 01:06;;;99;FARAWAY RD;CAWONGLA;2474;57.66;H;20240813;20240830;975000;RU1;3;FARM;;RRC;;0;AU376312;
C;158;1742193;2;20240909 01:06;3/251657;
D;158;1742193;2;20240909 01:06;P;;;;;;
D;158;1742193;2;20240909 01:06;P;;;;;;
D;158;1742193;2;20240909 01:06;V;;;;;;
D;158;1742193;2;20240909 01:06;V;;;;;;
B;158;1740697;3;20240909 01:06;;;66;ETTRICK ST;KYOGLE;2474;1739;M;20240731;20240830;650000;MU1;3;COMMERCIAL;;MUK;;0;AU375921;
C;158;1740697;3;20240909 01:06;1, 2, 3/19108;
D;158;1740697;3;20240909 01:06;P;;;;;;
D;158;1740697;3;20240909 01:06;P;;;;;;
D;158;1740697;3;20240909 01:06;V;;;;;;
D;158;1740697;3;20240909 01:06;V;;;;;;
B;158;3623456;4;20240909 01:06;;;14;HOWARD CT;KYOGLE;2474;1056;M;20240808;20240830;880000;R1;R;RESIDENCE;;AAA;;0;AU375521;
C;158;3623456;4;20240909 01:06;14/1172403;
D;158;3623456;4;20240909 01:06;P;;;;;;
D;158;3623456;4;20240909 01:06;P;;;;;;
D;158;3623456;4;20240909 01:06;V;;;;;;
D;158;3623456;4;20240909 01:06;V;;;;;;
Z;24;4;4;14;
