A;RTSALEDATA;252;20240909 01:07;VALNET;
B;252;2944701;1;20240909 01:07;;;25;BEAVER PL;WALCHA;2354;1;H;20240718;20240829;154000;E4;V;VACANT LAND;;IWT;;0;AU371576;
C;252;2944701;1;20240909 01:07;3/1046217;
D;252;2944701;1;20240909 01:07;P;;;;;;
D;252;2944701;1;20240909 01:07;V;;;;;;
B;252;2677676;2;20240909 01:07;;;151;THUNDERBOLTS WAY;WALCHA;2354;6393;M;20240704;20240903;640000;RU1;R;RESIDENCE;;RWA;;0;AU384250;
C;252;2677676;2;20240909 01:07;4/550458;
D;252;2677676;2;20240909 01:07;P;;;;;;
D;252;2677676;2;20240909 01:07;P;;;;;;
D;252;2677676;2;20240909 01:07;V;;;;;;
D;252;2677676;2;20240909 01:07;V;;;;;;
B;252;3363395;3;20240909 01:07;;;65 N;LAGOON ST;WALCHA;2354;2017;M;20240704;20240903;850000;R1;R;RESIDENCE;;AAA;;0;AU384247;
C;252;3363395;3;20240909 01:07;5/817618;
D;252;3363395;3;20240909 01:07;P;;;;;;
D;252;3363395;3;20240909 01:07;P;;;;;;
D;252;3363395;3;20240909 01:07;V;;;;;;
D;252;3363395;3;20240909 01:07;V;;;;;;
Z;18;3;3;10;
