A;RTSALEDATA;257;20240909 01:07;VALNET;
B;257;4209768;1;20240909 01:07;;;154 A;BROWN ST;ARMIDALE;2350;400;M;20240809;20240903;920000;;R;RESIDENCE;1;;;0;AU384365;
C;257;4209768;1;20240909 01:07;1/SP99450;
D;257;4209768;1;20240909 01:07;P;;;;;;
D;257;4209768;1;20240909 01:07;V;;;;;;
D;257;4209768;1;20240909 01:07;V;;;;;;
B;257;3035454;2;20240909 01:07;;;13;BIRCH CRES;ARMIDALE;2350;735;M;20240802;20240830;435000;R1;R;RESIDENCE;;AAN;;0;AU377094;
C;257;3035454;2;20240909 01:07;7/48722;
D;257;3035454;2;20240909 01:07;P;;;;;;
D;257;3035454;2;20240909 01:07;P;;;;;;
D;257;3035454;2;20240909 01:07;V;;;;;;
B;257;3720418;3;20240909 01:07;;;6 A;DAWSON AVE;ARMIDALE;2350;551;M;20240816;20240902;540000;R1;R;RESIDENCE;;AAC;;0;AU380419;
C;257;3720418;3;20240909 01:07;1/1188261;
D;257;3720418;3;20240909 01:07;P;;;;;;
D;257;3720418;3;20240909 01:07;P;;;;;;
D;257;3720418;3;20240909 01:07;V;;;;;;
D;257;3720418;3;20240909 01:07;V;;;;;;
B;257;2752691;4;20240909 01:07;;;20;MOYES ST;ARMIDALE;2350;785.9;M;20240809;20240904;348000;R1;R;RESIDENCE;;AAB;;0;AU390881;
C;257;2752691;4;20240909 01:07;69/253419;
D;257;2752691;4;20240909 01:07;P;;;;;;
D;257;2752691;4;20240909 01:07;P;;;;;;
D;257;2752691;4;20240909 01:07;V;;;;;;
B;257;2747595;5;20240909 01:07;;15;206;BEARDY ST;ARMIDALE;2350;;;20240719;20240830;215000;;3;COMMERCIAL;15;;;0;AU377308;
C;257;2747595;5;20240909 01:07;15/SP22471;
D;257;2747595;5;20240909 01:07;P;;;;;;
D;257;2747595;5;20240909 01:07;V;;;;;;
B;257;2747973;6;20240909 01:07;;;152;BROWN ST;ARMIDALE;2350;2023;M;20240730;20240903;765000;R1;R;RESIDENCE;;AAE;;0;AU386081;
C;257;2747973;6;20240909 01:07;14/1042308;
D;257;2747973;6;20240909 01:07;P;;;;;;
D;257;2747973;6;20240909 01:07;V;;;;;;
D;257;2747973;6;20240909 01:07;V;;;;;;
B;257;2748004;7;20240909 01:07;;;208;BROWN ST;ARMIDALE;2350;1645;M;20240808;20240830;560000;R1;R;RESIDENCE;;AAF;;0;AU376095;
C;257;2748004;7;20240909 01:07;23/791461;
D;257;2748004;7;20240909 01:07;P;;;;;;
D;257;2748004;7;20240909 01:07;V;;;;;;
B;257;2748121;8;20240909 01:07;;;6;BUNDARRA RD;ARMIDALE;2350;1524;M;20240703;20240902;415000;R1;R;RESIDENCE;;AAB;;0;AU383746;
C;257;2748121;8;20240909 01:07;A/385212;
D;257;2748121;8;20240909 01:07;P;;;;;;
D;257;2748121;8;20240909 01:07;P;;;;;;
D;257;2748121;8;20240909 01:07;V;;;;;;
B;257;2750857;9;20240909 01:07;;;78;JEFFREY ST;ARMIDALE;2350;1357;M;20240807;20240905;330000;R1;R;RESIDENCE;;AAC;;0;AU394434;
C;257;2750857;9;20240909 01:07;1/322530 1/374934 A/388351;
D;257;2750857;9;20240909 01:07;P;;;;;;
D;257;2750857;9;20240909 01:07;P;;;;;;
D;257;2750857;9;20240909 01:07;V;;;;;;
D;257;2750857;9;20240909 01:07;V;;;;;;
D;257;2750857;9;20240909 01:07;V;;;;;;
D;257;2750857;9;20240909 01:07;V;;;;;;
B;257;4472872;10;20240909 01:07;;;20;CAMPBELL PDE;ARMIDALE;2350;1205;M;20240816;20240904;235000;R1;V;VACANT LAND;;AAA;;0;AU390405;
C;257;4472872;10;20240909 01:07;107/1291818;
D;257;4472872;10;20240909 01:07;P;;;;;;
D;257;4472872;10;20240909 01:07;V;;;;;;
B;257;3824817;11;20240909 01:07;;;4;STOCK YARD RD;GUYRA;2365;1.114;H;20240828;20240830;550001;E4;3;COMMERCIAL;;IGT;;0;AU376981;
C;257;3824817;11;20240909 01:07;1/1204690;
D;257;3824817;11;20240909 01:07;P;;;;;;
D;257;3824817;11;20240909 01:07;V;;;;;;
B;257;3824818;12;20240909 01:07;;;2;STOCK YARD RD;GUYRA;2365;1.368;H;20240828;20240830;550001;E4;3;COMMERCIAL;;IGT;;0;AU376981;
C;257;3824818;12;20240909 01:07;2/1204690;
D;257;3824818;12;20240909 01:07;P;;;;;;
D;257;3824818;12;20240909 01:07;V;;;;;;
B;257;3888916;13;20240909 01:07;;;1;PINTO ST;ARMIDALE;2350;824.4;M;20240731;20240904;560000;R1;R;RESIDENCE;;AAH;;0;AU388159;
C;257;3888916;13;20240909 01:07;13/1213523;
D;257;3888916;13;20240909 01:07;P;;;;;;
D;257;3888916;13;20240909 01:07;P;;;;;;
D;257;3888916;13;20240909 01:07;V;;;;;;
D;257;3888916;13;20240909 01:07;V;;;;;;
B;257;4307345;14;20240909 01:07;;1;67;LINK RD;ARMIDALE;2350;352;M;20240725;20240830;450000;;R;RESIDENCE;2;;;0;AU377238;
C;257;4307345;14;20240909 01:07;2/SP101759;
D;257;4307345;14;20240909 01:07;P;;;;;;
D;257;4307345;14;20240909 01:07;P;;;;;;
D;257;4307345;14;20240909 01:07;V;;;;;;
D;257;4307345;14;20240909 01:07;V;;;;;;
Z;73;14;14;43;
