A;RTSALEDATA;144;20240909 01:06;VALNET;
B;144;1595441;1;20240909 01:06;;3;7;JACKSON AVE;MIRANDA;2228;;;20240720;20240902;950000;;R;RESIDENCE;3;;;0;AU380750;
C;144;1595441;1;20240909 01:06;3/SP49875;
D;144;1595441;1;20240909 01:06;P;;;;;;
D;144;1595441;1;20240909 01:06;V;;;;;;
B;144;1579855;2;20240909 01:06;;;33;DOBELL RD;ENGADINE;2233;920.2;M;20240607;20240830;970000;C4;R;RESIDENCE;;CAV;;0;AU376960;
C;144;1579855;2;20240909 01:06;44/253038;
D;144;1579855;2;20240909 01:06;P;;;;;;
D;144;1579855;2;20240909 01:06;P;;;;;;
D;144;1579855;2;20240909 01:06;V;;;;;;
B;144;1590850;3;20240909 01:06;;17;3;GOSPORT ST;CRONULLA;2230;;;20240719;20240830;1210000;;R;RESIDENCE;17;;;0;AU378147;
C;144;1590850;3;20240909 01:06;17/SP63208;
D;144;1590850;3;20240909 01:06;P;;;;;;
D;144;1590850;3;20240909 01:06;P;;;;;;
D;144;1590850;3;20240909 01:06;V;;;;;;
B;144;1577567;4;20240909 01:06;;;6;CROOKWELL AVE;MIRANDA;2228;747.61;M;20240603;20240830;1950000;R2;R;RESIDENCE;;HMS;;0;AU376529;
C;144;1577567;4;20240909 01:06;53/12061;
D;144;1577567;4;20240909 01:06;P;;;;;;
D;144;1577567;4;20240909 01:06;V;;;;;;
B;144;1591057;5;20240909 01:06;;;1;GOW AVE;PORT HACKING;2229;626;M;20240720;20240830;2575000;C3;R;RESIDENCE;;CAD;;0;AU377022;
C;144;1591057;5;20240909 01:06;28/29382;
D;144;1591057;5;20240909 01:06;P;;;;;;
D;144;1591057;5;20240909 01:06;P;;;;;;
D;144;1591057;5;20240909 01:06;V;;;;;;
B;144;1596305;6;20240909 01:06;;;61;JOHNSTON AVE;KIRRAWEE;2232;486.9;M;20240629;20240904;1825000;R2;R;RESIDENCE;;HAB;;0;AU389774;
C;144;1596305;6;20240909 01:06;90/211477;
D;144;1596305;6;20240909 01:06;P;;;;;;
D;144;1596305;6;20240909 01:06;P;;;;;;
D;144;1596305;6;20240909 01:06;V;;;;;;
B;144;1585636;7;20240909 01:06;;7;72;FLORA ST;KIRRAWEE;2232;;;20240702;20240902;1281000;;R;RESIDENCE;7;;;0;AU381909;
C;144;1585636;7;20240909 01:06;7/SP39275;
D;144;1585636;7;20240909 01:06;P;;;;;;
D;144;1585636;7;20240909 01:06;P;;;;;;
D;144;1585636;7;20240909 01:06;V;;;;;;
D;144;1585636;7;20240909 01:06;V;;;;;;
B;144;1585751;8;20240909 01:06;;6;59;FLORA ST;KIRRAWEE;2232;;;20240719;20240830;730000;;R;RESIDENCE;6;;;0;AU376390;
C;144;1585751;8;20240909 01:06;6/SP45972;
D;144;1585751;8;20240909 01:06;P;;;;;;
D;144;1585751;8;20240909 01:06;P;;;;;;
D;144;1585751;8;20240909 01:06;V;;;;;;
D;144;1585751;8;20240909 01:06;V;;;;;;
B;144;1591364;9;20240909 01:06;;;112;GRAYS POINT RD;GRAYS POINT;2232;126.5;M;20240606;20240904;630000;E1;3;SHOP;;ERC;;0;AU388242;
C;144;1591364;9;20240909 01:06;2/509656;
D;144;1591364;9;20240909 01:06;P;;;;;;
D;144;1591364;9;20240909 01:06;V;;;;;;
B;144;1596629;10;20240909 01:06;;;11;JUVENIS AVE;OYSTER BAY;2225;1667.9;M;20240222;20240830;5000000;C3;R;RESIDENCE;;CFJ;;0;AU376741;
C;144;1596629;10;20240909 01:06;B/392298 Licence 503714;
D;144;1596629;10;20240909 01:06;P;;;;;;
D;144;1596629;10;20240909 01:06;P;;;;;;
D;144;1596629;10;20240909 01:06;V;;;;;;
B;144;1578260;11;20240909 01:06;;12;10;CURTIS ST;CARINGBAH;2229;;;20240725;20240905;700000;;R;RESIDENCE;12;;;0;AU391770;
C;144;1578260;11;20240909 01:06;12/SP8623;
D;144;1578260;11;20240909 01:06;P;;;;;;
D;144;1578260;11;20240909 01:06;P;;;;;;
D;144;1578260;11;20240909 01:06;V;;;;;;
B;144;1589219;12;20240909 01:06;;101;7;GERRALE ST;CRONULLA;2230;;;20240606;20240902;1550000;;R;RESIDENCE;7;;;0;AU383627;
C;144;1589219;12;20240909 01:06;7/SP61198;
D;144;1589219;12;20240909 01:06;P;;;;;;
D;144;1589219;12;20240909 01:06;V;;;;;;
D;144;1589219;12;20240909 01:06;V;;;;;;
B;144;1597059;13;20240909 01:06;;;74;KAREENA RD;MIRANDA;2228;581.7;M;20240701;20240902;1375000;R2;R;RESIDENCE;;HEB;;0;AU382993;
C;144;1597059;13;20240909 01:06;14A/420746;
D;144;1597059;13;20240909 01:06;P;;;;;;
D;144;1597059;13;20240909 01:06;V;;;;;;
B;144;1589613;14;20240909 01:06;;;7;GILMORE AVE;KIRRAWEE;2232;581.7;M;20240703;20240904;1750000;R2;R;RESIDENCE;;HKN;;0;AU388330;
C;144;1589613;14;20240909 01:06;3/26249;
D;144;1589613;14;20240909 01:06;P;;;;;;
D;144;1589613;14;20240909 01:06;P;;;;;;
D;144;1589613;14;20240909 01:06;V;;;;;;
D;144;1589613;14;20240909 01:06;V;;;;;;
B;144;1621577;15;20240909 01:06;;17;3;RAMU CL;SYLVANIA WATERS;2224;;;20240807;20240904;680000;;R;RESIDENCE;17;;;0;AU390019;
C;144;1621577;15;20240909 01:06;17/SP34071;
D;144;1621577;15;20240909 01:06;P;;;;;;
D;144;1621577;15;20240909 01:06;V;;;;;;
B;144;1634841;16;20240909 01:06;;;35;WARATAH RD;ENGADINE;2233;581.7;M;20240711;20240903;1520000;R3;R;RESIDENCE;;SRK;;0;AU387263;
C;144;1634841;16;20240909 01:06;4/25569;
D;144;1634841;16;20240909 01:06;P;;;;;;
D;144;1634841;16;20240909 01:06;P;;;;;;
D;144;1634841;16;20240909 01:06;V;;;;;;
D;144;1634841;16;20240909 01:06;V;;;;;;
B;144;1611043;17;20240909 01:06;;7;2;RAILWAY CRES;JANNALI;2226;;;20240814;20240904;840000;;R;RESIDENCE;7;;;0;AU389592;
C;144;1611043;17;20240909 01:06;7/SP19311;
D;144;1611043;17;20240909 01:06;P;;;;;;
D;144;1611043;17;20240909 01:06;V;;;;;;
B;144;1601055;18;20240909 01:06;;4;9;KOORABEL AVE;GYMEA;2227;;;20240715;20240902;920000;;R;RESIDENCE;4;;;0;AU380248;
C;144;1601055;18;20240909 01:06;4/SP52911;
D;144;1601055;18;20240909 01:06;P;;;;;;
D;144;1601055;18;20240909 01:06;V;;;;;;
B;144;1614096;19;20240909 01:06;;1;30;OZONE ST;CRONULLA;2230;;;20240627;20240903;2100000;;R;RESIDENCE;1;;;0;AU384464;
C;144;1614096;19;20240909 01:06;1/SP5524;
D;144;1614096;19;20240909 01:06;P;;;;;;
D;144;1614096;19;20240909 01:06;V;;;;;;
D;144;1614096;19;20240909 01:06;V;;;;;;
B;144;1614189;20;20240909 01:06;;6;18;OZONE ST;CRONULLA;2230;;;20240701;20240905;1370000;;R;RESIDENCE;6;;;0;AU392362;
C;144;1614189;20;20240909 01:06;6/SP2626;
D;144;1614189;20;20240909 01:06;P;;;;;;
D;144;1614189;20;20240909 01:06;V;;;;;;
B;144;1614189;21;20240909 01:06;;16;18;OZONE ST;CRONULLA;2230;;;20240701;20240905;1370000;;R;RESIDENCE;16;;;0;AU392362;
C;144;1614189;21;20240909 01:06;16/SP2626;
D;144;1614189;21;20240909 01:06;P;;;;;;
D;144;1614189;21;20240909 01:06;V;;;;;;
B;144;1611789;22;20240909 01:06;;16;16;OAKWOOD ST;SUTHERLAND;2232;;;20240628;20240903;990000;;R;RESIDENCE;16;;;0;AU387268;
C;144;1611789;22;20240909 01:06;16/SP39020;
D;144;1611789;22;20240909 01:06;P;;;;;;
D;144;1611789;22;20240909 01:06;V;;;;;;
D;144;1611789;22;20240909 01:06;V;;;;;;
B;144;1598897;23;20240909 01:06;;;457;KINGSWAY;MIRANDA;2228;670.2;M;20240720;20240830;1400000;R3;R;RESIDENCE;;SRS;;0;AU376560;
C;144;1598897;23;20240909 01:06;3/5802;
D;144;1598897;23;20240909 01:06;P;;;;;;
D;144;1598897;23;20240909 01:06;P;;;;;;
D;144;1598897;23;20240909 01:06;V;;;;;;
B;144;1617332;24;20240909 01:06;;;547;PORT HACKING RD;CARINGBAH SOUTH;2229;841;M;20240511;20240902;2830000;R2;R;RESIDENCE;;HAC;;0;AU381917;
C;144;1617332;24;20240909 01:06;4/11706;
D;144;1617332;24;20240909 01:06;P;;;;;;
D;144;1617332;24;20240909 01:06;P;;;;;;
D;144;1617332;24;20240909 01:06;V;;;;;;
D;144;1617332;24;20240909 01:06;V;;;;;;
B;144;1630555;25;20240909 01:06;;;55;THE ESPLANADE;SYLVANIA;2224;556.4;M;20240510;20240903;1650000;C4;R;RESIDENCE;;CSY;;0;AU386750;
C;144;1630555;25;20240909 01:06;39/240281;
D;144;1630555;25;20240909 01:06;P;;;;;;
D;144;1630555;25;20240909 01:06;P;;;;;;
D;144;1630555;25;20240909 01:06;V;;;;;;
D;144;1630555;25;20240909 01:06;V;;;;;;
B;144;1625466;26;20240909 01:06;;;60;SHORT ST;OYSTER BAY;2225;556.4;M;20240724;20240904;2000000;R2;R;RESIDENCE;;HAP;;0;AU389777;
C;144;1625466;26;20240909 01:06;849/17524;
D;144;1625466;26;20240909 01:06;P;;;;;;
D;144;1625466;26;20240909 01:06;P;;;;;;
D;144;1625466;26;20240909 01:06;V;;;;;;
B;144;1602128;27;20240909 01:06;;;128;LANTANA RD;ENGADINE;2233;600.7;M;20240619;20240903;1560000;R2;R;RESIDENCE;;HEN;;0;AU387256;
C;144;1602128;27;20240909 01:06;9/27176;
D;144;1602128;27;20240909 01:06;P;;;;;;
D;144;1602128;27;20240909 01:06;P;;;;;;
D;144;1602128;27;20240909 01:06;V;;;;;;
B;144;1615067;28;20240909 01:06;;4;36;PARRAMATTA ST;CRONULLA;2230;;;20240717;20240830;985000;;R;RESIDENCE;4;;;0;AU378333;
C;144;1615067;28;20240909 01:06;4/SP22365;
D;144;1615067;28;20240909 01:06;P;;;;;;
D;144;1615067;28;20240909 01:06;V;;;;;;
D;144;1615067;28;20240909 01:06;V;;;;;;
