A;RTSALEDATA;269;20240909 01:07;VALNET;
B;269;3469371;1;20240909 01:07;;;751;LOWER THULE RD;BARHAM;2732;545.5;H;20240625;20240903;5175000;RU1;3;FARM;;RW;;0;AU387152;
C;269;3469371;1;20240909 01:07;4/855149;
D;269;3469371;1;20240909 01:07;P;;;;;;
D;269;3469371;1;20240909 01:07;V;;;;;;
D;269;3469371;1;20240909 01:07;V;;;;;;
B;269;4569967;2;20240909 01:07;;;;NORTH BARHAM RD;BARHAM;2732;7.578;H;20240726;20240902;650000;;R;RESIDENCE;;;;0;AU380434;
C;269;4569967;2;20240909 01:07;4/270077;
D;269;4569967;2;20240909 01:07;P;;;;;;
D;269;4569967;2;20240909 01:07;P;;;;;;
D;269;4569967;2;20240909 01:07;V;;;;;;
B;269;4565970;3;20240909 01:07;;;28;THE RANGE BVD;MOAMA;2731;1607;M;20220224;20240830;395000;;V;VACANT LAND;;;;0;AU375338;
C;269;4565970;3;20240909 01:07;147/1305139;
D;269;4565970;3;20240909 01:07;P;;;;;;
D;269;4565970;3;20240909 01:07;P;;;;;;
D;269;4565970;3;20240909 01:07;V;;;;;;
D;269;4565970;3;20240909 01:07;V;;;;;;
D;269;4565970;3;20240909 01:07;V;;;;;;
B;269;4565972;4;20240909 01:07;;;25;THE RANGE BVD;MOAMA;2731;1155;M;20220311;20240830;365000;;V;VACANT LAND;;;;0;AU375201;
C;269;4565972;4;20240909 01:07;149/1305139;
D;269;4565972;4;20240909 01:07;P;;;;;;
D;269;4565972;4;20240909 01:07;V;;;;;;
D;269;4565972;4;20240909 01:07;V;;;;;;
D;269;4565972;4;20240909 01:07;V;;;;;;
B;269;4565973;5;20240909 01:07;;;4;HONEYEATER ST;MOAMA;2731;1161;M;20220204;20240830;370000;;V;VACANT LAND;;;;0;AU375332;
C;269;4565973;5;20240909 01:07;150/1305139;
D;269;4565973;5;20240909 01:07;P;;;;;;
D;269;4565973;5;20240909 01:07;V;;;;;;
D;269;4565973;5;20240909 01:07;V;;;;;;
D;269;4565973;5;20240909 01:07;V;;;;;;
B;269;4565974;6;20240909 01:07;;;27;THE RANGE BVD;MOAMA;2731;1000;M;20220909;20240830;295000;;V;VACANT LAND;;;;0;AU375200;
C;269;4565974;6;20240909 01:07;151/1305139;
D;269;4565974;6;20240909 01:07;P;;;;;;
D;269;4565974;6;20240909 01:07;V;;;;;;
D;269;4565974;6;20240909 01:07;V;;;;;;
D;269;4565974;6;20240909 01:07;V;;;;;;
B;269;4565975;7;20240909 01:07;;;29;THE RANGE BVD;MOAMA;2731;1000;M;20220422;20240830;299000;;V;VACANT LAND;;;;0;AU375208;
C;269;4565975;7;20240909 01:07;152/1305139;
D;269;4565975;7;20240909 01:07;P;;;;;;
D;269;4565975;7;20240909 01:07;V;;;;;;
D;269;4565975;7;20240909 01:07;V;;;;;;
D;269;4565975;7;20240909 01:07;V;;;;;;
B;269;4565979;8;20240909 01:07;;;37;THE RANGE BVD;MOAMA;2731;1000;M;20220204;20240830;289000;;R;RESIDENCE;;;;0;AU375193;
C;269;4565979;8;20240909 01:07;156/1305139;
D;269;4565979;8;20240909 01:07;P;;;;;;
D;269;4565979;8;20240909 01:07;V;;;;;;
D;269;4565979;8;20240909 01:07;V;;;;;;
D;269;4565979;8;20240909 01:07;V;;;;;;
B;269;4565980;9;20240909 01:07;;;39;THE RANGE BVD;MOAMA;2731;1000;M;20220209;20240830;289000;;V;VACANT LAND;;;;0;AU377134;
C;269;4565980;9;20240909 01:07;157/1305139;
D;269;4565980;9;20240909 01:07;P;;;;;;
D;269;4565980;9;20240909 01:07;P;;;;;;
D;269;4565980;9;20240909 01:07;V;;;;;;
D;269;4565980;9;20240909 01:07;V;;;;;;
D;269;4565980;9;20240909 01:07;V;;;;;;
B;269;4565981;10;20240909 01:07;;;41;THE RANGE BVD;MOAMA;2731;1000;M;20220210;20240830;288000;;V;VACANT LAND;;;;0;AU375215;
C;269;4565981;10;20240909 01:07;158/1305139;
D;269;4565981;10;20240909 01:07;P;;;;;;
D;269;4565981;10;20240909 01:07;V;;;;;;
D;269;4565981;10;20240909 01:07;V;;;;;;
D;269;4565981;10;20240909 01:07;V;;;;;;
B;269;4565982;11;20240909 01:07;;;43;THE RANGE BVD;MOAMA;2731;1000;M;20220211;20240830;288000;;V;VACANT LAND;;;;0;AU375192;
C;269;4565982;11;20240909 01:07;159/1305139;
D;269;4565982;11;20240909 01:07;P;;;;;;
D;269;4565982;11;20240909 01:07;P;;;;;;
D;269;4565982;11;20240909 01:07;V;;;;;;
D;269;4565982;11;20240909 01:07;V;;;;;;
D;269;4565982;11;20240909 01:07;V;;;;;;
B;269;4565986;12;20240909 01:07;;;51;THE RANGE BVD;MOAMA;2731;906;M;20220131;20240830;266000;;V;VACANT LAND;;;;0;AU375195;
C;269;4565986;12;20240909 01:07;163/1305139;
D;269;4565986;12;20240909 01:07;P;;;;;;
D;269;4565986;12;20240909 01:07;V;;;;;;
D;269;4565986;12;20240909 01:07;V;;;;;;
D;269;4565986;12;20240909 01:07;V;;;;;;
B;269;4565987;13;20240909 01:07;;;30;THE RANGE BVD;MOAMA;2731;1000;M;20220303;20240830;295000;;V;VACANT LAND;;;;0;AU375206;
C;269;4565987;13;20240909 01:07;164/1305139;
D;269;4565987;13;20240909 01:07;P;;;;;;
D;269;4565987;13;20240909 01:07;P;;;;;;
D;269;4565987;13;20240909 01:07;V;;;;;;
D;269;4565987;13;20240909 01:07;V;;;;;;
D;269;4565987;13;20240909 01:07;V;;;;;;
B;269;4565988;14;20240909 01:07;;;32;THE RANGE BVD;MOAMA;2731;1000;M;20220316;20240830;294000;;V;VACANT LAND;;;;0;AU375331;
C;269;4565988;14;20240909 01:07;165/1305139;
D;269;4565988;14;20240909 01:07;P;;;;;;
D;269;4565988;14;20240909 01:07;V;;;;;;
D;269;4565988;14;20240909 01:07;V;;;;;;
D;269;4565988;14;20240909 01:07;V;;;;;;
B;269;4565989;15;20240909 01:07;;;34;THE RANGE BVD;MOAMA;2731;1000;M;20240210;20240830;292000;;V;VACANT LAND;;;;0;AU375220;
C;269;4565989;15;20240909 01:07;166/1305139;
D;269;4565989;15;20240909 01:07;P;;;;;;
D;269;4565989;15;20240909 01:07;P;;;;;;
D;269;4565989;15;20240909 01:07;V;;;;;;
D;269;4565989;15;20240909 01:07;V;;;;;;
D;269;4565989;15;20240909 01:07;V;;;;;;
B;269;4565990;16;20240909 01:07;;;36;THE RANGE BVD;MOAMA;2731;1000;M;20230301;20240830;291000;;V;VACANT LAND;;;;0;AU375218;
C;269;4565990;16;20240909 01:07;167/1305139;
D;269;4565990;16;20240909 01:07;P;;;;;;
D;269;4565990;16;20240909 01:07;P;;;;;;
D;269;4565990;16;20240909 01:07;V;;;;;;
D;269;4565990;16;20240909 01:07;V;;;;;;
D;269;4565990;16;20240909 01:07;V;;;;;;
B;269;4565991;17;20240909 01:07;;;38;THE RANGE BVD;MOAMA;2731;1000;M;20220127;20240830;290000;;V;VACANT LAND;;;;0;AU375226;
C;269;4565991;17;20240909 01:07;168/1305139;
D;269;4565991;17;20240909 01:07;P;;;;;;
D;269;4565991;17;20240909 01:07;V;;;;;;
D;269;4565991;17;20240909 01:07;V;;;;;;
D;269;4565991;17;20240909 01:07;V;;;;;;
B;269;4565992;18;20240909 01:07;;;40;THE RANGE BVD;MOAMA;2731;1000;M;20240322;20240830;289000;;V;VACANT LAND;;;;0;AU375224;
C;269;4565992;18;20240909 01:07;169/1305139;
D;269;4565992;18;20240909 01:07;P;;;;;;
D;269;4565992;18;20240909 01:07;V;;;;;;
D;269;4565992;18;20240909 01:07;V;;;;;;
D;269;4565992;18;20240909 01:07;V;;;;;;
B;269;4565994;19;20240909 01:07;;;44;THE RANGE BVD;MOAMA;2731;1000;M;20240311;20240830;288000;;V;VACANT LAND;;;;0;AU375194;
C;269;4565994;19;20240909 01:07;171/1305139;
D;269;4565994;19;20240909 01:07;P;;;;;;
D;269;4565994;19;20240909 01:07;P;;;;;;
D;269;4565994;19;20240909 01:07;V;;;;;;
D;269;4565994;19;20240909 01:07;V;;;;;;
D;269;4565994;19;20240909 01:07;V;;;;;;
B;269;4565995;20;20240909 01:07;;;17;WATTLEBIRD WAY;MOAMA;2731;1000;M;20240316;20240830;284000;;V;VACANT LAND;;;;0;AU375202;
C;269;4565995;20;20240909 01:07;172/1305139;
D;269;4565995;20;20240909 01:07;P;;;;;;
D;269;4565995;20;20240909 01:07;P;;;;;;
D;269;4565995;20;20240909 01:07;V;;;;;;
D;269;4565995;20;20240909 01:07;V;;;;;;
D;269;4565995;20;20240909 01:07;V;;;;;;
B;269;4565996;21;20240909 01:07;;;15;WATTLEBIRD WAY;MOAMA;2731;1000;M;20240215;20240830;284000;;V;VACANT LAND;;;;0;AU375217;
C;269;4565996;21;20240909 01:07;173/1305139;
D;269;4565996;21;20240909 01:07;P;;;;;;
D;269;4565996;21;20240909 01:07;P;;;;;;
D;269;4565996;21;20240909 01:07;V;;;;;;
D;269;4565996;21;20240909 01:07;V;;;;;;
D;269;4565996;21;20240909 01:07;V;;;;;;
B;269;4565998;22;20240909 01:07;;;14;WATTLEBIRD WAY;MOAMA;2731;1117;M;20240222;20240830;290000;;V;VACANT LAND;;;;0;AU375213;
C;269;4565998;22;20240909 01:07;175/1305139;
D;269;4565998;22;20240909 01:07;P;;;;;;
D;269;4565998;22;20240909 01:07;P;;;;;;
D;269;4565998;22;20240909 01:07;V;;;;;;
D;269;4565998;22;20240909 01:07;V;;;;;;
D;269;4565998;22;20240909 01:07;V;;;;;;
B;269;4565999;23;20240909 01:07;;;12;WATTLEBIRD WAY;MOAMA;2731;1125;M;20230322;20240904;299000;;V;VACANT LAND;;;;0;AU387952;
C;269;4565999;23;20240909 01:07;176/1305139;
D;269;4565999;23;20240909 01:07;P;;;;;;
D;269;4565999;23;20240909 01:07;V;;;;;;
D;269;4565999;23;20240909 01:07;V;;;;;;
D;269;4565999;23;20240909 01:07;V;;;;;;
B;269;546999;24;20240909 01:07;;;10;KILKERRIN DR;MOAMA;2731;8783;M;20240722;20240902;1030000;R5;R;RESIDENCE;;RR4;;0;AU380897;
C;269;546999;24;20240909 01:07;117/787525;
D;269;546999;24;20240909 01:07;P;;;;;;
D;269;546999;24;20240909 01:07;P;;;;;;
D;269;546999;24;20240909 01:07;V;;;;;;
B;269;546020;25;20240909 01:07;;4;1;SHAW ST;MOAMA;2731;;;20240521;20240905;375000;;R;RESIDENCE;6;;;0;AU391695;
C;269;546020;25;20240909 01:07;6/SP35172;
D;269;546020;25;20240909 01:07;P;;;;;;
D;269;546020;25;20240909 01:07;P;;;;;;
D;269;546020;25;20240909 01:07;V;;;;;;
B;269;546443;26;20240909 01:07;MAYFIELD;;1422;LOWER THULE RD;THULE;2732;445.1;H;20240625;20240903;5175000;RU1;3;FARM;;RA1;;0;AU387152;
C;269;546443;26;20240909 01:07;9, 24/751158;
D;269;546443;26;20240909 01:07;P;;;;;;
D;269;546443;26;20240909 01:07;V;;;;;;
D;269;546443;26;20240909 01:07;V;;;;;;
