A;RTSALEDATA;082;20240909 01:05;VALNET;
B;082;664824;1;20240909 01:05;;305;5;CITY VIEW RD;PENNANT HILLS;2120;;;20240723;20240904;715000;;R;RESIDENCE;29;;;0;AU388664;
C;082;664824;1;20240909 01:05;29/SP64163;
D;082;664824;1;20240909 01:05;P;;;;;;
D;082;664824;1;20240909 01:05;P;;;;;;
D;082;664824;1;20240909 01:05;V;;;;;;
D;082;664824;1;20240909 01:05;V;;;;;;
B;082;2822956;2;20240909 01:05;;139;8;THOMAS ST;WAITARA;2077;;;20240628;20240830;789000;;R;RESIDENCE;139;;;0;AU378020;
C;082;2822956;2;20240909 01:05;139/SP70055;
D;082;2822956;2;20240909 01:05;P;;;;;;
D;082;2822956;2;20240909 01:05;P;;;;;;
D;082;2822956;2;20240909 01:05;V;;;;;;
D;082;2822956;2;20240909 01:05;V;;;;;;
B;082;4217633;3;20240909 01:05;TOWER B;3;9;FISHER AVE;PENNANT HILLS;2120;;;20240724;20240904;690000;;R;RESIDENCE;3;;;0;AU388910;
C;082;4217633;3;20240909 01:05;3/SP96984;
D;082;4217633;3;20240909 01:05;P;;;;;;
D;082;4217633;3;20240909 01:05;V;;;;;;
D;082;4217633;3;20240909 01:05;V;;;;;;
B;082;3066924;4;20240909 01:05;;504;39;ORARA ST;WAITARA;2077;;;20240728;20240902;592000;;R;RESIDENCE;52;;;0;AU381305;
C;082;3066924;4;20240909 01:05;52/SP71761;
D;082;3066924;4;20240909 01:05;P;;;;;;
D;082;3066924;4;20240909 01:05;V;;;;;;
B;082;3075042;5;20240909 01:05;;9;4;HAMLEY RD;MOUNT KURING-GAI;2080;;;20240725;20240905;561000;;3;WAREHOUSE;9;;;0;AU391677;
C;082;3075042;5;20240909 01:05;9/SP72293;
D;082;3075042;5;20240909 01:05;P;;;;;;
D;082;3075042;5;20240909 01:05;P;;;;;;
D;082;3075042;5;20240909 01:05;V;;;;;;
D;082;3075042;5;20240909 01:05;V;;;;;;
B;082;3096887;6;20240909 01:05;;13;5 B;HANNAH ST;BEECROFT;2119;241;M;20240720;20240902;1950000;;R;RESIDENCE;13;;;0;AU383172;
C;082;3096887;6;20240909 01:05;13/SP72498;
D;082;3096887;6;20240909 01:05;P;;;;;;
D;082;3096887;6;20240909 01:05;P;;;;;;
D;082;3096887;6;20240909 01:05;V;;;;;;
B;082;3145634;7;20240909 01:05;;12;28;NURSERY ST;HORNSBY;2077;;;20240722;20240902;690000;;R;RESIDENCE;12;;;0;AU382830;
C;082;3145634;7;20240909 01:05;12/SP74139;
D;082;3145634;7;20240909 01:05;P;;;;;;
D;082;3145634;7;20240909 01:05;P;;;;;;
D;082;3145634;7;20240909 01:05;V;;;;;;
D;082;3145634;7;20240909 01:05;V;;;;;;
B;082;4044542;8;20240909 01:05;;2;2;BOUVARDIA ST;ASQUITH;2077;103;M;20240626;20240830;635000;;R;RESIDENCE;2;;;0;AU375708;
C;082;4044542;8;20240909 01:05;2/SP95756;
D;082;4044542;8;20240909 01:05;P;;;;;;
D;082;4044542;8;20240909 01:05;V;;;;;;
D;082;4044542;8;20240909 01:05;V;;;;;;
B;082;4044542;9;20240909 01:05;;60;2;BOUVARDIA ST;ASQUITH;2077;114;M;20240808;20240905;745000;;R;RESIDENCE;60;;;0;AU392864;
C;082;4044542;9;20240909 01:05;60/SP95756;
D;082;4044542;9;20240909 01:05;P;;;;;;
D;082;4044542;9;20240909 01:05;V;;;;;;
