A;RTSALEDATA;157;20241014 01:06;VALNET;
B;157;1738571;1;20241014 01:06;;;6;WALLABY RD;YARRAVEL;2440;16.54;H;20240809;20241004;750000;RU2;R;RESIDENCE;;RKH;;0;AU474510;
C;157;1738571;1;20241014 01:06;486/868474;
D;157;1738571;1;20241014 01:06;P;;;;;;
D;157;1738571;1;20241014 01:06;P;;;;;;
D;157;1738571;1;20241014 01:06;V;;;;;;
B;157;1727750;2;20241014 01:06;;;29;NORTH ST;WEST KEMPSEY;2440;695.5;M;20240918;20241008;475000;R1;R;RESIDENCE;;AWK;;0;AU478798;
C;157;1727750;2;20241014 01:06;1/28482;
D;157;1727750;2;20241014 01:06;P;;;;;;
D;157;1727750;2;20241014 01:06;P;;;;;;
D;157;1727750;2;20241014 01:06;V;;;;;;
B;157;4575060;3;20241014 01:06;;;;CARRAI RD;WILLI WILLI;2440;;;20231211;20240212;3958;;V;VACANT LAND;;;;0;AT830624;
C;157;4575060;3;20241014 01:06;PT 38/752424;
D;157;4575060;3;20241014 01:06;P;;;;;;
D;157;4575060;3;20241014 01:06;P;;;;;;
D;157;4575060;3;20241014 01:06;V;;;;;;
B;157;4409628;4;20241014 01:06;;;265;BALLS RD;BELLBROOK;2440;963.899;H;20240822;20241003;1500000;RU2;3;FARM;;RWG;;0;AU470335;
C;157;4409628;4;20241014 01:06;44, 45, 46/752421 78, 79, 81, 82, 83, 102, 103/752423 1/1279340;
D;157;4409628;4;20241014 01:06;P;;;;;;
D;157;4409628;4;20241014 01:06;V;;;;;;
D;157;4409628;4;20241014 01:06;V;;;;;;
Z;22;4;4;12;
