A;RTSALEDATA;007;20241014 01:05;VALNET;
B;007;3481958;1;20241014 01:05;;1;102;OSBORN AVE;MUSWELLBROOK;2333;;;20240812;20241004;430000;;R;RESIDENCE;1;;;0;AU474225;
C;007;3481958;1;20241014 01:05;1/SP82845;
D;007;3481958;1;20241014 01:05;P;;;;;;
D;007;3481958;1;20241014 01:05;P;;;;;;
D;007;3481958;1;20241014 01:05;V;;;;;;
B;007;3527740;2;20241014 01:05;;40;15;LOFBERG CT;MUSWELLBROOK;2333;;;20240621;20241009;295000;;R;RESIDENCE;40;;;0;AU483517;
C;007;3527740;2;20241014 01:05;40/SP82565;
D;007;3527740;2;20241014 01:05;P;;;;;;
D;007;3527740;2;20241014 01:05;V;;;;;;
D;007;3527740;2;20241014 01:05;V;;;;;;
B;007;199297;3;20241014 01:05;;;26;LEXIA ST;MUSWELLBROOK;2333;779.9;M;20240823;20241004;665000;R1;R;RESIDENCE;;AM;;0;AU472950;
C;007;199297;3;20241014 01:05;327/263862;
D;007;199297;3;20241014 01:05;P;;;;;;
D;007;199297;3;20241014 01:05;V;;;;;;
D;007;199297;3;20241014 01:05;V;;;;;;
D;007;199297;3;20241014 01:05;V;;;;;;
B;007;199394;4;20241014 01:05;;2;1 A;MCCLINTOCK DR;MUSWELLBROOK;2333;;;20240711;20241009;250000;;R;RESIDENCE;2;;;0;AU484227;
C;007;199394;4;20241014 01:05;2/SP31245;
D;007;199394;4;20241014 01:05;P;;;;;;
D;007;199394;4;20241014 01:05;V;;;;;;
B;007;196858;5;20241014 01:05;;;40;GOULBURN DR;SANDY HOLLOW;2333;845.5;M;20240826;20241008;365000;RU5;R;RESIDENCE;;SH;;0;AU480929;
C;007;196858;5;20241014 01:05;72/252830;
D;007;196858;5;20241014 01:05;P;;;;;;
D;007;196858;5;20241014 01:05;V;;;;;;
B;007;200055;6;20241014 01:05;;;26;RIESLING ST;MUSWELLBROOK;2333;677.1;M;20240906;20241010;252000;R1;R;RESIDENCE;;AM;;0;AU486660;
C;007;200055;6;20241014 01:05;157/261833;
D;007;200055;6;20241014 01:05;P;;;;;;
D;007;200055;6;20241014 01:05;P;;;;;;
D;007;200055;6;20241014 01:05;V;;;;;;
D;007;200055;6;20241014 01:05;V;;;;;;
B;007;3736412;7;20241014 01:05;;;;MOUNT DANGAR RD;BAERAMI;2333;126.2;H;20240705;20241008;1655000;RU1;R;RESIDENCE;;JR;;0;AU480309;
C;007;3736412;7;20241014 01:05;3/1187237;
D;007;3736412;7;20241014 01:05;P;;;;;;
D;007;3736412;7;20241014 01:05;V;;;;;;
Z;36;7;7;20;
