A;RTSALEDATA;002;20241014 01:05;VALNET;
B;002;2972350;1;20241014 01:05;;;68;PARISHS RD;HILLDALE;2420;3.296;H;20240828;20241009;490000;RU1;R;RESIDENCE;;RAE;;0;AU484145;
C;002;2972350;1;20241014 01:05;871/558461;
D;002;2972350;1;20241014 01:05;P;;;;;;
D;002;2972350;1;20241014 01:05;V;;;;;;
D;002;2972350;1;20241014 01:05;V;;;;;;
B;002;22580;2;20241014 01:05;;;11;STATION ST;MARTINS CREEK;2420;1012;M;20240909;20241004;535000;RU5;R;RESIDENCE;;RAB;;0;AU474343;
C;002;22580;2;20241014 01:05;4/B/37561;
D;002;22580;2;20241014 01:05;P;;;;;;
D;002;22580;2;20241014 01:05;V;;;;;;
B;002;21177;3;20241014 01:05;;;12;SHERIFF ST;CLARENCE TOWN;2321;4047;M;20240906;20241004;790000;R1;R;RESIDENCE;;AAB;;0;AU473714;
C;002;21177;3;20241014 01:05;5/29/758250;
D;002;21177;3;20241014 01:05;P;;;;;;
D;002;21177;3;20241014 01:05;P;;;;;;
D;002;21177;3;20241014 01:05;V;;;;;;
D;002;21177;3;20241014 01:05;V;;;;;;
B;002;21434;4;20241014 01:05;;;8;COMMON RD;DUNGOG;2420;613.4;M;20240827;20241008;550000;R1;R;RESIDENCE;;AAA;;0;AU480043;
C;002;21434;4;20241014 01:05;17/21931;
D;002;21434;4;20241014 01:05;P;;;;;;
D;002;21434;4;20241014 01:05;P;;;;;;
D;002;21434;4;20241014 01:05;V;;;;;;
D;002;21434;4;20241014 01:05;V;;;;;;
B;002;24620;5;20241014 01:05;;;29;GRANDVIEW CL;CLARENCE TOWN;2321;5.7;H;20240829;20241010;1120000;R5;R;RESIDENCE;;ABC;;0;AU486501;
C;002;24620;5;20241014 01:05;51/1002663;
D;002;24620;5;20241014 01:05;P;;;;;;
D;002;24620;5;20241014 01:05;V;;;;;;
B;002;4573609;6;20241014 01:05;;;44;GRESFORD RD;VACY;2421;8114;M;20240219;20241008;580000;;R;RESIDENCE;;;;0;AU479484;
C;002;4573609;6;20241014 01:05;109/1304183;
D;002;4573609;6;20241014 01:05;P;;;;;;
D;002;4573609;6;20241014 01:05;P;;;;;;
D;002;4573609;6;20241014 01:05;V;;;;;;
B;002;4573610;7;20241014 01:05;;;38;GRESFORD RD;VACY;2421;8001;M;20230201;20241008;599000;;V;VACANT LAND;;;;0;AU480555;
C;002;4573610;7;20241014 01:05;110/1304183;
D;002;4573610;7;20241014 01:05;P;;;;;;
D;002;4573610;7;20241014 01:05;P;;;;;;
D;002;4573610;7;20241014 01:05;V;;;;;;
B;002;3673728;8;20241014 01:05;;;43;DURHAM RD;EAST GRESFORD;2311;771.4;M;20240912;20241010;515000;RU5;R;RESIDENCE;;RAB;;0;AU487389;
C;002;3673728;8;20241014 01:05;1/196543;
D;002;3673728;8;20241014 01:05;P;;;;;;
D;002;3673728;8;20241014 01:05;V;;;;;;
D;002;3673728;8;20241014 01:05;V;;;;;;
Z;42;8;8;24;
