A;RTSALEDATA;234;20241014 01:07;VALNET;
B;234;2621495;1;20241014 01:07;;;324;THOMAS LANE;BROKEN HILL;2880;505.9;M;20240827;20241008;270000;R1;R;RESIDENCE;;AAW;;0;AU478011;
C;234;2621495;1;20241014 01:07;776/665729;
D;234;2621495;1;20241014 01:07;P;;;;;;
D;234;2621495;1;20241014 01:07;P;;;;;;
D;234;2621495;1;20241014 01:07;V;;;;;;
D;234;2621495;1;20241014 01:07;V;;;;;;
B;234;2614243;2;20241014 01:07;;;27;BOUGHTMAN ST;BROKEN HILL;2880;1062;M;20240918;20241008;205000;R1;R;RESIDENCE;;AAC;;0;AU477590;
C;234;2614243;2;20241014 01:07;4915/757298;
D;234;2614243;2;20241014 01:07;P;;;;;;
D;234;2614243;2;20241014 01:07;P;;;;;;
D;234;2614243;2;20241014 01:07;V;;;;;;
B;234;2622749;3;20241014 01:07;;;300;WILSON ST;BROKEN HILL;2880;556.4;M;20240831;20241004;265000;R1;R;RESIDENCE;;AAC;;0;AU474558;
C;234;2622749;3;20241014 01:07;1/938943;
D;234;2622749;3;20241014 01:07;P;;;;;;
D;234;2622749;3;20241014 01:07;V;;;;;;
B;234;2620445;4;20241014 01:07;;;212;PELL ST;BROKEN HILL;2880;308.22;M;20240924;20241010;155000;R1;R;RESIDENCE;;AAL;;0;AU486905;
C;234;2620445;4;20241014 01:07;D/316900;
D;234;2620445;4;20241014 01:07;P;;;;;;
D;234;2620445;4;20241014 01:07;V;;;;;;
B;234;2615242;5;20241014 01:07;;;535;CHETTLE ST;BROKEN HILL;2880;866.3;M;20240708;20241008;55000;R1;R;RESIDENCE;;AAZ;;0;AU477539;
C;234;2615242;5;20241014 01:07;5666/757298;
D;234;2615242;5;20241014 01:07;P;;;;;;
D;234;2615242;5;20241014 01:07;V;;;;;;
B;234;2618315;6;20241014 01:07;;;185;LANE ST;BROKEN HILL;2880;689.2;M;20240828;20241009;90000;R1;R;RESIDENCE;;ACD;;0;AU484547;
C;234;2618315;6;20241014 01:07;B/368261;
D;234;2618315;6;20241014 01:07;P;;;;;;
D;234;2618315;6;20241014 01:07;V;;;;;;
B;234;2615826;7;20241014 01:07;;;70;CORNISH ST;BROKEN HILL;2880;1012;M;20240828;20241010;260000;R1;R;RESIDENCE;;AAB;;0;AU487716;
C;234;2615826;7;20241014 01:07;1/974749;
D;234;2615826;7;20241014 01:07;P;;;;;;
D;234;2615826;7;20241014 01:07;P;;;;;;
D;234;2615826;7;20241014 01:07;V;;;;;;
D;234;2615826;7;20241014 01:07;V;;;;;;
B;234;3759798;8;20241014 01:07;;;179;IODIDE ST;BROKEN HILL;2880;507.1;M;20240830;20241008;360000;R1;R;RESIDENCE;;AAZ;;0;AU479935;
C;234;3759798;8;20241014 01:07;179/1191185;
D;234;3759798;8;20241014 01:07;P;;;;;;
D;234;3759798;8;20241014 01:07;P;;;;;;
D;234;3759798;8;20241014 01:07;V;;;;;;
Z;40;8;8;22;
