A;RTSALEDATA;092;20241014 01:05;VALNET;
B;092;4135005;1;20241014 01:05;;107;17;ALBERT AVE;CHATSWOOD;2067;58;M;20240921;20241004;815000;;R;RESIDENCE;56;;;0;AU473800;
C;092;4135005;1;20241014 01:05;56/SP97885;
D;092;4135005;1;20241014 01:05;P;;;;;;
D;092;4135005;1;20241014 01:05;V;;;;;;
B;092;949491;2;20241014 01:05;;28;96;ALBERT AVE;CHATSWOOD;2067;;;20240911;20241008;755000;;R;RESIDENCE;28;;;0;AU477720;
C;092;949491;2;20241014 01:05;28/SP9543;
D;092;949491;2;20241014 01:05;P;;;;;;
D;092;949491;2;20241014 01:05;V;;;;;;
D;092;949491;2;20241014 01:05;V;;;;;;
B;092;949491;3;20241014 01:05;;51;96;ALBERT AVE;CHATSWOOD;2067;;;20240827;20241008;686000;;R;RESIDENCE;51;;;0;AU477548;
C;092;949491;3;20241014 01:05;51/SP9543;
D;092;949491;3;20241014 01:05;P;;;;;;
D;092;949491;3;20241014 01:05;V;;;;;;
B;092;952452;4;20241014 01:05;;49;5;BROUGHTON RD;ARTARMON;2064;;;20240812;20241010;1510000;;R;RESIDENCE;49;;;0;AU486516;
C;092;952452;4;20241014 01:05;49/SP8007;
D;092;952452;4;20241014 01:05;P;;;;;;
D;092;952452;4;20241014 01:05;V;;;;;;
B;092;949861;5;20241014 01:05;;;6;AMAROO AVE;CASTLE COVE;2069;755.52;M;20240824;20241008;4601000;R2;R;RESIDENCE;;RAL;;0;AU477445;
C;092;949861;5;20241014 01:05;151/30581;
D;092;949861;5;20241014 01:05;P;;;;;;
D;092;949861;5;20241014 01:05;P;;;;;;
D;092;949861;5;20241014 01:05;V;;;;;;
B;092;3091398;6;20241014 01:05;;32;75;STANLEY ST;CHATSWOOD;2067;;;20240829;20241010;746000;;R;RESIDENCE;17;;;0;AU486171;
C;092;3091398;6;20241014 01:05;17/SP72774;
D;092;3091398;6;20241014 01:05;P;;;;;;
D;092;3091398;6;20241014 01:05;V;;;;;;
B;092;3581626;7;20241014 01:05;;303;36;BERTRAM ST;CHATSWOOD;2067;;;20240826;20241009;1120000;;R;RESIDENCE;13;;;0;AU481929;
C;092;3581626;7;20241014 01:05;13/SP85219;
D;092;3581626;7;20241014 01:05;P;;;;;;
D;092;3581626;7;20241014 01:05;V;;;;;;
