A;RTSALEDATA;301;20241014 01:08;VALNET;
B;301;3575083;1;20241014 01:08;SPRING GULLY;;171;TOURLES RD;LITTLE JACKS CREEK;2339;782.5;H;20240829;20241010;4200000;RU1;3;FARM;;RGR;;0;AU487436;
C;301;3575083;1;20241014 01:08;1/1137708;
D;301;3575083;1;20241014 01:08;P;;;;;;
D;301;3575083;1;20241014 01:08;V;;;;;;
D;301;3575083;1;20241014 01:08;V;;;;;;
B;301;1879348;2;20241014 01:08;;;49;LODER ST;QUIRINDI;2343;1484;M;20240910;20241010;480500;R1;R;RESIDENCE;;AQW;;0;AU485466;
C;301;1879348;2;20241014 01:08;102/790638;
D;301;1879348;2;20241014 01:08;P;;;;;;
D;301;1879348;2;20241014 01:08;P;;;;;;
D;301;1879348;2;20241014 01:08;V;;;;;;
B;301;1878078;3;20241014 01:08;;;618;WILMOTTS RD;SPRING RIDGE;2343;13.92;H;20240910;20241008;650000;RU1;R;RESIDENCE;;RFL;;0;AU479475;
C;301;1878078;3;20241014 01:08;11/542484 1, 2/1031455;
D;301;1878078;3;20241014 01:08;P;;;;;;
D;301;1878078;3;20241014 01:08;P;;;;;;
D;301;1878078;3;20241014 01:08;V;;;;;;
D;301;1878078;3;20241014 01:08;V;;;;;;
B;301;2652328;4;20241014 01:08;;;392;FAIRVIEW RD;CATTLE CREEK;2339;1853;H;20240828;20241009;3100000;RU1;3;FARM;;RGR;;0;AU483529;
C;301;2652328;4;20241014 01:08;179, 327/751021;
D;301;2652328;4;20241014 01:08;P;;;;;;
D;301;2652328;4;20241014 01:08;V;;;;;;
D;301;2652328;4;20241014 01:08;V;;;;;;
D;301;2652328;4;20241014 01:08;V;;;;;;
D;301;2652328;4;20241014 01:08;V;;;;;;
B;301;3186831;5;20241014 01:08;;;6;RAPHIE HOWARD DR;WILLOW TREE;2339;2.18;H;20240918;20241004;245000;R5;V;VACANT LAND;;RLL;;0;AU473147;
C;301;3186831;5;20241014 01:08;6/1083918;
D;301;3186831;5;20241014 01:08;P;;;;;;
D;301;3186831;5;20241014 01:08;P;;;;;;
D;301;3186831;5;20241014 01:08;V;;;;;;
Z;30;5;5;18;
