A;RTSALEDATA;255;20241014 01:07;VALNET;
B;255;4571874;1;20241014 01:07;;;;BOEILL CREEK RD;BOEILL CREEK;2739;2320;M;20240625;20240925;20000;;R;RESIDENCE;;;;0;AU444542;
C;255;4571874;1;20241014 01:07;OF THE PART FORMERLY IN 4/777861;
D;255;4571874;1;20241014 01:07;P;;;;;;
D;255;4571874;1;20241014 01:07;P;;;;;;
D;255;4571874;1;20241014 01:07;V;;;;;;
B;255;2686670;2;20241014 01:07;;;9;WOOD ST;GOL GOL;2738;1012;M;20240828;20240923;360000;RU5;R;RESIDENCE;;AV1;;0;AU439953;
C;255;2686670;2;20241014 01:07;4/6/758456 Western Land Lease 12485;
D;255;2686670;2;20241014 01:07;P;;;;;;
D;255;2686670;2;20241014 01:07;P;;;;;;
D;255;2686670;2;20241014 01:07;V;;;;;;
B;255;2687118;3;20241014 01:07;;;8;JANE ST;WENTWORTH;2648;787.2;M;20240809;20241008;260000;RU5;R;RESIDENCE;;AL1;;0;AU479458;
C;255;2687118;3;20241014 01:07;4/804706;
D;255;2687118;3;20241014 01:07;P;;;;;;
D;255;2687118;3;20241014 01:07;V;;;;;;
D;255;2687118;3;20241014 01:07;V;;;;;;
B;255;3262081;4;20241014 01:07;;;34;MELALEUCA ST;BURONGA;2739;971;M;20240910;20241010;560000;RU5;R;RESIDENCE;;AA1;;0;AU486907;
C;255;3262081;4;20241014 01:07;56/1098922;
D;255;3262081;4;20241014 01:07;P;;;;;;
D;255;3262081;4;20241014 01:07;P;;;;;;
D;255;3262081;4;20241014 01:07;V;;;;;;
D;255;3262081;4;20241014 01:07;V;;;;;;
B;255;4482442;5;20241014 01:07;;;3;JOEL CT;GOL GOL;2738;1171;M;20240827;20241008;175000;RU5;V;VACANT LAND;;AV1;;0;AU481083;
C;255;4482442;5;20241014 01:07;24/1293754;
D;255;4482442;5;20241014 01:07;P;;;;;;
D;255;4482442;5;20241014 01:07;P;;;;;;
D;255;4482442;5;20241014 01:07;V;;;;;;
D;255;4482442;5;20241014 01:07;V;;;;;;
B;255;4454783;6;20241014 01:07;;;18;WENDY CT;BURONGA;2739;754;M;20240827;20241008;179000;RU5;R;RESIDENCE;;AA1;;0;AU481104;
C;255;4454783;6;20241014 01:07;18/1288183;
D;255;4454783;6;20241014 01:07;P;;;;;;
D;255;4454783;6;20241014 01:07;V;;;;;;
D;255;4454783;6;20241014 01:07;V;;;;;;
Z;34;6;6;20;
