A;RTSALEDATA;608;20241014 01:08;VALNET;
B;608;1210219;1;20241014 01:08;;;216;SUTTOR ST;WINDRADYNE;2795;735;M;20240910;20241008;610000;R1;R;RESIDENCE;;AAW;;0;AU477177;
C;608;1210219;1;20241014 01:08;34/264297;
D;608;1210219;1;20241014 01:08;P;;;;;;
D;608;1210219;1;20241014 01:08;P;;;;;;
D;608;1210219;1;20241014 01:08;V;;;;;;
B;608;1202308;2;20241014 01:08;;;16;CHERRYWOOD CRES;LLANARTH;2795;1128;M;20240826;20241008;1030000;R1;R;RESIDENCE;;AAW;;0;AU480780;
C;608;1202308;2;20241014 01:08;114/842465;
D;608;1202308;2;20241014 01:08;P;;;;;;
D;608;1202308;2;20241014 01:08;P;;;;;;
D;608;1202308;2;20241014 01:08;V;;;;;;
D;608;1202308;2;20241014 01:08;V;;;;;;
B;608;1208176;3;20241014 01:08;;;312;PIPER ST;BATHURST;2795;514.4;M;20240911;20241010;640000;R1;R;RESIDENCE;;AAC;;0;AU485972;
C;608;1208176;3;20241014 01:08;1/986586;
D;608;1208176;3;20241014 01:08;P;;;;;;
D;608;1208176;3;20241014 01:08;P;;;;;;
D;608;1208176;3;20241014 01:08;V;;;;;;
D;608;1208176;3;20241014 01:08;V;;;;;;
B;608;1211320;4;20241014 01:08;;;258;WILLIAM ST;BATHURST;2795;748.6;M;20240902;20241008;835000;R1;R;RESIDENCE;;AAH;;0;AU478120;
C;608;1211320;4;20241014 01:08;1, 2/798307;
D;608;1211320;4;20241014 01:08;P;;;;;;
D;608;1211320;4;20241014 01:08;P;;;;;;
D;608;1211320;4;20241014 01:08;V;;;;;;
D;608;1211320;4;20241014 01:08;V;;;;;;
B;608;1200902;5;20241014 01:08;;;9;ALOOTA ST;SOUTH BATHURST;2795;734;M;20240826;20241009;405000;R2;R;RESIDENCE;;ALD;;0;AU482635;
C;608;1200902;5;20241014 01:08;44/243500;
D;608;1200902;5;20241014 01:08;P;;;;;;
D;608;1200902;5;20241014 01:08;P;;;;;;
D;608;1200902;5;20241014 01:08;V;;;;;;
B;608;1200975;6;20241014 01:08;;;5;ASH PL;KELSO;2795;1236;M;20240905;20241010;765000;R1;R;RESIDENCE;;AAK;;0;AU486008;
C;608;1200975;6;20241014 01:08;9/1004937;
D;608;1200975;6;20241014 01:08;P;;;;;;
D;608;1200975;6;20241014 01:08;P;;;;;;
D;608;1200975;6;20241014 01:08;V;;;;;;
D;608;1200975;6;20241014 01:08;V;;;;;;
B;608;1209438;7;20241014 01:08;;3;29 A;VIEW ST;KELSO;2795;;;20240719;20241009;250000;;R;RESIDENCE;3;;;0;AU482338;
C;608;1209438;7;20241014 01:08;3/SP41303;
D;608;1209438;7;20241014 01:08;P;;;;;;
D;608;1209438;7;20241014 01:08;V;;;;;;
B;608;1210133;8;20241014 01:08;;10;71;SUTTOR ST;WINDRADYNE;2795;;;20240912;20241010;400000;;R;RESIDENCE;10;;;0;AU487286;
C;608;1210133;8;20241014 01:08;10/SP32050;
D;608;1210133;8;20241014 01:08;P;;;;;;
D;608;1210133;8;20241014 01:08;V;;;;;;
B;608;4556641;9;20241014 01:08;;;19;DARVALL DR;KELSO;2795;553.5;M;20240816;20241010;740000;R1;R;RESIDENCE;;AAK;;0;AU486791;
C;608;4556641;9;20241014 01:08;102/1306399;
D;608;4556641;9;20241014 01:08;P;;;;;;
D;608;4556641;9;20241014 01:08;P;;;;;;
D;608;4556641;9;20241014 01:08;V;;;;;;
B;608;4575058;10;20241014 01:08;;;;TARANA RD;GEMALLA;2795;6607;M;20240213;20240912;1252;;V;VACANT LAND;;;;0;AU413619;
C;608;4575058;10;20241014 01:08;1/1305895;
D;608;4575058;10;20241014 01:08;P;;;;;;
D;608;4575058;10;20241014 01:08;V;;;;;;
B;608;3666643;11;20241014 01:08;;;4;ICELY ST;EGLINTON;2795;533.4;M;20240905;20241010;715000;R1;R;RESIDENCE;;AAT;;0;AU486683;
C;608;3666643;11;20241014 01:08;102/1179949;
D;608;3666643;11;20241014 01:08;P;;;;;;
D;608;3666643;11;20241014 01:08;V;;;;;;
B;608;3302808;12;20241014 01:08;;;13;ROBINDALE CT;ROBIN HILL;2795;4070;M;20240826;20241008;1050000;R5;R;RESIDENCE;;ARH;;0;AU480778;
C;608;3302808;12;20241014 01:08;8/1109327;
D;608;3302808;12;20241014 01:08;P;;;;;;
D;608;3302808;12;20241014 01:08;P;;;;;;
D;608;3302808;12;20241014 01:08;V;;;;;;
D;608;3302808;12;20241014 01:08;V;;;;;;
B;608;4408159;13;20241014 01:08;;;25;BASALT WAY;KELSO;2795;739.3;M;20240904;20241009;875000;R1;R;RESIDENCE;;AAK;;0;AU482622;
C;608;4408159;13;20241014 01:08;50/1277152;
D;608;4408159;13;20241014 01:08;P;;;;;;
D;608;4408159;13;20241014 01:08;P;;;;;;
D;608;4408159;13;20241014 01:08;V;;;;;;
D;608;4408159;13;20241014 01:08;V;;;;;;
D;608;4408159;13;20241014 01:08;V;;;;;;
D;608;4408159;13;20241014 01:08;V;;;;;;
B;608;4426551;14;20241014 01:08;;7;14;WATT DR;ROBIN HILL;2795;108;M;20240827;20241008;280000;;3;COMMERCIAL;7;;;0;AU479585;
C;608;4426551;14;20241014 01:08;7/SP104792;
D;608;4426551;14;20241014 01:08;P;;;;;;
D;608;4426551;14;20241014 01:08;V;;;;;;
B;608;4478719;15;20241014 01:08;;;84;PARER RD;ABERCROMBIE;2795;949.2;M;20240904;20241009;470000;R1;V;VACANT LAND;;AAW;;0;AU482739;
C;608;4478719;15;20241014 01:08;312/1287674;
D;608;4478719;15;20241014 01:08;P;;;;;;
D;608;4478719;15;20241014 01:08;P;;;;;;
D;608;4478719;15;20241014 01:08;V;;;;;;
B;608;3881754;16;20241014 01:08;;;16;BARR ST;WINDRADYNE;2795;889.7;M;20240906;20241008;920000;R1;R;RESIDENCE;;AAW;;0;AU480783;
C;608;3881754;16;20241014 01:08;1007/1212670;
D;608;3881754;16;20241014 01:08;P;;;;;;
D;608;3881754;16;20241014 01:08;P;;;;;;
D;608;3881754;16;20241014 01:08;V;;;;;;
D;608;3881754;16;20241014 01:08;V;;;;;;
B;608;4002881;17;20241014 01:08;;;4 B;UPFOLD ST;GORMANS HILL;2795;426;M;20240819;20241008;655000;R1;R;RESIDENCE;;AAS;;0;AU478698;
C;608;4002881;17;20241014 01:08;412/1228415;
D;608;4002881;17;20241014 01:08;P;;;;;;
D;608;4002881;17;20241014 01:08;V;;;;;;
Z;90;17;17;54;
