A;RTSALEDATA;220;20241021 01:07;VALNET;
B;220;2402414;1;20241021 01:07;;;74;KINGFISHER AVE;BOSSLEY PARK;2176;675;M;20241011;20241011;970000;R2;R;RESIDENCE;;RAE;;0;AU490757;
C;220;2402414;1;20241021 01:07;53/735104;
D;220;2402414;1;20241021 01:07;P;;;;;;
D;220;2402414;1;20241021 01:07;V;;;;;;
B;220;2405300;2;20241021 01:07;;4;99;LONGFIELD ST;CABRAMATTA;2166;;;20240905;20241017;415000;;R;RESIDENCE;4;;;0;AU504744;
C;220;2405300;2;20241021 01:07;4/SP31946;
D;220;2405300;2;20241021 01:07;P;;;;;;
D;220;2405300;2;20241021 01:07;P;;;;;;
D;220;2405300;2;20241021 01:07;V;;;;;;
B;220;2407930;3;20241021 01:07;;;12;MAUGHAM CRES;WETHERILL PARK;2164;605.3;M;20240831;20241014;1485000;R2;R;RESIDENCE;;RAK;;0;AU495755;
C;220;2407930;3;20241021 01:07;20/251087;
D;220;2407930;3;20241021 01:07;P;;;;;;
D;220;2407930;3;20241021 01:07;V;;;;;;
D;220;2407930;3;20241021 01:07;V;;;;;;
B;220;2416009;4;20241021 01:07;;;2;PROSPECT CRES;CANLEY VALE;2166;480.6;M;20241004;20241011;900000;R2;R;RESIDENCE;;RAC;;0;AU492607;
C;220;2416009;4;20241021 01:07;1B/416897;
D;220;2416009;4;20241021 01:07;P;;;;;;
D;220;2416009;4;20241021 01:07;V;;;;;;
B;220;2402853;5;20241021 01:07;;;16 C;KNIGHT ST;LANSVALE;2166;581.7;M;20240729;20241011;950000;R2;R;RESIDENCE;;RAD;;0;AU491633;
C;220;2402853;5;20241021 01:07;4/238490;
D;220;2402853;5;20241021 01:07;P;;;;;;
D;220;2402853;5;20241021 01:07;V;;;;;;
B;220;2421660;6;20241021 01:07;;;97;SMART ST;FAIRFIELD;2165;256.2;M;20240918;20241016;940000;R4;R;RESIDENCE;;RHD;;0;AU502913;
C;220;2421660;6;20241021 01:07;2/1000986;
D;220;2421660;6;20241021 01:07;P;;;;;;
D;220;2421660;6;20241021 01:07;V;;;;;;
D;220;2421660;6;20241021 01:07;V;;;;;;
B;220;2424627;7;20241021 01:07;;21;127;THE CRESCENT;FAIRFIELD;2165;;;20240904;20241016;385000;;R;RESIDENCE;21;;;0;AU501756;
C;220;2424627;7;20241021 01:07;21/SP12744;
D;220;2424627;7;20241021 01:07;P;;;;;;
D;220;2424627;7;20241021 01:07;V;;;;;;
B;220;2425186;8;20241021 01:07;;;221;THE HORSLEY DR;FAIRFIELD EAST;2165;450;M;20240831;20241017;995000;R2;R;RESIDENCE;;RAH;;0;AU505458;
C;220;2425186;8;20241021 01:07;1/872970;
D;220;2425186;8;20241021 01:07;P;;;;;;
D;220;2425186;8;20241021 01:07;P;;;;;;
D;220;2425186;8;20241021 01:07;V;;;;;;
D;220;2425186;8;20241021 01:07;V;;;;;;
B;220;2425222;9;20241021 01:07;;;145;THE HORSLEY DR;FAIRFIELD EAST;2165;524.8;M;20240901;20241015;987500;R2;R;RESIDENCE;;RAH;;0;AU498627;
C;220;2425222;9;20241021 01:07;68/13595;
D;220;2425222;9;20241021 01:07;P;;;;;;
D;220;2425222;9;20241021 01:07;P;;;;;;
D;220;2425222;9;20241021 01:07;V;;;;;;
D;220;2425222;9;20241021 01:07;V;;;;;;
D;220;2425222;9;20241021 01:07;V;;;;;;
D;220;2425222;9;20241021 01:07;V;;;;;;
B;220;2428194;10;20241021 01:07;;;42;VINCENT CRES;CANLEY VALE;2166;752.5;M;20230831;20241014;1112000;R2;R;RESIDENCE;;RAC;;0;AU494522;
C;220;2428194;10;20241021 01:07;17/31897;
D;220;2428194;10;20241021 01:07;P;;;;;;
D;220;2428194;10;20241021 01:07;P;;;;;;
D;220;2428194;10;20241021 01:07;V;;;;;;
B;220;2425762;11;20241021 01:07;;;38;THERESA ST;SMITHFIELD;2164;524.8;M;20240724;20241016;1035000;R2;R;RESIDENCE;;RAJ;;0;AU502098;
C;220;2425762;11;20241021 01:07;122/223999;
D;220;2425762;11;20241021 01:07;P;;;;;;
D;220;2425762;11;20241021 01:07;V;;;;;;
B;220;2431525;12;20241021 01:07;;;20;ZADRO AVE;BOSSLEY PARK;2176;743.8;M;20240912;20241011;1500000;R2;R;RESIDENCE;;RAE;;0;AU490058;
C;220;2431525;12;20241021 01:07;18/261402;
D;220;2431525;12;20241021 01:07;P;;;;;;
D;220;2431525;12;20241021 01:07;V;;;;;;
B;220;2429289;13;20241021 01:07;;11;118;WATTLE AVE;CARRAMAR;2163;;;20240830;20241011;375000;;R;RESIDENCE;11;;;0;AU490347;
C;220;2429289;13;20241021 01:07;11/SP33254;
D;220;2429289;13;20241021 01:07;P;;;;;;
D;220;2429289;13;20241021 01:07;V;;;;;;
B;220;2426695;14;20241021 01:07;;;3;TOWNVIEW RD;MOUNT PRITCHARD;2170;651.3;M;20240718;20240829;1000000;R2;R;RESIDENCE;;RAI;AC;0;AU373602;
C;220;2426695;14;20241021 01:07;A/371314;
D;220;2426695;14;20241021 01:07;P;;;;;;
D;220;2426695;14;20241021 01:07;P;;;;;;
D;220;2426695;14;20241021 01:07;V;;;;;;
B;220;2873974;15;20241021 01:07;;;280;FAIRFIELD ST;FAIRFIELD;2165;746.1;M;20240725;20241015;3000000;MU1;3;COMMERCIAL;;MUC;;0;AU497059;
C;220;2873974;15;20241021 01:07;3A/410785;
D;220;2873974;15;20241021 01:07;P;;;;;;
D;220;2873974;15;20241021 01:07;V;;;;;;
B;220;4160540;16;20241021 01:07;;207;24;ELLIS PDE;YENNORA;2161;;;20240901;20241014;525000;;R;RESIDENCE;23;;;0;AU494802;
C;220;4160540;16;20241021 01:07;23/SP98334;
D;220;4160540;16;20241021 01:07;P;;;;;;
D;220;4160540;16;20241021 01:07;P;;;;;;
D;220;4160540;16;20241021 01:07;V;;;;;;
B;220;3036081;17;20241021 01:07;;1;14;NELLO PL;WETHERILL PARK;2164;;;20241004;20241015;420000;;3;FACTORY;1;;;0;AU497919;
C;220;3036081;17;20241021 01:07;1/SP71420;
D;220;3036081;17;20241021 01:07;P;;;;;;
D;220;3036081;17;20241021 01:07;P;;;;;;
D;220;3036081;17;20241021 01:07;P;;;;;;
D;220;3036081;17;20241021 01:07;V;;;;;;
D;220;3036081;17;20241021 01:07;V;;;;;;
D;220;3036081;17;20241021 01:07;V;;;;;;
D;220;3036081;17;20241021 01:07;V;;;;;;
B;220;3036081;18;20241021 01:07;;2;14;NELLO PL;WETHERILL PARK;2164;;;20241004;20241015;230000;;3;FACTORY;2;;;0;AU497928;
C;220;3036081;18;20241021 01:07;2/SP71420;
D;220;3036081;18;20241021 01:07;P;;;;;;
D;220;3036081;18;20241021 01:07;P;;;;;;
D;220;3036081;18;20241021 01:07;P;;;;;;
D;220;3036081;18;20241021 01:07;V;;;;;;
D;220;3036081;18;20241021 01:07;V;;;;;;
D;220;3036081;18;20241021 01:07;V;;;;;;
D;220;3036081;18;20241021 01:07;V;;;;;;
B;220;3113757;19;20241021 01:07;;;58;GALTON ST;WETHERILL PARK;2164;468.2;M;20240914;20241017;1507000;R2;R;RESIDENCE;;RAJ;;0;AU504351;
C;220;3113757;19;20241021 01:07;13/1069436;
D;220;3113757;19;20241021 01:07;P;;;;;;
D;220;3113757;19;20241021 01:07;V;;;;;;
B;220;3120531;20;20241021 01:07;;7;102;STATION ST;FAIRFIELD HEIGHTS;2165;;;20240831;20241014;620000;;R;RESIDENCE;7;;;0;AU494612;
C;220;3120531;20;20241021 01:07;7/SP73372;
D;220;3120531;20;20241021 01:07;P;;;;;;
D;220;3120531;20;20241021 01:07;V;;;;;;
B;220;4510715;21;20241021 01:07;;5;45;ANDERSON AVE;MOUNT PRITCHARD;2170;193;M;20240823;20241011;715000;;R;RESIDENCE;5;;;0;AU492531;
C;220;4510715;21;20241021 01:07;5/SP107080;
