A;RTSALEDATA;217;20241021 01:07;VALNET;
B;217;4156530;1;20241021 01:07;;;21;BREWERTON CL;GLEDSWOOD HILLS;2557;510.8;M;20240831;20241014;1340000;R1;R;RESIDENCE;;GHS;;0;AU494098;
C;217;4156530;1;20241021 01:07;1920/1237375;
D;217;4156530;1;20241021 01:07;P;;;;;;
D;217;4156530;1;20241021 01:07;V;;;;;;
B;217;3563899;2;20241021 01:07;;;11;GRETA AVE;HARRINGTON PARK;2567;1081;M;20240905;20241017;2620000;C4;R;RESIDENCE;;GCD;;0;AU505752;
C;217;3563899;2;20241021 01:07;29/280026;
D;217;3563899;2;20241021 01:07;P;;;;;;
D;217;3563899;2;20241021 01:07;P;;;;;;
D;217;3563899;2;20241021 01:07;V;;;;;;
B;217;3598536;3;20241021 01:07;;;20;HEALY AVE;GREGORY HILLS;2557;408.7;M;20240910;20241017;850000;R1;R;RESIDENCE;;GCJ;;0;AU504450;
C;217;3598536;3;20241021 01:07;1217/1153633;
D;217;3598536;3;20241021 01:07;P;;;;;;
D;217;3598536;3;20241021 01:07;V;;;;;;
D;217;3598536;3;20241021 01:07;V;;;;;;
B;217;4063680;4;20241021 01:07;;;8;GRACEFUL CT;COBBITTY;2570;390;M;20240813;20241017;1081000;R1;R;RESIDENCE;;COB;;0;AU505016;
C;217;4063680;4;20241021 01:07;1090/1218210;
D;217;4063680;4;20241021 01:07;P;;;;;;
D;217;4063680;4;20241021 01:07;P;;;;;;
D;217;4063680;4;20241021 01:07;V;;;;;;
D;217;4063680;4;20241021 01:07;V;;;;;;
B;217;4016032;5;20241021 01:07;;;80;AQUEDUCT ST;LEPPINGTON;2179;390;M;20240902;20241017;1080000;R2;R;RESIDENCE;;LRS;;0;AU505617;
C;217;4016032;5;20241021 01:07;5215/1211914;
D;217;4016032;5;20241021 01:07;P;;;;;;
D;217;4016032;5;20241021 01:07;P;;;;;;
D;217;4016032;5;20241021 01:07;V;;;;;;
