A;RTSALEDATA;216;20241021 01:06;VALNET;
B;216;4139333;1;20241021 01:07;;;22;RED GUM AVE;HAZELBROOK;2779;695.5;M;20240902;20241014;840000;R2;R;RESIDENCE;;HLD;;0;AU493788;
C;216;4139333;1;20241021 01:07;136/32238;
D;216;4139333;1;20241021 01:07;P;;;;;;
D;216;4139333;1;20241021 01:07;P;;;;;;
D;216;4139333;1;20241021 01:07;V;;;;;;
D;216;4139333;1;20241021 01:07;V;;;;;;
B;216;2993419;2;20241021 01:07;MAPLE GROVE ESTATE;;42;SEIBERI CL;BLACKHEATH;2785;1597;M;20240815;20241014;1265000;C4;R;RESIDENCE;;BLH;;0;AU496212;
C;216;2993419;2;20241021 01:07;16/285791;
D;216;2993419;2;20241021 01:07;P;;;;;;
D;216;2993419;2;20241021 01:07;P;;;;;;
D;216;2993419;2;20241021 01:07;V;;;;;;
D;216;2993419;2;20241021 01:07;V;;;;;;
B;216;4573152;3;20241021 01:07;;2;125;GREAT WESTERN HWY;BLAXLAND;2774;193;M;20240506;20241016;980000;;R;RESIDENCE;2;;;0;AU502951;
C;216;4573152;3;20241021 01:07;2/SP108616;
D;216;4573152;3;20241021 01:07;P;;;;;;
D;216;4573152;3;20241021 01:07;V;;;;;;
B;216;4573678;4;20241021 01:07;;2;28;OLD BATHURST RD;BLAXLAND;2774;154;M;20220628;20241011;809300;;R;RESIDENCE;2;;;0;AU489460;
C;216;4573678;4;20241021 01:07;2/SP108752;
D;216;4573678;4;20241021 01:07;P;;;;;;
D;216;4573678;4;20241021 01:07;P;;;;;;
D;216;4573678;4;20241021 01:07;V;;;;;;
B;216;4568767;5;20241021 01:07;;;2 A;CROSS ST;WARRIMOO;2774;689.2;M;20240904;20241016;1360000;C4;R;RESIDENCE;;WAE;;0;AU500737;
C;216;4568767;5;20241021 01:07;30/1/11834;
D;216;4568767;5;20241021 01:07;P;;;;;;
D;216;4568767;5;20241021 01:07;V;;;;;;
D;216;4568767;5;20241021 01:07;V;;;;;;
B;216;2250989;6;20241021 01:07;;;51;SHIRLOW AVE;FAULCONBRIDGE;2776;1574;M;20240831;20241014;855000;C4;R;RESIDENCE;;FBE;;0;AU496485;
C;216;2250989;6;20241021 01:07;19/16845;
D;216;2250989;6;20241021 01:07;P;;;;;;
D;216;2250989;6;20241021 01:07;P;;;;;;
D;216;2250989;6;20241021 01:07;V;;;;;;
D;216;2250989;6;20241021 01:07;V;;;;;;
B;216;2273115;7;20241021 01:07;;;16;HILL ST;WENTWORTH FALLS;2782;765.1;M;20240903;20241016;1025000;C4;R;RESIDENCE;;WEN;;0;AU503272;
C;216;2273115;7;20241021 01:07;27/30130;
D;216;2273115;7;20241021 01:07;P;;;;;;
D;216;2273115;7;20241021 01:07;P;;;;;;
D;216;2273115;7;20241021 01:07;V;;;;;;
D;216;2273115;7;20241021 01:07;V;;;;;;
B;216;2262114;8;20241021 01:07;;;124 A;GLADSTONE RD;LEURA;2780;733.5;M;20240816;20241011;1350000;A;R;RESIDENCE;;KL;;0;AU489209;
C;216;2262114;8;20241021 01:07;5/28404;
D;216;2262114;8;20241021 01:07;P;;;;;;
D;216;2262114;8;20241021 01:07;P;;;;;;
D;216;2262114;8;20241021 01:07;V;;;;;;
B;216;2270173;9;20241021 01:07;;;24;CURRAWONG AVE;VALLEY HEIGHTS;2777;1011;M;20240724;20241014;2310000;C4;R;RESIDENCE;;VHL;;0;AU494112;
C;216;2270173;9;20241021 01:07;110/849614;
D;216;2270173;9;20241021 01:07;P;;;;;;
D;216;2270173;9;20241021 01:07;P;;;;;;
D;216;2270173;9;20241021 01:07;V;;;;;;
D;216;2270173;9;20241021 01:07;V;;;;;;
B;216;2254307;10;20241021 01:07;;;25;HILLTOP AVE;HAZELBROOK;2779;543.8;M;20240903;20241015;830000;C4;R;RESIDENCE;;HZL;;0;AU497174;
C;216;2254307;10;20241021 01:07;16/10759;
D;216;2254307;10;20241021 01:07;P;;;;;;
D;216;2254307;10;20241021 01:07;P;;;;;;
D;216;2254307;10;20241021 01:07;V;;;;;;
D;216;2254307;10;20241021 01:07;V;;;;;;
B;216;2267736;11;20241021 01:07;;;67;DOUGLAS ST;SPRINGWOOD;2777;699;M;20240816;20241011;1110000;R2;R;RESIDENCE;;SPD;;0;AU490448;
C;216;2267736;11;20241021 01:07;57/249475;
D;216;2267736;11;20241021 01:07;P;;;;;;
D;216;2267736;11;20241021 01:07;P;;;;;;
D;216;2267736;11;20241021 01:07;V;;;;;;
D;216;2267736;11;20241021 01:07;V;;;;;;
B;216;2274974;12;20241021 01:07;;;14;BULBI AVE;WINMALEE;2777;682.9;M;20240723;20241015;1100000;R2;R;RESIDENCE;;WLD;;0;AU496806;
C;216;2274974;12;20241021 01:07;202/245504;
D;216;2274974;12;20241021 01:07;P;;;;;;
D;216;2274974;12;20241021 01:07;P;;;;;;
D;216;2274974;12;20241021 01:07;V;;;;;;
D;216;2274974;12;20241021 01:07;V;;;;;;
B;216;2262781;13;20241021 01:07;;;304;LEURA MALL;LEURA;2780;879;M;20240902;20241014;1560000;A;R;RESIDENCE;;KL;;0;AU493080;
C;216;2262781;13;20241021 01:07;1/943833;
D;216;2262781;13;20241021 01:07;P;;;;;;
D;216;2262781;13;20241021 01:07;V;;;;;;
B;216;2268056;14;20241021 01:07;;3;5;FERGUSON RD;SPRINGWOOD;2777;;;20240917;20241017;485000;;R;RESIDENCE;3;;;0;AU504454;
C;216;2268056;14;20241021 01:07;3/SP8770;
D;216;2268056;14;20241021 01:07;P;;;;;;
D;216;2268056;14;20241021 01:07;V;;;;;;
B;216;2257509;15;20241021 01:07;;;44;ESSENDENE RD;KATOOMBA;2780;1138;M;20240902;20241014;850000;C4;R;RESIDENCE;;KAP;;0;AU493228;
C;216;2257509;15;20241021 01:07;15/2/25218;
D;216;2257509;15;20241021 01:07;P;;;;;;
D;216;2257509;15;20241021 01:07;V;;;;;;
D;216;2257509;15;20241021 01:07;V;;;;;;
B;216;2257547;16;20241021 01:07;;;19;FARNELLS RD;KATOOMBA;2780;594.4;M;20240710;20241017;692500;C4;R;RESIDENCE;;KAP;;0;AU504026;
C;216;2257547;16;20241021 01:07;2/29363;
D;216;2257547;16;20241021 01:07;P;;;;;;
D;216;2257547;16;20241021 01:07;V;;;;;;
B;216;2265600;17;20241021 01:07;;;77;RUSDEN RD;MOUNT RIVERVIEW;2774;695.6;M;20240720;20241014;920000;C4;R;RESIDENCE;;MRL;;0;AU494948;
C;216;2265600;17;20241021 01:07;14/205830;
D;216;2265600;17;20241021 01:07;P;;;;;;
D;216;2265600;17;20241021 01:07;P;;;;;;
D;216;2265600;17;20241021 01:07;V;;;;;;
D;216;2265600;17;20241021 01:07;V;;;;;;
B;216;2257749;18;20241021 01:07;;;43;GOVETT ST;KATOOMBA;2780;626;M;20240628;20241015;1250000;C4;R;RESIDENCE;;KAP;;0;AU499246;
C;216;2257749;18;20241021 01:07;C/410377;
D;216;2257749;18;20241021 01:07;P;;;;;;
D;216;2257749;18;20241021 01:07;P;;;;;;
D;216;2257749;18;20241021 01:07;V;;;;;;
B;216;2268629;19;20241021 01:07;;;59;LINKSVIEW RD;SPRINGWOOD;2777;935.8;M;20240816;20241011;850000;C4;R;RESIDENCE;;SWE;;0;AU489985;
C;216;2268629;19;20241021 01:07;10/28999;
D;216;2268629;19;20241021 01:07;P;;;;;;
D;216;2268629;19;20241021 01:07;P;;;;;;
D;216;2268629;19;20241021 01:07;V;;;;;;
B;216;2244756;20;20241021 01:07;;;84;HAT HILL RD;BLACKHEATH;2785;557.33;M;20240830;20241011;790500;A;R;RESIDENCE;;BA;;0;AU490227;
C;216;2244756;20;20241021 01:07;3/13056;
D;216;2244756;20;20241021 01:07;P;;;;;;
D;216;2244756;20;20241021 01:07;V;;;;;;
D;216;2244756;20;20241021 01:07;V;;;;;;
B;216;2260834;21;20241021 01:07;;;22;LAWSON ST;LAWSON;2783;619.7;M;20240911;20241016;780000;R2;R;RESIDENCE;;LAW;;0;AU501660;
C;216;2260834;21;20241021 01:07;11/9/11078;
D;216;2260834;21;20241021 01:07;P;;;;;;
D;216;2260834;21;20241021 01:07;P;;;;;;
D;216;2260834;21;20241021 01:07;V;;;;;;
D;216;2260834;21;20241021 01:07;V;;;;;;
B;216;2250256;22;20241021 01:07;;;50;GROSE RD;FAULCONBRIDGE;2776;1941;M;20240909;20241014;1200000;C4;R;RESIDENCE;;FBE;;0;AU495925;
C;216;2250256;22;20241021 01:07;6/24609;
D;216;2250256;22;20241021 01:07;P;;;;;;
D;216;2250256;22;20241021 01:07;V;;;;;;
D;216;2250256;22;20241021 01:07;V;;;;;;
B;216;2252846;23;20241021 01:07;;;14;READING ST;GLENBROOK;2773;1011.83;M;20240830;20241011;1960000;C4;R;RESIDENCE;;GBL;;0;AU490051;
C;216;2252846;23;20241021 01:07;B/405842;
D;216;2252846;23;20241021 01:07;P;;;;;;
D;216;2252846;23;20241021 01:07;P;;;;;;
D;216;2252846;23;20241021 01:07;V;;;;;;
D;216;2252846;23;20241021 01:07;V;;;;;;
B;216;2258273;24;20241021 01:07;;;31;LEICHHARDT ST;KATOOMBA;2780;542.7;M;20240904;20241016;905000;R2;R;RESIDENCE;;KAT;;0;AU502591;
C;216;2258273;24;20241021 01:07;1/104412;
D;216;2258273;24;20241021 01:07;P;;;;;;
D;216;2258273;24;20241021 01:07;V;;;;;;
B;216;2263631;25;20241021 01:07;;;10;SUBLIME POINT RD;LEURA;2780;1505;M;20240829;20241014;1305000;C4;R;RESIDENCE;;LSE;;0;AU494875;
C;216;2263631;25;20241021 01:07;A/401155;
D;216;2263631;25;20241021 01:07;P;;;;;;
D;216;2263631;25;20241021 01:07;V;;;;;;
