A;RTSALEDATA;051;20241007 01:05;VALNET;
B;051;505421;1;20241007 01:05;;;108;DENISON ST;FINLEY;2713;1012;M;20240703;20240927;182000;RU5;V;VACANT LAND;;FR1;;0;AU452888;
C;051;505421;1;20241007 01:05;18/23/758412;
D;051;505421;1;20241007 01:05;P;;;;;;
D;051;505421;1;20241007 01:05;P;;;;;;
D;051;505421;1;20241007 01:05;V;;;;;;
D;051;505421;1;20241007 01:05;V;;;;;;
D;051;505421;1;20241007 01:05;V;;;;;;
B;051;505523;2;20241007 01:05;;;13;HEADFORD ST;FINLEY;2713;;;20240829;20240930;105000;;R;RESIDENCE;2;;;0;AU457786;
C;051;505523;2;20241007 01:05;2/SP30956;
D;051;505523;2;20241007 01:05;P;;;;;;
D;051;505523;2;20241007 01:05;P;;;;;;
D;051;505523;2;20241007 01:05;V;;;;;;
B;051;508186;3;20241007 01:05;;;80;FALKINER ST;TOCUMWAL;2714;2011;M;20240918;20241001;450000;RU5;R;RESIDENCE;;TR1;;0;AU463919;
C;051;508186;3;20241007 01:05;8/7/758981;
D;051;508186;3;20241007 01:05;P;;;;;;
D;051;508186;3;20241007 01:05;V;;;;;;
D;051;508186;3;20241007 01:05;V;;;;;;
B;051;506664;4;20241007 01:05;;;37;DAVIS ST;BERRIGAN;2712;1051;M;20240814;20240930;485000;RU5;R;RESIDENCE;;BR1;;0;AU458844;
C;051;506664;4;20241007 01:05;19/791324;
D;051;506664;4;20241007 01:05;P;;;;;;
D;051;506664;4;20241007 01:05;P;;;;;;
D;051;506664;4;20241007 01:05;V;;;;;;
D;051;506664;4;20241007 01:05;V;;;;;;
B;051;506722;5;20241007 01:05;;;6;GREGGERYS RD;BERRIGAN;2712;2751;M;20240912;20240927;375000;RU5;R;RESIDENCE;;BR1;;0;AU451885;
C;051;506722;5;20241007 01:05;7/232857;
D;051;506722;5;20241007 01:05;P;;;;;;
D;051;506722;5;20241007 01:05;P;;;;;;
D;051;506722;5;20241007 01:05;V;;;;;;
D;051;506722;5;20241007 01:05;V;;;;;;
B;051;3332599;6;20241007 01:05;;;37;HENNESSY ST;TOCUMWAL;2714;394.2;M;20240424;20241001;560000;RU5;R;RESIDENCE;;TR1;;0;AU461605;
C;051;3332599;6;20241007 01:05;343/1116068;
D;051;3332599;6;20241007 01:05;P;;;;;;
D;051;3332599;6;20241007 01:05;V;;;;;;
D;051;3332599;6;20241007 01:05;V;;;;;;
Z;36;6;6;22;
