A;RTSALEDATA;118;20241028 01:05;VALNET;
B;118;1251567;1;20241028 01:05;;;14;STIRLING PL;BLAYNEY;2799;1018;M;20240910;20241022;555000;R1;R;RESIDENCE;;BAK;;0;AU516512;
C;118;1251567;1;20241028 01:05;130/556411;
D;118;1251567;1;20241028 01:05;P;;;;;;
D;118;1251567;1;20241028 01:05;V;;;;;;
D;118;1251567;1;20241028 01:05;V;;;;;;
B;118;4526167;2;20241028 01:05;;;14;KNOX PL;MILLTHORPE;2798;630.4;M;20240718;20241018;410000;R1;V;VACANT LAND;;MRA;;0;AU510961;
C;118;4526167;2;20241028 01:05;8/1291217;
D;118;4526167;2;20241028 01:05;P;;;;;;
D;118;4526167;2;20241028 01:05;V;;;;;;
B;118;4526168;3;20241028 01:05;;;16;KNOX PL;MILLTHORPE;2798;721.5;M;20240823;20241018;430000;R1;V;VACANT LAND;;MRA;;0;AU508059;
C;118;4526168;3;20241028 01:05;9/1291217;
D;118;4526168;3;20241028 01:05;P;;;;;;
D;118;4526168;3;20241028 01:05;V;;;;;;
B;118;4526171;4;20241028 01:05;;;34;KNOX PL;MILLTHORPE;2798;860.5;M;20240823;20241018;480000;R1;V;VACANT LAND;;MRA;;0;AU508032;
C;118;4526171;4;20241028 01:05;12/1291217;
D;118;4526171;4;20241028 01:05;P;;;;;;
D;118;4526171;4;20241028 01:05;V;;;;;;
B;118;4526172;5;20241028 01:05;;;27;KNOX PL;MILLTHORPE;2798;1331;M;20240718;20241018;550000;R1;V;VACANT LAND;;MRA;;0;AU507818;
C;118;4526172;5;20241028 01:05;13/1291217;
D;118;4526172;5;20241028 01:05;P;;;;;;
D;118;4526172;5;20241028 01:05;V;;;;;;
B;118;4526173;6;20241028 01:05;;;21;KNOX PL;MILLTHORPE;2798;1488;M;20240718;20241018;570000;R1;V;VACANT LAND;;MRA;;0;AU507638;
C;118;4526173;6;20241028 01:05;14/1291217;
D;118;4526173;6;20241028 01:05;P;;;;;;
D;118;4526173;6;20241028 01:05;V;;;;;;
B;118;4526174;7;20241028 01:05;;;19;KNOX PL;MILLTHORPE;2798;620.4;M;20240718;20241018;390000;R1;V;VACANT LAND;;MRA;;0;AU510952;
C;118;4526174;7;20241028 01:05;15/1291217;
D;118;4526174;7;20241028 01:05;P;;;;;;
D;118;4526174;7;20241028 01:05;V;;;;;;
B;118;4526175;8;20241028 01:05;;;17;KNOX PL;MILLTHORPE;2798;618.6;M;20240718;20241018;360000;R1;V;VACANT LAND;;MRA;;0;AU510955;
C;118;4526175;8;20241028 01:05;16/1291217;
D;118;4526175;8;20241028 01:05;P;;;;;;
D;118;4526175;8;20241028 01:05;V;;;;;;
B;118;4526176;9;20241028 01:05;;;13;KNOX PL;MILLTHORPE;2798;914.8;M;20240823;20241018;500000;R1;V;VACANT LAND;;MRA;;0;AU508044;
C;118;4526176;9;20241028 01:05;17/1291217;
D;118;4526176;9;20241028 01:05;P;;;;;;
D;118;4526176;9;20241028 01:05;V;;;;;;
Z;39;9;9;19;
