A;RTSALEDATA;258;20241028 01:07;VALNET;
B;258;2886965;1;20241028 01:07;;2;338;CANTERBURY RD;CANTERBURY;2193;;;20240802;20241024;880000;;R;RESIDENCE;2;;;0;AU526174;
C;258;2886965;1;20241028 01:07;2/SP66774;
D;258;2886965;1;20241028 01:07;P;;;;;;
D;258;2886965;1;20241028 01:07;P;;;;;;
D;258;2886965;1;20241028 01:07;V;;;;;;
D;258;2886965;1;20241028 01:07;V;;;;;;
B;258;4248194;2;20241028 01:07;;1;188;HALDON ST;LAKEMBA;2195;;;20240713;20240924;937000;;3;RETAIL SHOP;1;;;0;AU441833;
C;258;4248194;2;20241028 01:07;1/SP99281;
D;258;4248194;2;20241028 01:07;P;;;;;;
D;258;4248194;2;20241028 01:07;P;;;;;;
D;258;4248194;2;20241028 01:07;V;;;;;;
B;258;4231007;3;20241028 01:07;;14;60;MARIGOLD ST;REVESBY;2212;436;M;20240920;20241021;2475000;;3;WAREHOUSE;14;;;0;AU513024;
C;258;4231007;3;20241028 01:07;14/SP99867;
D;258;4231007;3;20241028 01:07;P;;;;;;
D;258;4231007;3;20241028 01:07;V;;;;;;
B;258;4225619;4;20241028 01:07;;24;337;BEAMISH ST;CAMPSIE;2194;132;M;20240827;20241022;875000;;R;RESIDENCE;24;;;0;AU519018;
C;258;4225619;4;20241028 01:07;24/SP92213;
D;258;4225619;4;20241028 01:07;P;;;;;;
D;258;4225619;4;20241028 01:07;P;;;;;;
D;258;4225619;4;20241028 01:07;V;;;;;;
B;258;1353948;5;20241028 01:07;;;9;HILLVIEW AVE;BANKSTOWN;2200;556.4;M;20240909;20241021;1200000;R2;R;RESIDENCE;;EKB;;0;AU515486;
C;258;1353948;5;20241028 01:07;5/30757;
D;258;1353948;5;20241028 01:07;P;;;;;;
D;258;1353948;5;20241028 01:07;P;;;;;;
D;258;1353948;5;20241028 01:07;V;;;;;;
D;258;1353948;5;20241028 01:07;V;;;;;;
B;258;1359334;6;20241028 01:07;;;113;LANCASTER AVE;PUNCHBOWL;2196;515.17;M;20240918;20241024;1500000;R2;R;RESIDENCE;;EKD;;0;AU525036;
C;258;1359334;6;20241028 01:07;C/418489;
D;258;1359334;6;20241028 01:07;P;;;;;;
D;258;1359334;6;20241028 01:07;P;;;;;;
D;258;1359334;6;20241028 01:07;V;;;;;;
D;258;1359334;6;20241028 01:07;V;;;;;;
B;258;1351584;7;20241028 01:07;;;26;HAZELGLEN AVE;PANANIA;2213;537.5;M;20240916;20241021;550000;R2;R;RESIDENCE;;SMG;;0;AU515354;
C;258;1351584;7;20241028 01:07;33/30068;
D;258;1351584;7;20241028 01:07;P;;;;;;
D;258;1351584;7;20241028 01:07;P;;;;;;
D;258;1351584;7;20241028 01:07;V;;;;;;
D;258;1351584;7;20241028 01:07;V;;;;;;
D;258;1351584;7;20241028 01:07;V;;;;;;
B;258;1359564;8;20241028 01:07;;;90;LANG ST;PADSTOW;2211;1094;M;20240906;20241018;1650000;R2;R;RESIDENCE;;SMC;;0;AU510727;
C;258;1359564;8;20241028 01:07;13/A/1528;
D;258;1359564;8;20241028 01:07;P;;;;;;
D;258;1359564;8;20241028 01:07;P;;;;;;
D;258;1359564;8;20241028 01:07;V;;;;;;
D;258;1359564;8;20241028 01:07;V;;;;;;
B;258;1335837;9;20241028 01:07;;;9;BRUCE AVE;PANANIA;2213;746.1;M;20240824;20241022;1825000;R2;R;RESIDENCE;;SME;;0;AU516803;
C;258;1335837;9;20241028 01:07;5/217407;
