A;RTSALEDATA;234;20241028 01:06;VALNET;
B;234;2616043;1;20241028 01:06;;;503;CUMMINS LANE;BROKEN HILL;2880;847.3;M;20240930;20241022;415000;R1;R;RESIDENCE;;AAW;;0;AU518071;
C;234;2616043;1;20241028 01:06;A/394536;
D;234;2616043;1;20241028 01:06;P;;;;;;
D;234;2616043;1;20241028 01:06;P;;;;;;
D;234;2616043;1;20241028 01:06;V;;;;;;
B;234;2621776;2;20241028 01:06;;;477;UNION ST;BROKEN HILL;2880;744;M;20240906;20241018;255000;R1;R;RESIDENCE;;AAW;;0;AU510009;
C;234;2621776;2;20241028 01:06;4472/757298;
D;234;2621776;2;20241028 01:06;P;;;;;;
D;234;2621776;2;20241028 01:06;V;;;;;;
B;234;2616608;3;20241028 01:06;;;95;EYRE ST;BROKEN HILL;2880;733.5;M;20240910;20241022;222000;R1;R;RESIDENCE;;AAC;;0;AU516469;
C;234;2616608;3;20241028 01:06;A/320746;
D;234;2616608;3;20241028 01:06;P;;;;;;
D;234;2616608;3;20241028 01:06;V;;;;;;
B;234;2616635;4;20241028 01:06;;;517;FISHER ST;BROKEN HILL;2880;1012;M;20240907;20241021;125000;R1;R;RESIDENCE;;AAW;;0;AU514085;
C;234;2616635;4;20241028 01:06;3190/757298;
D;234;2616635;4;20241028 01:06;P;;;;;;
D;234;2616635;4;20241028 01:06;V;;;;;;
D;234;2616635;4;20241028 01:06;V;;;;;;
B;234;2619296;5;20241028 01:06;;;88;MORGAN ST;BROKEN HILL;2880;1012;M;20240923;20241024;200000;R1;R;RESIDENCE;;AAR;;0;AU523401;
C;234;2619296;5;20241028 01:06;4545/757298;
D;234;2619296;5;20241028 01:06;P;;;;;;
D;234;2619296;5;20241028 01:06;P;;;;;;
D;234;2619296;5;20241028 01:06;V;;;;;;
B;234;2614057;6;20241028 01:06;;;538;BLENDE ST;BROKEN HILL;2880;613.4;M;20240924;20241022;175000;R1;R;RESIDENCE;;AAZ;;0;AU517611;
C;234;2614057;6;20241028 01:06;2442/757298;
D;234;2614057;6;20241028 01:06;P;;;;;;
D;234;2614057;6;20241028 01:06;P;;;;;;
D;234;2614057;6;20241028 01:06;V;;;;;;
B;234;2619412;7;20241028 01:06;;;290;MORISH ST;BROKEN HILL;2880;1012;M;20240912;20241018;50000;R1;R;RESIDENCE;;AAC;;0;AU509801;
C;234;2619412;7;20241028 01:06;18/10/758018;
D;234;2619412;7;20241028 01:06;P;;;;;;
D;234;2619412;7;20241028 01:06;V;;;;;;
B;234;2622234;8;20241028 01:06;;;689;WILLIAMS ST;BROKEN HILL;2880;944.1;M;20240917;20241016;262000;R1;R;RESIDENCE;;AAW;;0;AU502191;
C;234;2622234;8;20241028 01:06;2/849396;
D;234;2622234;8;20241028 01:06;P;;;;;;
D;234;2622234;8;20241028 01:06;P;;;;;;
D;234;2622234;8;20241028 01:06;V;;;;;;
B;234;2616967;9;20241028 01:06;;;349;GARNET ST;BROKEN HILL;2880;809.4;M;20240919;20241018;165000;R1;R;RESIDENCE;;AAR;;0;AU509602;
C;234;2616967;9;20241028 01:06;1/940523;
D;234;2616967;9;20241028 01:06;P;;;;;;
D;234;2616967;9;20241028 01:06;V;;;;;;
B;234;2619630;10;20241028 01:06;;;124;NEWTON LANE;BROKEN HILL;2880;777.8;M;20241001;20241023;180000;E4;R;RESIDENCE;;EBI;;0;AU520087;
C;234;2619630;10;20241028 01:06;5539/757298;
D;234;2619630;10;20241028 01:06;P;;;;;;
D;234;2619630;10;20241028 01:06;P;;;;;;
D;234;2619630;10;20241028 01:06;V;;;;;;
B;234;2622441;11;20241028 01:06;;;32;WILLIAMS ST;BROKEN HILL;2880;948;M;20241009;20241023;60000;R1;V;VACANT LAND;;AAR;;0;AU522815;
C;234;2622441;11;20241028 01:06;2/1092337;
D;234;2622441;11;20241028 01:06;P;;;;;;
D;234;2622441;11;20241028 01:06;P;;;;;;
D;234;2622441;11;20241028 01:06;V;;;;;;
B;234;2622528;12;20241028 01:06;;;95;WILLS ST;BROKEN HILL;2880;739.8;M;20240912;20241024;310000;R1;R;RESIDENCE;;AAB;;0;AU524949;
C;234;2622528;12;20241028 01:06;5433/757298;
D;234;2622528;12;20241028 01:06;P;;;;;;
D;234;2622528;12;20241028 01:06;P;;;;;;
D;234;2622528;12;20241028 01:06;V;;;;;;
B;234;2615283;13;20241028 01:06;;;239;CHLORIDE ST;BROKEN HILL;2880;436.3;M;20240911;20241023;170000;R1;R;RESIDENCE;;AAR;;0;AU520127;
C;234;2615283;13;20241028 01:06;2/101636;
D;234;2615283;13;20241028 01:06;P;;;;;;
D;234;2615283;13;20241028 01:06;V;;;;;;
