A;RTSALEDATA;253;20241028 01:06;VALNET;
B;253;4577879;1;20241028 01:06;;;;KAMILAROI HWY;WALGETT;2832;1505;H;20240815;20241001;1238574;;3;FARM;;;;0;AU463527;
C;253;4577879;1;20241028 01:06;1257/762741 Western Land Lease 6972;
D;253;4577879;1;20241028 01:06;P;;;;;;
D;253;4577879;1;20241028 01:06;V;;;;;;
D;253;4577879;1;20241028 01:06;V;;;;;;
B;253;2682803;2;20241028 01:06;WLL14695;;;MINING ROUTE;LIGHTNING RIDGE;2834;2520;M;20240816;20240927;59000;SP1;R;RESIDENCE;;SCC;;0;AU485166;
C;253;2682803;2;20241028 01:06;47/1066289 Western Land Lease 14695;
D;253;2682803;2;20241028 01:06;P;;;;;;
D;253;2682803;2;20241028 01:06;V;;;;;;
B;253;2680598;3;20241028 01:06;;;227;HARDYS LEASE RD;COME BY CHANCE;2832;2732;H;20240916;20240920;12000000;RU1;R;RESIDENCE;;RNA;;0;AU433695;
C;253;2680598;3;20241028 01:06;21/750293 Enclosure Permit 46522;
D;253;2680598;3;20241028 01:06;P;;;;;;
D;253;2680598;3;20241028 01:06;P;;;;;;
D;253;2680598;3;20241028 01:06;V;;;;;;
D;253;2680598;3;20241028 01:06;V;;;;;;
D;253;2680598;3;20241028 01:06;V;;;;;;
B;253;2680857;4;20241028 01:06;WILLOWAN;;42417;KAMILAROI HWY;WALGETT;2832;4606;H;20240822;20241017;1000000;RU1;3;FARM;;RTW;;0;AU504381;
C;253;2680857;4;20241028 01:06;3, 4/752688 2656/764698 2786/764921 Western Land Lease 114 Western Lan;
C;253;2680857;4;20241028 01:06;d Lease 4394;
D;253;2680857;4;20241028 01:06;P;;;;;;
D;253;2680857;4;20241028 01:06;V;;;;;;
B;253;2678839;5;20241028 01:06;;;28;COLIN ST;CARINDA;2831;2023;M;20241004;20241018;36000;RU5;R;RESIDENCE;;ZZN;;0;AU510062;
C;253;2678839;5;20241028 01:06;1, 2/962103;
D;253;2678839;5;20241028 01:06;P;;;;;;
D;253;2678839;5;20241028 01:06;V;;;;;;
B;253;4340772;6;20241028 01:06;;;;HARDYS LEASE RD;COME BY CHANCE;2832;1150.254;H;20240916;20240920;12000000;RU1;R;RESIDENCE;;RNA;;0;AU433695;
C;253;4340772;6;20241028 01:06;3/750292 61/1266823;
D;253;4340772;6;20241028 01:06;P;;;;;;
D;253;4340772;6;20241028 01:06;P;;;;;;
D;253;4340772;6;20241028 01:06;V;;;;;;
D;253;4340772;6;20241028 01:06;V;;;;;;
Z;33;6;7;18;
