A;RTSALEDATA;220;20241028 01:06;VALNET;
B;220;2412964;1;20241028 01:06;;;80;OLIPHANT ST;MOUNT PRITCHARD;2170;562.8;M;20240730;20241018;900000;R2;R;RESIDENCE;;RAI;;0;AU510595;
C;220;2412964;1;20241028 01:06;429/32187;
D;220;2412964;1;20241028 01:06;P;;;;;;
D;220;2412964;1;20241028 01:06;V;;;;;;
D;220;2412964;1;20241028 01:06;V;;;;;;
D;220;2412964;1;20241028 01:06;V;;;;;;
B;220;2391559;2;20241028 01:06;;;25;FOXLOW ST;CANLEY HEIGHTS;2166;442.6;M;20240718;20241018;950000;R2;R;RESIDENCE;;RAB;;0;AU511090;
C;220;2391559;2;20241028 01:06;27, 28/L/1152;
D;220;2391559;2;20241028 01:06;P;;;;;;
D;220;2391559;2;20241028 01:06;V;;;;;;
B;220;2413259;3;20241028 01:06;;5;182;ORCHARDLEIGH ST;OLD GUILDFORD;2161;;;20240805;20241018;630000;;R;RESIDENCE;5;;;0;AU508727;
C;220;2413259;3;20241028 01:06;5/SP41915;
D;220;2413259;3;20241028 01:06;P;;;;;;
D;220;2413259;3;20241028 01:06;V;;;;;;
B;220;2408161;4;20241028 01:06;;38;53;MCBURNEY RD;CABRAMATTA;2166;;;20240911;20241023;405000;;R;RESIDENCE;38;;;0;AU520876;
C;220;2408161;4;20241028 01:06;38/SP10539;
D;220;2408161;4;20241028 01:06;P;;;;;;
D;220;2408161;4;20241028 01:06;P;;;;;;
D;220;2408161;4;20241028 01:06;V;;;;;;
D;220;2408161;4;20241028 01:06;V;;;;;;
B;220;2397613;5;20241028 01:06;;;110;HOLLYWOOD DR;LANSVALE;2166;701.9;M;20241001;20241023;920000;R2;R;RESIDENCE;;RAD;;0;AU521318;
C;220;2397613;5;20241028 01:06;29/28221;
D;220;2397613;5;20241028 01:06;P;;;;;;
D;220;2397613;5;20241028 01:06;V;;;;;;
B;220;2425508;6;20241028 01:06;;;812;THE HORSLEY DR;SMITHFIELD;2164;551.72;M;20240911;20241023;905000;R2;R;RESIDENCE;;RAJ;;0;AU521168;
C;220;2425508;6;20241028 01:06;3/14840;
D;220;2425508;6;20241028 01:06;P;;;;;;
D;220;2425508;6;20241028 01:06;V;;;;;;
D;220;2425508;6;20241028 01:06;V;;;;;;
B;220;2426259;7;20241028 01:06;;;63;TOLMER ST;BOSSLEY PARK;2176;550;M;20240907;20241021;1300000;R2;R;RESIDENCE;;RAE;;0;AU515452;
C;220;2426259;7;20241028 01:06;92/260174;
D;220;2426259;7;20241028 01:06;P;;;;;;
D;220;2426259;7;20241028 01:06;P;;;;;;
D;220;2426259;7;20241028 01:06;V;;;;;;
B;220;2426562;8;20241028 01:06;;;10;TORWOOD PL;ST JOHNS PARK;2176;548.5;M;20240824;20241022;1050000;R2;R;RESIDENCE;;RAK;;0;AU518516;
C;220;2426562;8;20241028 01:06;55/813823;
D;220;2426562;8;20241028 01:06;P;;;;;;
D;220;2426562;8;20241028 01:06;V;;;;;;
B;220;2426638;9;20241028 01:06;;;138;TOWNVIEW RD;MOUNT PRITCHARD;2170;607;M;20240906;20241018;915000;R2;R;RESIDENCE;;RAI;;0;AU509443;
C;220;2426638;9;20241028 01:06;341/32183;
D;220;2426638;9;20241028 01:06;P;;;;;;
D;220;2426638;9;20241028 01:06;P;;;;;;
D;220;2426638;9;20241028 01:06;V;;;;;;
B;220;2937491;10;20241028 01:06;;4;1;KNIGHT ST;LANSVALE;2166;;;20241017;20241021;2283267;;3;FACTORY;36;;;0;AU515391;
C;220;2937491;10;20241028 01:06;36/SP68099;
D;220;2937491;10;20241028 01:06;P;;;;;;
D;220;2937491;10;20241028 01:06;V;;;;;;
B;220;4214639;11;20241028 01:06;;;126;HIGH ST;CABRAMATTA WEST;2166;258.5;M;20240930;20241023;850000;R2;R;RESIDENCE;;RAB;;0;AU520826;
C;220;4214639;11;20241028 01:06;3/1241910;
D;220;4214639;11;20241028 01:06;P;;;;;;
D;220;4214639;11;20241028 01:06;V;;;;;;
D;220;4214639;11;20241028 01:06;V;;;;;;
