A;RTSALEDATA;537;20241028 01:07;VALNET;
B;537;1221412;1;20241028 01:07;;;4;BIAMBLE ST;MERRYGOEN;2831;1050;M;20241010;20241024;139000;RU5;R;RESIDENCE;;ZOV;;0;AU525110;
C;537;1221412;1;20241028 01:07;2/315437;
D;537;1221412;1;20241028 01:07;P;;;;;;
D;537;1221412;1;20241028 01:07;P;;;;;;
D;537;1221412;1;20241028 01:07;V;;;;;;
B;537;3468759;2;20241028 01:07;;;740;TIMOR RD;COONABARABRAN;2357;12.59;H;20241014;20241018;300000;RU1;R;RESIDENCE;;HFC;;0;AU510574;
C;537;3468759;2;20241028 01:07;4/252112 184/846914;
D;537;3468759;2;20241028 01:07;P;;;;;;
D;537;3468759;2;20241028 01:07;P;;;;;;
D;537;3468759;2;20241028 01:07;V;;;;;;
B;537;2629769;3;20241028 01:07;VALLEY VIEW;;79;NEWELL HWY;COONABARABRAN;2357;18.75;H;20240927;20241021;635000;RU1;R;RESIDENCE;;HFC;;0;AU514397;
C;537;2629769;3;20241028 01:07;14/847316;
D;537;2629769;3;20241028 01:07;P;;;;;;
D;537;2629769;3;20241028 01:07;P;;;;;;
D;537;2629769;3;20241028 01:07;V;;;;;;
D;537;2629769;3;20241028 01:07;V;;;;;;
B;537;2630825;4;20241028 01:07;;;29;KNIGHT ST;COONABARABRAN;2357;935.8;M;20240923;20241021;400000;R1;R;RESIDENCE;;ACN;;0;AU514392;
C;537;2630825;4;20241028 01:07;2/200377;
D;537;2630825;4;20241028 01:07;P;;;;;;
D;537;2630825;4;20241028 01:07;V;;;;;;
B;537;2993546;5;20241028 01:07;;;22;CASSILIS ST;COONABARABRAN;2357;956.4;M;20240912;20241024;310000;R1;R;RESIDENCE;;ACN;;0;AU523646;
C;537;2993546;5;20241028 01:07;30/1053409;
D;537;2993546;5;20241028 01:07;P;;;;;;
D;537;2993546;5;20241028 01:07;P;;;;;;
D;537;2993546;5;20241028 01:07;V;;;;;;
B;537;4576410;6;20241028 01:07;;;55;CASSILIS ST;COONABARABRAN;2357;;;20240620;20241018;150000;;R;RESIDENCE;;;;0;AU509407;
C;537;4576410;6;20241028 01:07;11/1309518;
D;537;4576410;6;20241028 01:07;P;;;;;;
D;537;4576410;6;20241028 01:07;P;;;;;;
D;537;4576410;6;20241028 01:07;V;;;;;;
D;537;4576410;6;20241028 01:07;V;;;;;;
D;537;4576410;6;20241028 01:07;V;;;;;;
D;537;4576410;6;20241028 01:07;V;;;;;;
B;537;4578607;7;20241028 01:07;;;;PURLEWAUGH RD;PURLEWAUGH;2357;386.1;H;20240911;20241011;340000;;3;FARM;;;;0;AU490815;
C;537;4578607;7;20241028 01:07;59/755523;
D;537;4578607;7;20241028 01:07;P;;;;;;
D;537;4578607;7;20241028 01:07;V;;;;;;
D;537;4578607;7;20241028 01:07;V;;;;;;
B;537;2629254;8;20241028 01:07;;;1;FRATER ST;BINNAWAY;2395;1145;M;20241002;20241018;308000;RU5;R;RESIDENCE;;ZBI;;0;AU508038;
C;537;2629254;8;20241028 01:07;101/604296;
D;537;2629254;8;20241028 01:07;P;;;;;;
D;537;2629254;8;20241028 01:07;P;;;;;;
D;537;2629254;8;20241028 01:07;V;;;;;;
D;537;2629254;8;20241028 01:07;V;;;;;;
Z;46;8;8;28;
