A;RTSALEDATA;054;20241028 01:05;VALNET;
B;054;513143;1;20241028 01:05;;;43;YORK ST;MARRAR;2652;1012;M;20050712;20241018;58000;RU5;R;RESIDENCE;;MAR;;0;AU511195;
C;054;513143;1;20241028 01:05;1/132339;
D;054;513143;1;20241028 01:05;P;;;;;;
D;054;513143;1;20241028 01:05;V;;;;;;
B;054;512493;2;20241028 01:05;;;163;COWABBIE ST;COOLAMON;2701;1012;M;20240920;20241021;585000;RU5;R;RESIDENCE;;CLM;;0;AU513382;
C;054;512493;2;20241028 01:05;1/213357;
D;054;512493;2;20241028 01:05;P;;;;;;
D;054;512493;2;20241028 01:05;V;;;;;;
Z;10;2;2;4;
