A;RTSALEDATA;001;20241028 01:05;VALNET;
B;001;3498016;1;20241028 01:05;;3;88;ALEXANDRA ST;KURRI KURRI;2327;;;20241008;20241024;520000;;R;RESIDENCE;3;;;0;AU525631;
C;001;3498016;1;20241028 01:05;3/SP83256;
D;001;3498016;1;20241028 01:05;P;;;;;;
D;001;3498016;1;20241028 01:05;V;;;;;;
B;001;4147177;2;20241028 01:05;;;25;WILLIAM TESTER DR;CLIFTLEIGH;2321;593;M;20240927;20241023;763000;R2;R;RESIDENCE;;AAP;;0;AU522341;
C;001;4147177;2;20241028 01:05;866/1242606;
D;001;4147177;2;20241028 01:05;P;;;;;;
D;001;4147177;2;20241028 01:05;V;;;;;;
D;001;4147177;2;20241028 01:05;V;;;;;;
B;001;2237;3;20241028 01:05;;;22;COOMA ST;ABERMAIN;2326;1012;M;20241014;20241023;560000;R2;R;RESIDENCE;;AAM;;0;AU519995;
C;001;2237;3;20241028 01:05;605/755231;
D;001;2237;3;20241028 01:05;P;;;;;;
D;001;2237;3;20241028 01:05;P;;;;;;
D;001;2237;3;20241028 01:05;V;;;;;;
B;001;2579;4;20241028 01:05;;;68;MAITLAND ST;ABERMAIN;2326;929.5;M;20240920;20241018;725000;R2;R;RESIDENCE;;AAM;;0;AU510054;
C;001;2579;4;20241028 01:05;A/306811;
D;001;2579;4;20241028 01:05;P;;;;;;
D;001;2579;4;20241028 01:05;P;;;;;;
D;001;2579;4;20241028 01:05;V;;;;;;
D;001;2579;4;20241028 01:05;V;;;;;;
B;001;2653;5;20241028 01:05;;;43;MELBOURNE ST;ABERMAIN;2326;908;M;20240923;20241021;630000;R2;R;RESIDENCE;;AAM;;0;AU512955;
C;001;2653;5;20241028 01:05;1/6/758004;
D;001;2653;5;20241028 01:05;P;;;;;;
D;001;2653;5;20241028 01:05;P;;;;;;
D;001;2653;5;20241028 01:05;V;;;;;;
B;001;2729;6;20241028 01:05;;;2;TAMWORTH ST;ABERMAIN;2326;1517.75;M;20240909;20241021;920000;R2;R;RESIDENCE;;AAM;;0;AU512905;
C;001;2729;6;20241028 01:05;6/27/758004;
D;001;2729;6;20241028 01:05;P;;;;;;
