A;RTSALEDATA;272;20240916 01:08;VALNET;
B;272;2966332;1;20240916 01:08;;;2;HYBON AVE;QUEANBEYAN EAST;2620;921;M;20240723;20240909;980000;R2;R;RESIDENCE;;AWH;;0;AU400092;
C;272;2966332;1;20240916 01:08;18/26219;
D;272;2966332;1;20240916 01:08;P;;;;;;
D;272;2966332;1;20240916 01:08;P;;;;;;
D;272;2966332;1;20240916 01:08;V;;;;;;
D;272;2966332;1;20240916 01:08;V;;;;;;
B;272;2929331;2;20240916 01:08;;11;43;BAYLDON RD;QUEANBEYAN WEST;2620;;;20240802;20240911;324500;;3;COMMERCIAL;11;;;0;AU407750;
C;272;2929331;2;20240916 01:08;11/SP69594;
D;272;2929331;2;20240916 01:08;P;;;;;;
D;272;2929331;2;20240916 01:08;V;;;;;;
B;272;456292;3;20240916 01:08;;;43;BUNGENDORE RD;QUEANBEYAN EAST;2620;1701;M;20240507;20240909;2750000;R3;3;COMMERCIAL;;ARG;;0;AU399324;
C;272;456292;3;20240916 01:08;2/537775;
D;272;456292;3;20240916 01:08;P;;;;;;
D;272;456292;3;20240916 01:08;P;;;;;;
D;272;456292;3;20240916 01:08;V;;;;;;
B;272;454620;4;20240916 01:08;;8;103;BICENTENNIAL DR;JERRABOMBERRA;2619;;;20240724;20240912;660000;;R;RESIDENCE;8;;;0;AU411234;
C;272;454620;4;20240916 01:08;8/SP43590;
D;272;454620;4;20240916 01:08;P;;;;;;
D;272;454620;4;20240916 01:08;V;;;;;;
B;272;455215;5;20240916 01:08;;;32;BRERETON ST;QUEANBEYAN WEST;2620;1220;M;20240414;20240517;840000;R2;R;RESIDENCE;;AND;;0;AU75452;
C;272;455215;5;20240916 01:08;240/8718;
D;272;455215;5;20240916 01:08;P;;;;;;
D;272;455215;5;20240916 01:08;P;;;;;;
D;272;455215;5;20240916 01:08;V;;;;;;
D;272;455215;5;20240916 01:08;V;;;;;;
B;272;460145;6;20240916 01:08;;13;126;HENDERSON RD;CRESTWOOD;2620;;;20240802;20240912;325000;;R;RESIDENCE;13;;;0;AU411752;
C;272;460145;6;20240916 01:08;13/SP14026;
D;272;460145;6;20240916 01:08;P;;;;;;
D;272;460145;6;20240916 01:08;V;;;;;;
D;272;460145;6;20240916 01:08;V;;;;;;
B;272;462856;7;20240916 01:08;;10;12;MORISSET ST;QUEANBEYAN;2620;;;20240827;20240910;320000;;R;RESIDENCE;10;;;0;AU404509;
C;272;462856;7;20240916 01:08;10/SP64184;
D;272;462856;7;20240916 01:08;P;;;;;;
D;272;462856;7;20240916 01:08;V;;;;;;
D;272;462856;7;20240916 01:08;V;;;;;;
B;272;463007;8;20240916 01:08;;;22;MORTON ST;QUEANBEYAN;2620;588;M;20240819;20240906;810000;R2;R;RESIDENCE;;AEA;;0;AU396157;
C;272;463007;8;20240916 01:08;39/38012;
D;272;463007;8;20240916 01:08;P;;;;;;
D;272;463007;8;20240916 01:08;P;;;;;;
D;272;463007;8;20240916 01:08;V;;;;;;
B;272;463018;9;20240916 01:08;;2;1;MOWATT ST;QUEANBEYAN EAST;2620;;;20240812;20240909;240000;;R;RESIDENCE;2;;;0;AU401925;
C;272;463018;9;20240916 01:08;2/SP9359;
D;272;463018;9;20240916 01:08;P;;;;;;
D;272;463018;9;20240916 01:08;V;;;;;;
D;272;463018;9;20240916 01:08;V;;;;;;
B;272;465758;10;20240916 01:08;;;19;SURVEYOR ST;QUEANBEYAN;2620;1012;M;20240729;20240909;850000;R2;R;RESIDENCE;;AEA;;50;AU400620;
C;272;465758;10;20240916 01:08;1/198592;
D;272;465758;10;20240916 01:08;P;;;;;;
D;272;465758;10;20240916 01:08;P;;;;;;
D;272;465758;10;20240916 01:08;V;;;;;;
D;272;465758;10;20240916 01:08;V;;;;;;
B;272;458320;11;20240916 01:08;;;9;DOWNEY ST;KARABAR;2620;588.1;M;20240801;20240906;610000;R2;R;RESIDENCE;;AFB;;0;AU398600;
C;272;458320;11;20240916 01:08;54/508706;
D;272;458320;11;20240916 01:08;P;;;;;;
D;272;458320;11;20240916 01:08;V;;;;;;
B;272;461260;12;20240916 01:08;;12;14;KING ST;CRESTWOOD;2620;;;20240729;20240909;330000;;R;RESIDENCE;12;;;0;AU400835;
C;272;461260;12;20240916 01:08;12/SP9601;
D;272;461260;12;20240916 01:08;P;;;;;;
D;272;461260;12;20240916 01:08;P;;;;;;
D;272;461260;12;20240916 01:08;V;;;;;;
B;272;466810;13;20240916 01:08;;21;70;URIARRA RD;CRESTWOOD;2620;;;20240815;20240912;270000;;R;RESIDENCE;21;;;0;AU410200;
C;272;466810;13;20240916 01:08;21/SP17860;
D;272;466810;13;20240916 01:08;P;;;;;;
D;272;466810;13;20240916 01:08;P;;;;;;
D;272;466810;13;20240916 01:08;V;;;;;;
B;272;483079;14;20240916 01:08;;;171;URILA RD;BURRA;2620;21.31;H;20240527;20240909;1350000;C4;R;RESIDENCE;;LBU;;0;AU402354;
C;272;483079;14;20240916 01:08;2/237574;
D;272;483079;14;20240916 01:08;P;;;;;;
D;272;483079;14;20240916 01:08;P;;;;;;
D;272;483079;14;20240916 01:08;V;;;;;;
D;272;483079;14;20240916 01:08;V;;;;;;
B;272;480690;15;20240916 01:08;;;120;GUM FLAT LANE;BYWONG;2621;8.615;H;20240802;20240912;1790000;C4;R;RESIDENCE;;LBN;;0;AU410334;
C;272;480690;15;20240916 01:08;1/855540;
D;272;480690;15;20240916 01:08;P;;;;;;
D;272;480690;15;20240916 01:08;P;;;;;;
D;272;480690;15;20240916 01:08;V;;;;;;
D;272;480690;15;20240916 01:08;V;;;;;;
B;272;3019434;16;20240916 01:08;;;37;BROOKS RD;BYWONG;2621;9.904;H;20240821;20240906;1610000;C4;R;RESIDENCE;;LBN;;0;AU396932;
C;272;3019434;16;20240916 01:08;31/1056600;
D;272;3019434;16;20240916 01:08;P;;;;;;
D;272;3019434;16;20240916 01:08;P;;;;;;
D;272;3019434;16;20240916 01:08;V;;;;;;
D;272;3019434;16;20240916 01:08;V;;;;;;
B;272;3049784;17;20240916 01:08;;;3;EYRE ST;BUNGENDORE;2621;1202;M;20240814;20240909;1200000;R2;R;RESIDENCE;;RBE;;0;AU400818;
C;272;3049784;17;20240916 01:08;631/1061647;
D;272;3049784;17;20240916 01:08;P;;;;;;
D;272;3049784;17;20240916 01:08;P;;;;;;
D;272;3049784;17;20240916 01:08;V;;;;;;
D;272;3049784;17;20240916 01:08;V;;;;;;
B;272;4104018;18;20240916 01:08;;;223;BADGERY RD;BURRA;2620;8.119;H;20240813;20240910;1100000;C4;R;RESIDENCE;;LBU;;0;AU404652;
C;272;4104018;18;20240916 01:08;1/1240502;
D;272;4104018;18;20240916 01:08;P;;;;;;
D;272;4104018;18;20240916 01:08;P;;;;;;
D;272;4104018;18;20240916 01:08;V;;;;;;
D;272;4104018;18;20240916 01:08;V;;;;;;
B;272;4121654;19;20240916 01:08;;;34;UNDERHILL ST;GOOGONG;2620;405;M;20240816;20240911;940000;R1;R;RESIDENCE;;DGA;;0;AU407819;
C;272;4121654;19;20240916 01:08;61/1240190;
D;272;4121654;19;20240916 01:08;P;;;;;;
D;272;4121654;19;20240916 01:08;P;;;;;;
D;272;4121654;19;20240916 01:08;V;;;;;;
D;272;4121654;19;20240916 01:08;V;;;;;;
B;272;4018854;20;20240916 01:08;;61;47;MOWATT ST;DODSWORTH;2620;159;M;20240805;20240906;515000;;R;RESIDENCE;25;;;0;AU396209;
C;272;4018854;20;20240916 01:08;25/SP95315;
D;272;4018854;20;20240916 01:08;P;;;;;;
D;272;4018854;20;20240916 01:08;V;;;;;;
B;272;4512928;21;20240916 01:08;;;80;HOLLAND DR;ROYALLA;2620;4.685;H;20240808;20240910;900000;C4;R;RESIDENCE;;RHS;;0;AU405602;
C;272;4512928;21;20240916 01:08;10/271401;
D;272;4512928;21;20240916 01:08;P;;;;;;
D;272;4512928;21;20240916 01:08;P;;;;;;
D;272;4512928;21;20240916 01:08;V;;;;;;
B;272;4555123;22;20240916 01:08;;;54;WIRY DOCK RD;TRALEE;2620;409;M;20240821;20240911;461900;R1;V;VACANT LAND;;TRA;;0;AU407290;
C;272;4555123;22;20240916 01:08;48/1302790;
D;272;4555123;22;20240916 01:08;P;;;;;;
D;272;4555123;22;20240916 01:08;P;;;;;;
D;272;4555123;22;20240916 01:08;V;;;;;;
B;272;3139985;23;20240916 01:08;;;23;ROSEVIEW RD;MOUNT FAIRY;2580;10;H;20240809;20240906;1100000;RU1;R;RESIDENCE;;SMF;;0;AU397518;
C;272;3139985;23;20240916 01:08;3/1076595;
D;272;3139985;23;20240916 01:08;P;;;;;;
D;272;3139985;23;20240916 01:08;P;;;;;;
D;272;3139985;23;20240916 01:08;V;;;;;;
B;272;3285198;24;20240916 01:08;;;27;BALCOMBE ST;JERRABOMBERRA;2619;991;M;20240805;20240910;1280000;R2;R;RESIDENCE;;JBP;;0;AU403726;
C;272;3285198;24;20240916 01:08;29/1101885;
D;272;3285198;24;20240916 01:08;P;;;;;;
D;272;3285198;24;20240916 01:08;P;;;;;;
D;272;3285198;24;20240916 01:08;V;;;;;;
D;272;3285198;24;20240916 01:08;V;;;;;;
B;272;4420319;25;20240916 01:08;;;140;OXALIS CRES;TRALEE;2620;270;M;20240821;20240909;865000;R1;R;RESIDENCE;;TRA;;0;AU401687;
C;272;4420319;25;20240916 01:08;325/1269547;
D;272;4420319;25;20240916 01:08;P;;;;;;
D;272;4420319;25;20240916 01:08;V;;;;;;
B;272;3767210;26;20240916 01:08;;5;69;GILMORE RD;QUEANBEYAN WEST;2620;208;M;20240816;20240909;670000;;R;RESIDENCE;5;;;0;AU401825;
C;272;3767210;26;20240916 01:08;5/SP89714;
D;272;3767210;26;20240916 01:08;P;;;;;;
D;272;3767210;26;20240916 01:08;P;;;;;;
D;272;3767210;26;20240916 01:08;V;;;;;;
D;272;3767210;26;20240916 01:08;V;;;;;;
B;272;3875827;27;20240916 01:08;;;56;CARAGH AVE;GOOGONG;2620;170;M;20240813;20240912;720000;R1;R;RESIDENCE;;DGA;;0;AU410962;
C;272;3875827;27;20240916 01:08;22/270925;
D;272;3875827;27;20240916 01:08;P;;;;;;
D;272;3875827;27;20240916 01:08;P;;;;;;
D;272;3875827;27;20240916 01:08;V;;;;;;
