A;RTSALEDATA;081;20240916 01:05;VALNET;
B;081;4142584;1;20240916 01:05;;;34;GALLOWAY RD;BOX HILL;2765;316.5;M;20240719;20240912;1300000;R2;R;RESIDENCE;;BHR;;0;AU410658;
C;081;4142584;1;20240916 01:05;1094/1226133;
D;081;4142584;1;20240916 01:05;P;;;;;;
D;081;4142584;1;20240916 01:05;P;;;;;;
D;081;4142584;1;20240916 01:05;V;;;;;;
D;081;4142584;1;20240916 01:05;V;;;;;;
B;081;4250802;2;20240916 01:05;;;5;BROADVIEW CCT;CATTAI;2756;4130;M;20240726;20240906;3460000;RU2;R;RESIDENCE;;RBB;;0;AU396331;
C;081;4250802;2;20240916 01:05;3/271076;
D;081;4250802;2;20240916 01:05;P;;;;;;
D;081;4250802;2;20240916 01:05;P;;;;;;
D;081;4250802;2;20240916 01:05;V;;;;;;
D;081;4250802;2;20240916 01:05;V;;;;;;
B;081;4251739;3;20240916 01:05;;206;8;THOROGOOD BVD;NORTH KELLYVILLE;2155;;;20240731;20240911;635000;;R;RESIDENCE;48;;;0;AU406859;
C;081;4251739;3;20240916 01:05;48/SP100471;
D;081;4251739;3;20240916 01:05;P;;;;;;
D;081;4251739;3;20240916 01:05;V;;;;;;
B;081;3026455;4;20240916 01:05;;12;3;CHRISTOPHER ST;BAULKHAM HILLS;2153;;;20240729;20240909;1290000;;R;RESIDENCE;12;;;0;AU401516;
C;081;3026455;4;20240916 01:05;12/SP71217;
D;081;3026455;4;20240916 01:05;P;;;;;;
D;081;3026455;4;20240916 01:05;P;;;;;;
D;081;3026455;4;20240916 01:05;V;;;;;;
D;081;3026455;4;20240916 01:05;V;;;;;;
B;081;3090606;5;20240916 01:05;;21;2;SHERWIN AVE;CASTLE HILL;2154;;;20240824;20240911;455000;;R;RESIDENCE;21;;;0;AU406098;
C;081;3090606;5;20240916 01:05;21/SP72795;
D;081;3090606;5;20240916 01:05;P;;;;;;
D;081;3090606;5;20240916 01:05;V;;;;;;
D;081;3090606;5;20240916 01:05;V;;;;;;
B;081;3491647;6;20240916 01:05;;4;16;OAKLAND AVE;BAULKHAM HILLS;2153;;;20240727;20240906;1500000;;R;RESIDENCE;4;;;0;AU398028;
C;081;3491647;6;20240916 01:05;4/SP83140;
D;081;3491647;6;20240916 01:05;P;;;;;;
D;081;3491647;6;20240916 01:05;V;;;;;;
D;081;3491647;6;20240916 01:05;V;;;;;;
B;081;4110206;7;20240916 01:05;;;29;SPRINGBROOK BVD;NORTH KELLYVILLE;2155;783.9;M;20240615;20240906;2600000;C4;R;RESIDENCE;;NKE;;0;AU395226;
C;081;4110206;7;20240916 01:05;2/286758;
D;081;4110206;7;20240916 01:05;P;;;;;;
D;081;4110206;7;20240916 01:05;P;;;;;;
D;081;4110206;7;20240916 01:05;V;;;;;;
D;081;4110206;7;20240916 01:05;V;;;;;;
B;081;4025116;8;20240916 01:05;;;41;BARLOW BVD;GABLES;2765;612.6;M;20240703;20240909;2200000;R3;R;RESIDENCE;;GBM;;0;AU400561;
C;081;4025116;8;20240916 01:05;1316/1211084;
D;081;4025116;8;20240916 01:05;P;;;;;;
D;081;4025116;8;20240916 01:05;P;;;;;;
D;081;4025116;8;20240916 01:05;V;;;;;;
D;081;4025116;8;20240916 01:05;V;;;;;;
B;081;4087287;9;20240916 01:05;;52;40;APPLEGUM CRES;NORTH KELLYVILLE;2155;;;20240614;20240912;970000;;R;RESIDENCE;52;;;0;AU410526;
C;081;4087287;9;20240916 01:05;52/SP96425;
D;081;4087287;9;20240916 01:05;P;;;;;;
D;081;4087287;9;20240916 01:05;P;;;;;;
D;081;4087287;9;20240916 01:05;V;;;;;;
B;081;4065750;10;20240916 01:05;;;6;WALLINGAT RD;NORTH KELLYVILLE;2155;417.6;M;20240615;20240909;2300000;R2;R;RESIDENCE;;NKU;;0;AU400152;
C;081;4065750;10;20240916 01:05;4/1219815;
D;081;4065750;10;20240916 01:05;P;;;;;;
D;081;4065750;10;20240916 01:05;P;;;;;;
D;081;4065750;10;20240916 01:05;V;;;;;;
D;081;4065750;10;20240916 01:05;V;;;;;;
B;081;4558568;11;20240916 01:05;;;45;MUSTANG AVE;BOX HILL;2765;300.1;M;20240708;20240911;769990;R2;V;VACANT LAND;;BHE;;0;AU408432;
C;081;4558568;11;20240916 01:05;31/1283337;
D;081;4558568;11;20240916 01:05;P;;;;;;
D;081;4558568;11;20240916 01:05;V;;;;;;
