A;RTSALEDATA;151;20240916 01:06;VALNET;
B;151;1680290;1;20240916 01:06;;;96;FARLEY ST;CASINO;2470;777.8;M;20240809;20240906;380000;R1;R;RESIDENCE;;ACC;;0;AU395470;
C;151;1680290;1;20240916 01:06;2/503736;
D;151;1680290;1;20240916 01:06;P;;;;;;
D;151;1680290;1;20240916 01:06;P;;;;;;
D;151;1680290;1;20240916 01:06;V;;;;;;
B;151;1679370;2;20240916 01:06;;;12;CASCADE DR;CASINO;2470;1174;M;20240909;20240912;300000;R1;R;RESIDENCE;;AJJ;;0;AU410649;
C;151;1679370;2;20240916 01:06;13/262841;
D;151;1679370;2;20240916 01:06;P;;;;;;
D;151;1679370;2;20240916 01:06;P;;;;;;
D;151;1679370;2;20240916 01:06;V;;;;;;
B;151;1680563;3;20240916 01:06;;;2;FREDERICK ST;CASINO;2470;556.4;M;20240726;20240906;390000;R1;R;RESIDENCE;;AGG;;0;AU397656;
C;151;1680563;3;20240916 01:06;3/214815;
D;151;1680563;3;20240916 01:06;P;;;;;;
D;151;1680563;3;20240916 01:06;V;;;;;;
B;151;1680594;4;20240916 01:06;;;10;GILBY ST;CASINO;2470;740.8;M;20240820;20240910;450000;R1;R;RESIDENCE;;ADD;;0;AU403110;
C;151;1680594;4;20240916 01:06;10/38202;
D;151;1680594;4;20240916 01:06;P;;;;;;
D;151;1680594;4;20240916 01:06;V;;;;;;
B;151;1680652;5;20240916 01:06;;3;3;HAMMOND PL;CASINO;2470;;;20240828;20240909;390000;;R;RESIDENCE;3;;;0;AU402177;
C;151;1680652;5;20240916 01:06;3/SP54835;
D;151;1680652;5;20240916 01:06;P;;;;;;
D;151;1680652;5;20240916 01:06;V;;;;;;
B;151;1680847;6;20240916 01:06;;;91;HICKEY ST;CASINO;2470;1065;M;20240807;20240906;320000;R1;R;RESIDENCE;;ACC;;0;AU397720;
C;151;1680847;6;20240916 01:06;1/17518;
D;151;1680847;6;20240916 01:06;P;;;;;;
D;151;1680847;6;20240916 01:06;V;;;;;;
B;151;1683457;7;20240916 01:06;;;4;ADAMS ST;CORAKI;2471;1227;M;20240809;20240906;565000;RU5;R;RESIDENCE;;DCP;;0;AU395388;
C;151;1683457;7;20240916 01:06;1/554038;
D;151;1683457;7;20240916 01:06;P;;;;;;
D;151;1683457;7;20240916 01:06;P;;;;;;
D;151;1683457;7;20240916 01:06;V;;;;;;
D;151;1683457;7;20240916 01:06;V;;;;;;
B;151;1684400;8;20240916 01:06;;;33;CASSIA ST;EVANS HEAD;2473;760;M;20240725;20240910;1185000;R1;R;RESIDENCE;;DAA;;0;AU403154;
C;151;1684400;8;20240916 01:06;10/833044;
D;151;1684400;8;20240916 01:06;P;;;;;;
D;151;1684400;8;20240916 01:06;P;;;;;;
D;151;1684400;8;20240916 01:06;V;;;;;;
B;151;1684660;9;20240916 01:06;;;28;HEATH ST;EVANS HEAD;2473;809.4;M;20240816;20240906;1200000;R1;R;RESIDENCE;;DMD;;0;AU395072;
C;151;1684660;9;20240916 01:06;2/15/758403;
D;151;1684660;9;20240916 01:06;P;;;;;;
D;151;1684660;9;20240916 01:06;P;;;;;;
D;151;1684660;9;20240916 01:06;V;;;;;;
B;151;3594185;10;20240916 01:06;;;73;JOHNSTON ST;CASINO;2470;;;20240801;20240910;460000;;R;RESIDENCE;1;;;0;AU403923;
C;151;3594185;10;20240916 01:06;1/SP85573;
D;151;3594185;10;20240916 01:06;P;;;;;;
D;151;3594185;10;20240916 01:06;V;;;;;;
