A;RTSALEDATA;001;20240916 01:05;VALNET;
B;001;5251;1;20240916 01:05;;2;48 A;MCGRANE ST;CESSNOCK;2325;;;20240816;20240906;415000;;R;RESIDENCE;2;;;0;AU395865;
C;001;5251;1;20240916 01:05;2/SP67459;
D;001;5251;1;20240916 01:05;P;;;;;;
D;001;5251;1;20240916 01:05;V;;;;;;
D;001;5251;1;20240916 01:05;V;;;;;;
D;001;5251;1;20240916 01:05;V;;;;;;
B;001;2917956;2;20240916 01:05;;;35;O'SHEA CCT;CESSNOCK;2325;791.8;M;20240814;20240909;825000;R2;R;RESIDENCE;;AAF;;0;AU399377;
C;001;2917956;2;20240916 01:05;425/1042599;
D;001;2917956;2;20240916 01:05;P;;;;;;
D;001;2917956;2;20240916 01:05;V;;;;;;
D;001;2917956;2;20240916 01:05;V;;;;;;
B;001;4149466;3;20240916 01:05;;2;8 A;GOULBURN ST;ABERMAIN;2326;226;M;20240731;20240911;477500;;R;RESIDENCE;2;;;0;AU407222;
C;001;4149466;3;20240916 01:05;2/SP98182;
D;001;4149466;3;20240916 01:05;P;;;;;;
D;001;4149466;3;20240916 01:05;V;;;;;;
B;001;4140943;4;20240916 01:05;;;37;UNDERCLIFF ST;CLIFTLEIGH;2321;450;M;20240729;20240909;690000;R2;R;RESIDENCE;;AAP;;0;AU400275;
C;001;4140943;4;20240916 01:05;647/1242604;
D;001;4140943;4;20240916 01:05;P;;;;;;
D;001;4140943;4;20240916 01:05;P;;;;;;
D;001;4140943;4;20240916 01:05;V;;;;;;
D;001;4140943;4;20240916 01:05;V;;;;;;
B;001;4225869;5;20240916 01:05;;;5;HARROW CCT;GRETA;2334;1230;M;20240614;20240912;1250000;R2;R;RESIDENCE;;AAJ;;0;AU411320;
C;001;4225869;5;20240916 01:05;3305/1250483;
D;001;4225869;5;20240916 01:05;P;;;;;;
D;001;4225869;5;20240916 01:05;P;;;;;;
D;001;4225869;5;20240916 01:05;V;;;;;;
D;001;4225869;5;20240916 01:05;V;;;;;;
B;001;8631;6;20240916 01:05;;;13;SUBIACO AVE;CESSNOCK;2325;809.43;M;20240806;20240912;725000;R3;R;RESIDENCE;;MAA;;0;AU411661;
C;001;8631;6;20240916 01:05;18/E/4924;
D;001;8631;6;20240916 01:05;P;;;;;;
D;001;8631;6;20240916 01:05;P;;;;;;
D;001;8631;6;20240916 01:05;V;;;;;;
B;001;2359;7;20240916 01:05;;;70;HARLE ST;ABERMAIN;2326;474.2;M;20240814;20240911;480000;R2;R;RESIDENCE;;AAM;;0;AU406984;
C;001;2359;7;20240916 01:05;3/506121;
D;001;2359;7;20240916 01:05;P;;;;;;
D;001;2359;7;20240916 01:05;V;;;;;;
D;001;2359;7;20240916 01:05;V;;;;;;
B;001;4769;8;20240916 01:05;;;22;RUSSELL ST;BRANXTON;2335;1011.83;M;20240711;20240909;535000;R3;R;RESIDENCE;;MAB;;0;AU399401;
C;001;4769;8;20240916 01:05;6/3/8123;
D;001;4769;8;20240916 01:05;P;;;;;;
D;001;4769;8;20240916 01:05;V;;;;;;
D;001;4769;8;20240916 01:05;V;;;;;;
B;001;4962;9;20240916 01:05;;;58;YATES ST;EAST BRANXTON;2335;1012;M;20240731;20240911;560000;R2;R;RESIDENCE;;AAI;;0;AU407529;
C;001;4962;9;20240916 01:05;19/C/1846;
D;001;4962;9;20240916 01:05;P;;;;;;
D;001;4962;9;20240916 01:05;P;;;;;;
D;001;4962;9;20240916 01:05;V;;;;;;
B;001;2996;10;20240916 01:05;;;51;HELENA ST;ELLALONG;2325;1264.6;M;20240812;20240912;260000;RU5;R;RESIDENCE;;RAB;;0;AU410442;
C;001;2996;10;20240916 01:05;4, 5/727398;
D;001;2996;10;20240916 01:05;P;;;;;;
D;001;2996;10;20240916 01:05;V;;;;;;
B;001;6045;11;20240916 01:05;;;65;CHURCH ST;CESSNOCK;2325;581.7;M;20240719;20240906;625000;R3;R;RESIDENCE;;MAA;;0;AU396522;
C;001;6045;11;20240916 01:05;6/13297;
D;001;6045;11;20240916 01:05;P;;;;;;
D;001;6045;11;20240916 01:05;V;;;;;;
B;001;6182;12;20240916 01:05;;;19;CONDON AVE;CESSNOCK;2325;701.9;M;20240730;20240906;774500;R3;R;RESIDENCE;;MAA;;0;AU396880;
C;001;6182;12;20240916 01:05;58/13251;
D;001;6182;12;20240916 01:05;P;;;;;;
D;001;6182;12;20240916 01:05;V;;;;;;
B;001;14384;13;20240916 01:05;;;10;MILLFIELD ST;PELAW MAIN;2327;1011.83;M;20240726;20240906;750000;R2;R;RESIDENCE;;AAO;;0;AU395298;
C;001;14384;13;20240916 01:05;6/246833;
D;001;14384;13;20240916 01:05;P;;;;;;
D;001;14384;13;20240916 01:05;V;;;;;;
D;001;14384;13;20240916 01:05;V;;;;;;
B;001;12387;14;20240916 01:05;;;113;MAITLAND ST;KURRI KURRI;2327;404.83;M;20240806;20240910;630000;R3;R;RESIDENCE;;MAD;;0;AU404093;
C;001;12387;14;20240916 01:05;D/15877;
D;001;12387;14;20240916 01:05;P;;;;;;
D;001;12387;14;20240916 01:05;V;;;;;;
B;001;12557;15;20240916 01:05;;;55;MULBRING ST;KURRI KURRI;2327;584;M;20240808;20240912;470000;R2;R;RESIDENCE;;AAO;;0;AU409674;
C;001;12557;15;20240916 01:05;346/755231;
D;001;12557;15;20240916 01:05;P;;;;;;
D;001;12557;15;20240916 01:05;V;;;;;;
B;001;19036;16;20240916 01:05;;;1418;MOUNT VIEW RD;MILLFIELD;2325;1.845;H;20240716;20240909;950000;RU2;R;RESIDENCE;;RAE;;0;AU399379;
C;001;19036;16;20240916 01:05;721/867324;
D;001;19036;16;20240916 01:05;P;;;;;;
D;001;19036;16;20240916 01:05;P;;;;;;
D;001;19036;16;20240916 01:05;V;;;;;;
B;001;13784;17;20240916 01:05;;;9;MCDONALD AVE;PAXTON;2325;1011.83;M;20240816;20240911;700000;RU5;R;RESIDENCE;;RAB;;0;AU405957;
C;001;13784;17;20240916 01:05;91/12136;
D;001;13784;17;20240916 01:05;P;;;;;;
D;001;13784;17;20240916 01:05;P;;;;;;
D;001;13784;17;20240916 01:05;V;;;;;;
B;001;4061007;18;20240916 01:05;;;8;HILLII LANE;ROTHBURY;2320;728.5;M;20240805;20240909;1750000;SP3;R;RESIDENCE;;SAV;;0;AU400518;
C;001;4061007;18;20240916 01:05;7/271095;
D;001;4061007;18;20240916 01:05;P;;;;;;
D;001;4061007;18;20240916 01:05;P;;;;;;
D;001;4061007;18;20240916 01:05;V;;;;;;
D;001;4061007;18;20240916 01:05;V;;;;;;
B;001;4529935;19;20240916 01:05;;;19;COULTER ST;NORTH ROTHBURY;2335;603.9;M;20240808;20240905;370000;R1;V;VACANT LAND;;FCB;;0;AU393209;
C;001;4529935;19;20240916 01:05;3517/1275568;
D;001;4529935;19;20240916 01:05;P;;;;;;
D;001;4529935;19;20240916 01:05;V;;;;;;
B;001;4546456;20;20240916 01:05;;;55;ABBOTSFORD ST;BELLBIRD;2325;590.3;M;20240805;20240909;350000;R2;V;VACANT LAND;;AAC;;0;AU400707;
C;001;4546456;20;20240916 01:05;605/1275497;
D;001;4546456;20;20240916 01:05;P;;;;;;
D;001;4546456;20;20240916 01:05;V;;;;;;
D;001;4546456;20;20240916 01:05;V;;;;;;
B;001;4567932;21;20240916 01:05;;;28;VULTURE ST;ELLALONG;2325;607;M;20240814;20240911;295000;RU5;R;RESIDENCE;;RAB;;0;AU407346;
C;001;4567932;21;20240916 01:05;3/2/13008;
D;001;4567932;21;20240916 01:05;P;;;;;;
D;001;4567932;21;20240916 01:05;V;;;;;;
B;001;4571291;22;20240916 01:05;;;429;SWANS LANE;QUORROBOLONG;2325;41.2;H;20240509;20240909;825000;;V;VACANT LAND;;;;0;AU400159;
C;001;4571291;22;20240916 01:05;123/1304141;
D;001;4571291;22;20240916 01:05;P;;;;;;
D;001;4571291;22;20240916 01:05;P;;;;;;
D;001;4571291;22;20240916 01:05;V;;;;;;
D;001;4571291;22;20240916 01:05;V;;;;;;
D;001;4571291;22;20240916 01:05;V;;;;;;
B;001;4571464;23;20240916 01:05;;;324;WOLLONG RD;QUORROBOLONG;2325;40.47;H;20240701;20240812;1100000;;R;RESIDENCE;;;;0;AU323967;
C;001;4571464;23;20240916 01:05;2/10134;
D;001;4571464;23;20240916 01:05;P;;;;;;
D;001;4571464;23;20240916 01:05;P;;;;;;
D;001;4571464;23;20240916 01:05;V;;;;;;
D;001;4571464;23;20240916 01:05;V;;;;;;
B;001;3684088;24;20240916 01:05;;;29;TREBBIANO DR;CESSNOCK;2325;638.5;M;20240813;20240910;688888;R2;R;RESIDENCE;;AAF;;0;AU404433;
C;001;3684088;24;20240916 01:05;413/1173257;
D;001;3684088;24;20240916 01:05;P;;;;;;
D;001;3684088;24;20240916 01:05;P;;;;;;
D;001;3684088;24;20240916 01:05;V;;;;;;
B;001;3017044;25;20240916 01:05;;;65;ECHIDNA CL;BELLBIRD;2325;4059;M;20240802;20240910;1290000;R5;R;RESIDENCE;;AAH;;0;AU405583;
C;001;3017044;25;20240916 01:05;49/1057053;
D;001;3017044;25;20240916 01:05;P;;;;;;
D;001;3017044;25;20240916 01:05;P;;;;;;
D;001;3017044;25;20240916 01:05;V;;;;;;
B;001;3321057;26;20240916 01:05;;;18;SERGEANT ST;CESSNOCK;2325;529.1;M;20240807;20240909;520000;R3;R;RESIDENCE;;MAA;;0;AU400647;
C;001;3321057;26;20240916 01:05;2/1113239;
D;001;3321057;26;20240916 01:05;P;;;;;;
D;001;3321057;26;20240916 01:05;V;;;;;;
D;001;3321057;26;20240916 01:05;V;;;;;;
B;001;4485146;27;20240916 01:05;;;127;TRITON BVD;NORTH ROTHBURY;2335;417.9;M;20240801;20240912;745000;R1;R;RESIDENCE;;FCB;;0;AU412013;
C;001;4485146;27;20240916 01:05;4203/1276866;
D;001;4485146;27;20240916 01:05;P;;;;;;
D;001;4485146;27;20240916 01:05;P;;;;;;
D;001;4485146;27;20240916 01:05;V;;;;;;
B;001;4440894;28;20240916 01:05;;;6;CARTER ST;NORTH ROTHBURY;2335;544;M;20240814;20240911;770000;R1;R;RESIDENCE;;FCB;;0;AU407663;
C;001;4440894;28;20240916 01:05;2824/1271998;
D;001;4440894;28;20240916 01:05;P;;;;;;
D;001;4440894;28;20240916 01:05;V;;;;;;
B;001;3857435;29;20240916 01:05;;;2 D;RAE ST;CESSNOCK;2325;613.3;M;20240730;20240910;630000;R2;R;RESIDENCE;;AAB;;0;AU404114;
C;001;3857435;29;20240916 01:05;13/1206868;
D;001;3857435;29;20240916 01:05;P;;;;;;
D;001;3857435;29;20240916 01:05;V;;;;;;
D;001;3857435;29;20240916 01:05;V;;;;;;
B;001;4000414;30;20240916 01:05;;;25;CONCORD CCT;CLIFTLEIGH;2321;644.4;M;20240719;20240910;797000;R2;R;RESIDENCE;;AAP;;0;AU403022;
C;001;4000414;30;20240916 01:05;923/1223319;
D;001;4000414;30;20240916 01:05;P;;;;;;
D;001;4000414;30;20240916 01:05;P;;;;;;
D;001;4000414;30;20240916 01:05;V;;;;;;
B;001;3936758;31;20240916 01:05;;;8;NEWSHAM ST;NORTH ROTHBURY;2335;578;M;20240802;20240912;745000;R1;R;RESIDENCE;;FCB;;0;AU411276;
C;001;3936758;31;20240916 01:05;732/1205026;
D;001;3936758;31;20240916 01:05;P;;;;;;
D;001;3936758;31;20240916 01:05;V;;;;;;
D;001;3936758;31;20240916 01:05;V;;;;;;
B;001;4301209;32;20240916 01:05;;;3;AUGUSTA CL;HEDDON GRETA;2321;511;M;20240726;20240906;770000;R2;R;RESIDENCE;;AAP;;0;AU396740;
C;001;4301209;32;20240916 01:05;2/1262719;
D;001;4301209;32;20240916 01:05;P;;;;;;
D;001;4301209;32;20240916 01:05;P;;;;;;
D;001;4301209;32;20240916 01:05;V;;;;;;
Z;160;32;32;94;
