A;RTSALEDATA;267;20240916 01:08;VALNET;
B;267;1970321;1;20240916 01:08;;;43;WARREN RD;MARRICKVILLE;2204;557.48;M;20240710;20240910;725000;R2;R;RESIDENCE;;EGS;;0;AU402702;
C;267;1970321;1;20240916 01:08;4/2191;
D;267;1970321;1;20240916 01:08;P;;;;;;
D;267;1970321;1;20240916 01:08;P;;;;;;
D;267;1970321;1;20240916 01:08;P;;;;;;
D;267;1970321;1;20240916 01:08;V;;;;;;
D;267;1970321;1;20240916 01:08;V;;;;;;
B;267;1959755;2;20240916 01:08;;7;13;MYRA RD;DULWICH HILL;2203;;;20240801;20240912;985000;;R;RESIDENCE;7;;;0;AU411743;
C;267;1959755;2;20240916 01:08;7/SP8550;
D;267;1959755;2;20240916 01:08;P;;;;;;
D;267;1959755;2;20240916 01:08;V;;;;;;
D;267;1959755;2;20240916 01:08;V;;;;;;
B;267;1962425;3;20240916 01:08;;9;36;PERRY ST;MARRICKVILLE;2204;;;20240731;20240911;997000;;R;RESIDENCE;9;;;0;AU407028;
C;267;1962425;3;20240916 01:08;9/SP21563;
D;267;1962425;3;20240916 01:08;P;;;;;;
D;267;1962425;3;20240916 01:08;V;;;;;;
D;267;1962425;3;20240916 01:08;V;;;;;;
B;267;2907349;4;20240916 01:08;;220;23;CORUNNA RD;STANMORE;2048;111;M;20240816;20240910;1085000;;R;RESIDENCE;51;;;0;AU403207;
C;267;2907349;4;20240916 01:08;51/SP67188;
D;267;2907349;4;20240916 01:08;P;;;;;;
D;267;2907349;4;20240916 01:08;V;;;;;;
B;267;2782125;5;20240916 01:08;;712;27;MARGARET ST;ROZELLE;2039;;;20240703;20240911;1865000;;R;RESIDENCE;93;;;0;AU406619;
C;267;2782125;5;20240916 01:08;93/SP68208;
D;267;2782125;5;20240916 01:08;P;;;;;;
D;267;2782125;5;20240916 01:08;P;;;;;;
D;267;2782125;5;20240916 01:08;V;;;;;;
D;267;2782125;5;20240916 01:08;V;;;;;;
B;267;2782129;6;20240916 01:08;;104;1;YARA AVE;ROZELLE;2039;;;20240726;20240906;1660000;;R;RESIDENCE;16;;;0;AU395484;
C;267;2782129;6;20240916 01:08;16/SP69021;
D;267;2782129;6;20240916 01:08;P;;;;;;
D;267;2782129;6;20240916 01:08;V;;;;;;
B;267;4235644;7;20240916 01:08;;202;326;MARRICKVILLE RD;MARRICKVILLE;2204;91;M;20240726;20240906;920000;;R;RESIDENCE;9;;;0;AU396555;
