A;RTSALEDATA;139;20240916 01:06;VALNET;
B;139;4243606;1;20240916 01:06;;403;44;SHORELINE DR;RHODES;2138;119;M;20240730;20240910;1260000;;R;RESIDENCE;6;;;0;AU403585;
C;139;4243606;1;20240916 01:06;6/SP84404;
D;139;4243606;1;20240916 01:06;P;;;;;;
D;139;4243606;1;20240916 01:06;P;;;;;;
D;139;4243606;1;20240916 01:06;V;;;;;;
D;139;4243606;1;20240916 01:06;V;;;;;;
B;139;4170618;2;20240916 01:06;;302;22;HILLY ST;MORTLAKE;2137;276;M;20240718;20240909;1920000;;R;RESIDENCE;29;;;0;AU401735;
C;139;4170618;2;20240916 01:06;29/SP95581;
D;139;4170618;2;20240916 01:06;P;;;;;;
D;139;4170618;2;20240916 01:06;P;;;;;;
D;139;4170618;2;20240916 01:06;V;;;;;;
B;139;3019980;3;20240916 01:06;ROSEWOOD;32;21;TENNYSON RD;BREAKFAST POINT;2137;182;M;20240710;20240912;1900000;;R;RESIDENCE;21;;;0;AU410501;
C;139;3019980;3;20240916 01:06;21/SP70931;
D;139;3019980;3;20240916 01:06;P;;;;;;
D;139;3019980;3;20240916 01:06;P;;;;;;
D;139;3019980;3;20240916 01:06;V;;;;;;
B;139;3104408;4;20240916 01:06;;203;4;GARFIELD ST;FIVE DOCK;2046;;;20240726;20240906;800000;;R;RESIDENCE;41;;;0;AU396997;
C;139;3104408;4;20240916 01:06;41/SP72939;
D;139;3104408;4;20240916 01:06;P;;;;;;
D;139;3104408;4;20240916 01:06;P;;;;;;
D;139;3104408;4;20240916 01:06;V;;;;;;
B;139;3506599;5;20240916 01:06;;43;1;TIMBROL AVE;RHODES;2138;;;20240807;20240906;938000;;R;RESIDENCE;135;;;0;AU395343;
C;139;3506599;5;20240916 01:06;135/SP82939;
D;139;3506599;5;20240916 01:06;P;;;;;;
D;139;3506599;5;20240916 01:06;V;;;;;;
D;139;3506599;5;20240916 01:06;V;;;;;;
B;139;3567862;6;20240916 01:06;;214 C;27;GEORGE ST;NORTH STRATHFIELD;2137;;;20240731;20240911;750000;;R;RESIDENCE;51;;;0;AU406972;
C;139;3567862;6;20240916 01:06;51/SP84982;
D;139;3567862;6;20240916 01:06;P;;;;;;
D;139;3567862;6;20240916 01:06;P;;;;;;
D;139;3567862;6;20240916 01:06;V;;;;;;
D;139;3567862;6;20240916 01:06;V;;;;;;
B;139;3588583;7;20240916 01:06;;43;54 A;BLACKWALL POINT RD;CHISWICK;2046;;;20240808;20240906;1300000;;R;RESIDENCE;43;;;0;AU397530;
C;139;3588583;7;20240916 01:06;43/SP85480;
D;139;3588583;7;20240916 01:06;P;;;;;;
D;139;3588583;7;20240916 01:06;P;;;;;;
D;139;3588583;7;20240916 01:06;V;;;;;;
D;139;3588583;7;20240916 01:06;V;;;;;;
B;139;4102332;8;20240916 01:06;;345;2;MILL PARK ST;RHODES;2138;123;M;20240731;20240910;915000;;R;RESIDENCE;11;;;0;AU403711;
C;139;4102332;8;20240916 01:06;11/SP82380;
D;139;4102332;8;20240916 01:06;P;;;;;;
D;139;4102332;8;20240916 01:06;V;;;;;;
B;139;4102332;9;20240916 01:06;;936;2;MILL PARK ST;RHODES;2138;101;M;20240808;20240912;871800;;R;RESIDENCE;52;;;0;AU409845;
C;139;4102332;9;20240916 01:06;52/SP82380;
D;139;4102332;9;20240916 01:06;P;;;;;;
D;139;4102332;9;20240916 01:06;V;;;;;;
D;139;4102332;9;20240916 01:06;V;;;;;;
B;139;4051370;10;20240916 01:06;;6;64;MAJORS BAY RD;CONCORD;2137;;;20240813;20240910;1060000;;R;RESIDENCE;6;;;0;AU404121;
C;139;4051370;10;20240916 01:06;6/SP95921;
D;139;4051370;10;20240916 01:06;P;;;;;;
D;139;4051370;10;20240916 01:06;P;;;;;;
D;139;4051370;10;20240916 01:06;V;;;;;;
B;139;4567156;11;20240916 01:06;;;8;JOHN ST;CONCORD;2137;290.7;M;20240808;20240911;2975000;R3;R;RESIDENCE;;ESD;;0;AU407317;
C;139;4567156;11;20240916 01:06;1/1300355;
D;139;4567156;11;20240916 01:06;P;;;;;;
D;139;4567156;11;20240916 01:06;V;;;;;;
B;139;4523127;12;20240916 01:06;;;17;YORK AVE;FIVE DOCK;2046;326.3;M;20240618;20240909;2875000;R2;R;RESIDENCE;;RSS;;0;AU401230;
C;139;4523127;12;20240916 01:06;2/1286612;
D;139;4523127;12;20240916 01:06;P;;;;;;
D;139;4523127;12;20240916 01:06;V;;;;;;
B;139;4527142;13;20240916 01:06;;;25;FITZROY ST;ABBOTSFORD;2046;229.8;M;20240731;20240911;3025000;R3;R;RESIDENCE;;RPD;;0;AU407202;
