A;RTSALEDATA;239;20240916 01:07;VALNET;
B;239;2635673;1;20240916 01:07;;;2;OXLEY ST;BOURKE;2840;689.2;M;20240821;20240912;19500;R1;V;VACANT LAND;;AAG;;0;AU409886;
C;239;2635673;1;20240916 01:07;E/420236;
D;239;2635673;1;20240916 01:07;P;;;;;;
D;239;2635673;1;20240916 01:07;V;;;;;;
B;239;2635308;2;20240916 01:07;;;26;HOPE ST;BOURKE;2840;1348.82;M;20240809;20240906;65000;R1;R;RESIDENCE;;AAG;;0;AU395500;
C;239;2635308;2;20240916 01:07;B/383298;
D;239;2635308;2;20240916 01:07;P;;;;;;
D;239;2635308;2;20240916 01:07;P;;;;;;
D;239;2635308;2;20240916 01:07;V;;;;;;
Z;11;2;2;5;
