A;RTSALEDATA;620;20240930 01:08;VALNET;
B;620;1255356;1;20240930 01:08;;;67;LAWSON ST;MUDGEE;2850;608.92;M;20240812;20240923;590000;R3;R;RESIDENCE;;AAD;;0;AU439437;
C;620;1255356;1;20240930 01:08;1/199525;
D;620;1255356;1;20240930 01:08;P;;;;;;
D;620;1255356;1;20240930 01:08;V;;;;;;
D;620;1255356;1;20240930 01:08;V;;;;;;
B;620;1256174;2;20240930 01:08;;;232;MORTIMER ST;MUDGEE;2850;3895;M;20240725;20240920;745000;R3;R;RESIDENCE;;AAD;;0;AU435307;
C;620;1256174;2;20240930 01:08;1/865437;
D;620;1256174;2;20240930 01:08;P;;;;;;
D;620;1256174;2;20240930 01:08;V;;;;;;
B;620;1260902;3;20240930 01:08;;;30;RICHARDS ST;MUDGEE;2850;1.7;H;20240809;20240920;680000;R1;R;RESIDENCE;;AAK;;0;AU434017;
C;620;1260902;3;20240930 01:08;52/756894;
D;620;1260902;3;20240930 01:08;P;;;;;;
D;620;1260902;3;20240930 01:08;P;;;;;;
D;620;1260902;3;20240930 01:08;V;;;;;;
B;620;1262194;4;20240930 01:08;;;556;CLARKES CREEK RD;WINDEYER;2850;129.5;H;20240712;20240823;540000;RU1;3;FARM;;HED;;0;AU358923;
C;620;1262194;4;20240930 01:08;219/756923 Enclosure Permit 666932;
D;620;1262194;4;20240930 01:08;P;;;;;;
D;620;1262194;4;20240930 01:08;P;;;;;;
D;620;1262194;4;20240930 01:08;V;;;;;;
D;620;1262194;4;20240930 01:08;V;;;;;;
B;620;1262208;5;20240930 01:08;;;543;CLARKES CREEK RD;WINDEYER;2850;19.93;H;20240826;20240925;340000;C3;R;RESIDENCE;;CMR;;0;AU445896;
C;620;1262208;5;20240930 01:08;256/756923;
D;620;1262208;5;20240930 01:08;P;;;;;;
D;620;1262208;5;20240930 01:08;P;;;;;;
D;620;1262208;5;20240930 01:08;V;;;;;;
D;620;1262208;5;20240930 01:08;V;;;;;;
B;620;1281589;6;20240930 01:08;FARAWAY;;1513;NULLO MOUNTAIN RD;NULLO MOUNTAIN;2849;186.78;H;20240618;20240730;875000;RU1;3;FARM;;RGG;;0;AU287865;
C;620;1281589;6;20240930 01:08;17, 18, 34, 46, 48, 75, 88/755444 13/755446;
D;620;1281589;6;20240930 01:08;P;;;;;;
D;620;1281589;6;20240930 01:08;V;;;;;;
B;620;3013565;7;20240930 01:08;;;284;MOSSY ROCK LANE;MONIVAE;2850;52.36;H;20240819;20240923;770000;RU1;R;RESIDENCE;;HEF;;0;AU438883;
C;620;3013565;7;20240930 01:08;6/875654;
D;620;3013565;7;20240930 01:08;P;;;;;;
D;620;3013565;7;20240930 01:08;V;;;;;;
B;620;3047673;8;20240930 01:08;;12;11;GEORGE ST;MUDGEE;2850;329;M;20240813;20240924;560000;;R;RESIDENCE;12;;;0;AU441611;
C;620;3047673;8;20240930 01:08;12/SP71756;
D;620;3047673;8;20240930 01:08;P;;;;;;
D;620;3047673;8;20240930 01:08;P;;;;;;
D;620;3047673;8;20240930 01:08;V;;;;;;
B;620;4074198;9;20240930 01:08;;;211;BARA RD;HAYES GAP;2850;240.82;H;20240830;20240920;485000;RU1;3;FARM;;RGB;;0;AU435243;
C;620;4074198;9;20240930 01:08;186/755415;
D;620;4074198;9;20240930 01:08;P;;;;;;
D;620;4074198;9;20240930 01:08;V;;;;;;
D;620;4074198;9;20240930 01:08;V;;;;;;
B;620;4028355;10;20240930 01:08;;;20;BUTLER CIR;BOMBIRA;2850;2000;M;20240816;20240923;1565000;R2;R;RESIDENCE;;LDM;;0;AU437708;
C;620;4028355;10;20240930 01:08;19/1227585;
D;620;4028355;10;20240930 01:08;P;;;;;;
D;620;4028355;10;20240930 01:08;V;;;;;;
D;620;4028355;10;20240930 01:08;V;;;;;;
B;620;4572925;11;20240930 01:08;;;27;CAMPBELL ST;KANDOS;2848;1012;M;20240621;20240920;70000;;V;VACANT LAND;;;;0;AU436194;
C;620;4572925;11;20240930 01:08;14/3/10276;
D;620;4572925;11;20240930 01:08;P;;;;;;
D;620;4572925;11;20240930 01:08;V;;;;;;
B;620;4560591;12;20240930 01:08;;;161;CRAIGMOOR RD;EURUNDEREE;2850;20.23;H;20240419;20240531;1000000;RU4;R;RESIDENCE;;RHM;;0;AU116104;
C;620;4560591;12;20240930 01:08;20/1302350;
D;620;4560591;12;20240930 01:08;P;;;;;;
B;620;4560592;13;20240930 01:08;;;51;TINJA LANE;EURUNDEREE;2850;44.04;H;20240531;20240701;1510000;RU4;3;FARM;;RHM;RV;0;AU208290;
C;620;4560592;13;20240930 01:08;1/549594 1/594499;
D;620;4560592;13;20240930 01:08;P;;;;;;
D;620;4560592;13;20240930 01:08;P;;;;;;
D;620;4560592;13;20240930 01:08;V;;;;;;
B;620;4542433;14;20240930 01:08;;;26;MOORE ST;CAERLEON;2850;457.9;M;20240904;20240923;182000;R1;R;RESIDENCE;;AAL;;0;AU438762;
C;620;4542433;14;20240930 01:08;1212/1301185;
D;620;4542433;14;20240930 01:08;P;;;;;;
D;620;4542433;14;20240930 01:08;P;;;;;;
D;620;4542433;14;20240930 01:08;V;;;;;;
B;620;3681987;15;20240930 01:08;;;5056;HILL END RD;HARGRAVES;2850;661.9;H;20240812;20240919;1300000;RU1;V;VACANT LAND;;RGD;;0;AU431023;
C;620;3681987;15;20240930 01:08;49/756918 Enclosure Permit 669476;
D;620;3681987;15;20240930 01:08;P;;;;;;
D;620;3681987;15;20240930 01:08;V;;;;;;
D;620;3681987;15;20240930 01:08;V;;;;;;
D;620;3681987;15;20240930 01:08;V;;;;;;
D;620;3681987;15;20240930 01:08;V;;;;;;
D;620;3681987;15;20240930 01:08;V;;;;;;
B;620;4292502;16;20240930 01:08;;;10;STEEL DR;SPRING FLAT;2850;2482;M;20240823;20240923;1050000;R2;R;RESIDENCE;;LDM;;0;AU437012;
C;620;4292502;16;20240930 01:08;41/1262954;
D;620;4292502;16;20240930 01:08;P;;;;;;
D;620;4292502;16;20240930 01:08;V;;;;;;
D;620;4292502;16;20240930 01:08;V;;;;;;
B;620;4267363;17;20240930 01:08;;;19;MERAMIE ST;CAERLEON;2850;630;M;20240726;20240920;780000;R1;R;RESIDENCE;;AAL;;0;AU436335;
C;620;4267363;17;20240930 01:08;190/1260317;
D;620;4267363;17;20240930 01:08;P;;;;;;
D;620;4267363;17;20240930 01:08;V;;;;;;
Z;85;17;17;49;
