A;RTSALEDATA;100;20240930 01:05;VALNET;
B;100;4168776;1;20240930 01:05;;;26;BALMORAL PDE;TULLIMBAR;2527;178.8;M;20240816;20240920;790000;A;R;RESIDENCE;;CD;;0;AU435458;
C;100;4168776;1;20240930 01:05;3751/1241345;
D;100;4168776;1;20240930 01:05;P;;;;;;
D;100;4168776;1;20240930 01:05;P;;;;;;
D;100;4168776;1;20240930 01:05;V;;;;;;
B;100;4175793;2;20240930 01:05;;;25;TOMERONG ST;TULLIMBAR;2527;850;M;20240720;20240920;1520000;A;R;RESIDENCE;;CD;;0;AU433994;
C;100;4175793;2;20240930 01:05;330/1230129;
D;100;4175793;2;20240930 01:05;P;;;;;;
D;100;4175793;2;20240930 01:05;P;;;;;;
D;100;4175793;2;20240930 01:05;V;;;;;;
D;100;4175793;2;20240930 01:05;V;;;;;;
B;100;3596854;3;20240930 01:05;;1;127;DAINTREE DR;ALBION PARK;2527;463;M;20240719;20240920;925000;;R;RESIDENCE;1;;;0;AU433152;
C;100;3596854;3;20240930 01:05;1/SP83841;
D;100;3596854;3;20240930 01:05;P;;;;;;
D;100;3596854;3;20240930 01:05;V;;;;;;
D;100;3596854;3;20240930 01:05;V;;;;;;
B;100;4132854;4;20240930 01:05;;;24;MOUNTAIN ASH ST;CALDERWOOD;2527;450;M;20240815;20240926;1200000;R1;R;RESIDENCE;;ARC;;0;AU449302;
C;100;4132854;4;20240930 01:05;2068/1214796;
D;100;4132854;4;20240930 01:05;P;;;;;;
D;100;4132854;4;20240930 01:05;P;;;;;;
D;100;4132854;4;20240930 01:05;P;;;;;;
D;100;4132854;4;20240930 01:05;V;;;;;;
D;100;4132854;4;20240930 01:05;V;;;;;;
B;100;4520086;5;20240930 01:05;;6;15;KOONA ST;ALBION PARK RAIL;2527;153;M;20240614;20240923;900000;;R;RESIDENCE;6;;;0;AU438980;
C;100;4520086;5;20240930 01:05;6/SP104983;
D;100;4520086;5;20240930 01:05;P;;;;;;
D;100;4520086;5;20240930 01:05;V;;;;;;
D;100;4520086;5;20240930 01:05;V;;;;;;
B;100;4566124;6;20240930 01:05;;104;11;LAPWING AVE;SHELL COVE;2529;168;M;20210714;20240926;1750000;;R;RESIDENCE;11;;;0;AU451016;
C;100;4566124;6;20240930 01:05;11/SP108419;
D;100;4566124;6;20240930 01:05;P;;;;;;
D;100;4566124;6;20240930 01:05;V;;;;;;
B;100;4566124;7;20240930 01:05;;105;11;LAPWING AVE;SHELL COVE;2529;119;M;20210625;20240926;1300000;;R;RESIDENCE;12;;;0;AU449626;
C;100;4566124;7;20240930 01:05;12/SP108419;
D;100;4566124;7;20240930 01:05;P;;;;;;
D;100;4566124;7;20240930 01:05;V;;;;;;
B;100;4566124;8;20240930 01:05;;106;11;LAPWING AVE;SHELL COVE;2529;180;M;20210625;20240926;1625000;;R;RESIDENCE;13;;;0;AU450206;
C;100;4566124;8;20240930 01:05;13/SP108419;
D;100;4566124;8;20240930 01:05;P;;;;;;
D;100;4566124;8;20240930 01:05;P;;;;;;
D;100;4566124;8;20240930 01:05;V;;;;;;
B;100;4566124;9;20240930 01:05;;107;11;LAPWING AVE;SHELL COVE;2529;108;M;20210625;20240926;795000;;R;RESIDENCE;14;;;0;AU449691;
C;100;4566124;9;20240930 01:05;14/SP108419;
D;100;4566124;9;20240930 01:05;P;;;;;;
D;100;4566124;9;20240930 01:05;P;;;;;;
D;100;4566124;9;20240930 01:05;V;;;;;;
B;100;4566124;10;20240930 01:05;;201;11;LAPWING AVE;SHELL COVE;2529;103;M;20210625;20240926;860000;;R;RESIDENCE;15;;;0;AU448951;
C;100;4566124;10;20240930 01:05;15/SP108419;
D;100;4566124;10;20240930 01:05;P;;;;;;
D;100;4566124;10;20240930 01:05;P;;;;;;
D;100;4566124;10;20240930 01:05;V;;;;;;
B;100;4566124;11;20240930 01:05;;205;11;LAPWING AVE;SHELL COVE;2529;125;M;20210804;20240926;1450000;;R;RESIDENCE;19;;;0;AU447967;
C;100;4566124;11;20240930 01:05;19/SP108419;
D;100;4566124;11;20240930 01:05;P;;;;;;
D;100;4566124;11;20240930 01:05;P;;;;;;
D;100;4566124;11;20240930 01:05;V;;;;;;
B;100;4566124;12;20240930 01:05;;207;11;LAPWING AVE;SHELL COVE;2529;110;M;20210625;20240926;875000;;R;RESIDENCE;21;;;0;AU448135;
C;100;4566124;12;20240930 01:05;21/SP108419;
D;100;4566124;12;20240930 01:05;P;;;;;;
D;100;4566124;12;20240930 01:05;V;;;;;;
B;100;4566124;13;20240930 01:05;;8;15;CORMORANT WAY;SHELL COVE;2529;189;M;20210707;20240923;1010000;;R;RESIDENCE;29;;;0;AU438205;
C;100;4566124;13;20240930 01:05;29/SP108419;
