A;RTSALEDATA;083;20240930 01:05;VALNET;
B;083;679196;1;20240930 01:05;;32;10;MOUNT ST;HUNTERS HILL;2110;;;20240603;20240920;855000;;R;RESIDENCE;32;;;0;AU433330;
C;083;679196;1;20240930 01:05;32/SP1512;
D;083;679196;1;20240930 01:05;P;;;;;;
D;083;679196;1;20240930 01:05;V;;;;;;
B;083;679196;2;20240930 01:05;;52;35;CHURCH ST;HUNTERS HILL;2110;;;20240603;20240920;855000;;R;RESIDENCE;52;;;0;AU433330;
C;083;679196;2;20240930 01:05;52/SP1512;
D;083;679196;2;20240930 01:05;P;;;;;;
D;083;679196;2;20240930 01:05;V;;;;;;
B;083;681900;3;20240930 01:05;;;7;RESERVE ST;HUNTERS HILL;2110;538;M;20240814;20240925;4400000;R2;R;RESIDENCE;;EAH;;0;AU444926;
C;083;681900;3;20240930 01:05;17/D/13260;
D;083;681900;3;20240930 01:05;P;;;;;;
D;083;681900;3;20240930 01:05;V;;;;;;
D;083;681900;3;20240930 01:05;V;;;;;;
B;083;682719;4;20240930 01:05;;;1 A;VIRET ST;HUNTERS HILL;2110;695.6;M;20240808;20240919;8900000;R2;R;RESIDENCE;;ECC;;0;AU430172;
C;083;682719;4;20240930 01:05;19/514877;
D;083;682719;4;20240930 01:05;P;;;;;;
D;083;682719;4;20240930 01:05;V;;;;;;
Z;19;4;4;9;
