A;RTSALEDATA;209;20240930 01:06;VALNET;
B;209;2050678;1;20240930 01:06;;;142;BIRRELL ST;BONDI JUNCTION;2022;139.1;M;20240814;20240926;2365000;R3;R;RESIDENCE;;AMA;;0;AU448356;
C;209;2050678;1;20240930 01:06;B/107632;
D;209;2050678;1;20240930 01:06;P;;;;;;
D;209;2050678;1;20240930 01:06;P;;;;;;
D;209;2050678;1;20240930 01:06;V;;;;;;
B;209;2056048;2;20240930 01:06;;9;97;CURLEWIS ST;BONDI BEACH;2026;60;M;20240820;20240924;1380000;;R;RESIDENCE;9;;;0;AU442454;
C;209;2056048;2;20240930 01:06;9/SP12417;
D;209;2056048;2;20240930 01:06;P;;;;;;
D;209;2056048;2;20240930 01:06;P;;;;;;
D;209;2056048;2;20240930 01:06;V;;;;;;
D;209;2056048;2;20240930 01:06;V;;;;;;
B;209;2053734;3;20240930 01:06;;4;351;BRONTE RD;BRONTE;2024;116.1;M;20240823;20240923;2050000;;R;RESIDENCE;4;;;0;AU437347;
C;209;2053734;3;20240930 01:06;4/SP6248;
D;209;2053734;3;20240930 01:06;P;;;;;;
D;209;2053734;3;20240930 01:06;V;;;;;;
D;209;2053734;3;20240930 01:06;V;;;;;;
B;209;2059286;4;20240930 01:06;;9;49;FRANCIS ST;BONDI BEACH;2026;;;20240704;20240822;662500;;R;RESIDENCE;9;;;0;AU353024;
C;209;2059286;4;20240930 01:06;9/SP5910;
D;209;2059286;4;20240930 01:06;P;;;;;;
D;209;2059286;4;20240930 01:06;P;;;;;;
D;209;2059286;4;20240930 01:06;V;;;;;;
D;209;2059286;4;20240930 01:06;V;;;;;;
D;209;2059286;4;20240930 01:06;V;;;;;;
B;209;2057064;5;20240930 01:06;;;179;DENISON ST;QUEENS PARK;2022;152.44;M;20240810;20240923;3290000;R2;R;RESIDENCE;;AQP;;0;AU437198;
C;209;2057064;5;20240930 01:06;121/4042;
D;209;2057064;5;20240930 01:06;P;;;;;;
D;209;2057064;5;20240930 01:06;V;;;;;;
